source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,solver_success,solver_max_abs_residual
Jakobsen,20.0,0.3,0.11,MEA + MEAH+,0.1101,0.1006701342318066,-0.0388866712792672,True,4.263256414560601e-14
Matin,20.0,0.3,0.128,MEA + MEAH+,0.1006,0.0986808940342382,-0.0083649052409063,True,7.105427357601002e-15
Matin,20.0,0.3,0.15,MEA + MEAH+,0.0979,0.0962495380574678,-0.0073840379818107,True,3.552713678800501e-15
Bottinger,20.0,0.3,0.15,MEA + MEAH+,0.0966,0.0962495380574678,-0.0015784725941663,True,3.552713678800501e-15
Matin,20.0,0.3,0.173,MEA + MEAH+,0.0954,0.0937093824315113,-0.0077652989258302,True,7.105427357601002e-15
Matin,20.0,0.3,0.195,MEA + MEAH+,0.0928,0.0912828320232702,-0.0071588707399096,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.21,MEA + MEAH+,0.091,0.0896308878142138,-0.0065836940916961,True,3.552713678800501e-15
Matin,20.0,0.3,0.218,MEA + MEAH+,0.0902,0.0887508870073159,-0.0070338353026105,True,2.131628207280301e-14
Bottinger,20.0,0.3,0.235,MEA + MEAH+,0.0871,0.0868837423715286,-0.0010796358533581,True,3.552713678800501e-15
Matin,20.0,0.3,0.241,MEA + MEAH+,0.0875,0.086225808911407,-0.0063707757107764,True,3.626707139797997e-15
Jakobsen,20.0,0.3,0.25,MEA + MEAH+,0.0836,0.0852400929575613,0.008437637218046,True,3.5527136788005016e-14
Matin,20.0,0.3,0.264,MEA + MEAH+,0.0849,0.0837099532124114,-0.0061305910531457,True,3.552713678800501e-15
Matin,20.0,0.3,0.287,MEA + MEAH+,0.0822,0.0812064773561512,-0.005281145837797,True,7.105427357601002e-15
Jakobsen,20.0,0.3,0.29,MEA + MEAH+,0.0792,0.080881063340945,0.009121670687679,True,7.105427357601002e-15
Bottinger,20.0,0.3,0.309,MEA + MEAH+,0.078,0.0788275218137335,0.0045832707005367,True,3.552713678800501e-15
Matin,20.0,0.3,0.31,MEA + MEAH+,0.0796,0.0787198363214157,-0.0048288853222581,True,7.105427357601002e-15
Matin,20.0,0.3,0.334,MEA + MEAH+,0.0768,0.076150181982537,-0.0036902744879179,True,3.552713678800501e-15
Matin,20.0,0.3,0.358,MEA + MEAH+,0.0743,0.0736177558605148,-0.0040062393384611,True,7.105427357601002e-15
Matin,20.0,0.3,0.382,MEA + MEAH+,0.0716,0.0711420527149307,-0.0027866302533442,True,5.841747097464352e-16
Bottinger,20.0,0.3,0.388,MEA + MEAH+,0.0678,0.070535535210301,0.0171782721690186,True,4.618527782440651e-14
