model_family,temperature_C,record_count,median_abs_log10_error,median_log10_pred_over_obs,mae_kPa,rmse_kPa
legacy_pcsaft_smith_missen,40,5,0.3915572920799738,0.3448966071413341,9.94588588351235,19.170764435802518
legacy_pcsaft_smith_missen,60,7,0.3060402644625141,0.0992817078831344,26.09803423310695,46.97620266562122
legacy_pcsaft_smith_missen,80,6,0.1541655658001723,-0.054212007757258596,19.480574456940573,38.32703738472008
legacy_pcsaft_smith_missen,100,7,0.0550353222364355,-0.0244247947894741,68.89466034116626,149.2822274454742
legacy_pcsaft_smith_missen,120,6,0.07842251497963354,-0.07842251497963354,53.33730910282569,79.20946872821169
neutral_epcsaft_parity,40,5,0.3915572927726279,0.3448966082617316,9.94587588576388,19.17074235040201
neutral_epcsaft_parity,60,7,0.3060402643752585,0.0992817082494835,26.098034214276286,46.97620263500124
neutral_epcsaft_parity,80,6,0.1541655653449435,-0.0542120070104366,19.48057428138937,38.327036951595076
neutral_epcsaft_parity,100,7,0.0550353221903267,-0.0244247946908939,68.89465860354444,149.28222426254746
neutral_epcsaft_parity,120,6,0.07842251543644935,-0.07842251543644935,53.337309196256776,79.20946882489297
legacy_pcsaft_smith_missen,overall,31,0.160073413900411,-0.0244247947894741,37.14792234826039,84.19252720773547
neutral_epcsaft_parity,overall,31,0.1600734127577835,-0.0244247946908939,37.14792032320778,84.19252509783536
