temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,curve_role,solver_success,solver_max_abs_residual
20.0,0.3,0.0,CO2,1.590753357087566e-16,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,MEA,0.11167458196297579,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,MEAH+,0.0005650145972130094,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,MEACOO-,4.732913233608334e-08,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,HCO3-,2.9910500363842633e-10,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,CO3^2-,6.461140714026208e-08,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,H3O+,3.0770095698780432e-15,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,OH-,0.0005648377461656003,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.0,MEA + MEAH+,0.1122395965601888,explicit_ideal_equilibrium_curve,true,1.2040146657454898e-11
20.0,0.3,0.005,CO2,2.14243919020868e-12,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,MEA,0.11082749356381501,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,MEAH+,0.0010853199287069939,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,MEACOO-,0.00032683039655075427,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,HCO3-,2.0813415006116836e-06,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,CO3^2-,0.00023228647925155866,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,H3O+,5.955973051875873e-15,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,OH-,0.0002918352321584657,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.005,MEA + MEAH+,0.111912813492522,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.01,CO2,7.821202060385422e-12,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,MEA,0.10981124763754706,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,MEAH+,0.0016647415480004282,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,MEACOO-,0.0007636547028881131,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,HCO3-,4.9080425058968815e-06,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,CO3^2-,0.00035383368566914436,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,H3O+,9.220026020784458e-15,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,OH-,0.0001885114312773508,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.01,MEA + MEAH+,0.11147598918554749,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
