source,temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,point_role
Jakobsen,20.0,0.3,0.78,CO2,0.0005,reference_point
Bottinger,20.0,0.3,0.929,CO2,0.0046,reference_point
Bottinger,20.0,0.3,0.974,CO2,0.0066,reference_point
Jakobsen,20.0,0.3,0.99,CO2,0.0018,reference_point
Jakobsen,20.0,0.3,0.11,CO3^2-,0.0001,reference_point
Jakobsen,20.0,0.3,0.21,CO3^2-,0.0004,reference_point
Jakobsen,20.0,0.3,0.25,CO3^2-,0.0006,reference_point
Jakobsen,20.0,0.3,0.29,CO3^2-,0.0006,reference_point
Jakobsen,20.0,0.3,0.4,CO3^2-,0.0012,reference_point
Jakobsen,20.0,0.3,0.6,CO3^2-,0.0014,reference_point
Jakobsen,20.0,0.3,0.78,CO3^2-,0.0014,reference_point
Jakobsen,20.0,0.3,0.99,CO3^2-,0.0017,reference_point
Matin,20.0,0.3,0.106,HCO3-,0.0024,reference_point
Matin,20.0,0.3,0.128,HCO3-,0.0022,reference_point
Matin,20.0,0.3,0.15,HCO3-,0.002,reference_point
Matin,20.0,0.3,0.173,HCO3-,0.002,reference_point
Matin,20.0,0.3,0.195,HCO3-,0.002,reference_point
Jakobsen,20.0,0.3,0.21,HCO3-,0.0001,reference_point
Matin,20.0,0.3,0.218,HCO3-,0.0021,reference_point
Matin,20.0,0.3,0.241,HCO3-,0.0023,reference_point
Jakobsen,20.0,0.3,0.25,HCO3-,0.0002,reference_point
Matin,20.0,0.3,0.264,HCO3-,0.0026,reference_point
Matin,20.0,0.3,0.287,HCO3-,0.003,reference_point
Jakobsen,20.0,0.3,0.29,HCO3-,0.0002,reference_point
Matin,20.0,0.3,0.31,HCO3-,0.0034,reference_point
Matin,20.0,0.3,0.334,HCO3-,0.004,reference_point
Matin,20.0,0.3,0.358,HCO3-,0.0046,reference_point
Matin,20.0,0.3,0.382,HCO3-,0.0053,reference_point
Jakobsen,20.0,0.3,0.4,HCO3-,0.0006,reference_point
Matin,20.0,0.3,0.406,HCO3-,0.0061,reference_point
Matin,20.0,0.3,0.431,HCO3-,0.007,reference_point
