record_id,component_id,family,value,unit,source_id,locator,domain_id
bicarbonate-anion-born-diameter,bicarbonate-anion,born_diameter,3,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=born_diameter:status=transferred-diagnostic,diagnostic-domain
bicarbonate-anion-charge,bicarbonate-anion,charge_number,-1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=charge_number:status=transferred-diagnostic,diagnostic-domain
bicarbonate-anion-dispersion-energy,bicarbonate-anion,dispersion_energy_over_k,70,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=dispersion_energy_over_k:status=transferred-diagnostic,diagnostic-domain
bicarbonate-anion-molar-mass,bicarbonate-anion,molar_mass,0.0610168,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=molar_mass:status=transferred-diagnostic,diagnostic-domain
bicarbonate-anion-segment-count,bicarbonate-anion,segment_count,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=segment_count:status=transferred-diagnostic,diagnostic-domain
bicarbonate-anion-segment-diameter,bicarbonate-anion,segment_diameter,2.9296,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=segment_diameter:status=transferred-diagnostic,diagnostic-domain
bicarbonate-anion-solvation-factor,bicarbonate-anion,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=HCO3-:family=solvation_factor:status=transferred-diagnostic,diagnostic-domain
carbamate-anion-born-diameter,carbamate-anion,born_diameter,3.54107030822,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=born_diameter:status=provisional-historical-evaluation,diagnostic-domain
carbamate-anion-charge,carbamate-anion,charge_number,-1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=charge_number:status=provisional-historical-evaluation,diagnostic-domain
carbamate-anion-dispersion-energy,carbamate-anion,dispersion_energy_over_k,453.265244384,kelvin,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=dispersion_energy_over_k:status=provisional-historical-evaluation,diagnostic-domain
carbamate-anion-molar-mass,carbamate-anion,molar_mass,0.10408,kilogram / mole,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=molar_mass:status=provisional-historical-evaluation,diagnostic-domain
carbamate-anion-segment-count,carbamate-anion,segment_count,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=segment_count:status=provisional-historical-evaluation,diagnostic-domain
carbamate-anion-segment-diameter,carbamate-anion,segment_diameter,3.53543525721,angstrom,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=segment_diameter:status=provisional-historical-evaluation,diagnostic-domain
carbamate-anion-solvation-factor,carbamate-anion,solvation_factor,1,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEACOO-:family=solvation_factor:status=provisional-historical-evaluation,diagnostic-domain
carbon-dioxide-charge,carbon-dioxide,charge_number,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=CO2:family=charge_number:status=retained-literature-lineage,diagnostic-domain
