record_id,component_id,site_id,site_class,multiplicity,source_id,locator,domain_id
monoethanolamine-site-a,monoethanolamine,a,a,1,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=association_site_a:status=retained-literature-lineage,diagnostic-domain
monoethanolamine-site-b,monoethanolamine,b,b,1,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=MEA:family=association_site_b:status=retained-literature-lineage,diagnostic-domain
water-site-a,water,a,a,1,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=association_site_a:status=retained-literature-lineage,diagnostic-domain
water-site-b,water,b,b,1,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:component=H2O:family=association_site_b:status=retained-literature-lineage,diagnostic-domain
