record_id,family,value,unit,source_id,locator,domain_id
dielectric-ion-suppression,dielectric_ion_suppression_coefficient,7.01,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/user_options.json:dielectric_saturation:status=retained-diagnostic,diagnostic-domain
ionic-region-permittivity,ionic_region_relative_permittivity,8,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/pure/any_solvent.csv:ionic-dielc=8:status=transferred-diagnostic,diagnostic-domain
