temperature_C,n,rmse_kPa,mae_kPa,median_abs_log10_error,median_log10_pred_over_obs,expected_legacy_median_abs_log10_error,delta_vs_expected
40,5,19.170764437262765,9.945885884125593,0.391557292494692,0.3448966072452406,0.3915572920799514,4.1474063072755025e-10
60,7,46.97620266619185,26.098034230371685,0.3060402644269827,0.0992817078770349,0.3060402645017894,-7.480666086578934e-11
80,6,38.32703735450585,19.48057443883308,0.1541655657305344,-0.0542120078706161,0.1541655657995109,-6.897646342984842e-11
100,7,149.2822274456973,68.89466034133241,0.0550353222347901,-0.0244247947825159,0.0550353222135954,2.1194740407182167e-11
120,6,79.20946872776273,53.33730910248595,0.0784225149794194,-0.0784225149794194,0.078422514980188,-7.685935221601882e-13
