temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,curve_role,solver_success,solver_max_abs_residual
20.0,0.3,0.025,MEAH+,0.003410085670817829,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.025,MEACOO-,0.0022761120926246114,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.025,HCO3-,1.5074712972917474e-05,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.025,CO3^2-,0.0005148042407767554,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.025,H3O+,1.9462325826121628e-14,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.025,OH-,8.92903836862664e-05,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.025,MEA + MEAH+,0.10996353179099645,explicit_ideal_equilibrium_curve,true,1.0658141036401503e-14
20.0,0.3,0.03,CO2,7.460351585368348e-11,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,MEA,0.10544843914473526,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,MEAH+,0.00398568505505939,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,MEACOO-,0.0028055196811452615,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,HCO3-,1.8775313963550493e-05,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,CO3^2-,0.0005428942467158706,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,H3O+,2.298533882680792e-14,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,OH-,7.56015665418214e-05,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.03,MEA + MEAH+,0.10943412419979465,explicit_ideal_equilibrium_curve,true,1.7763568394002505e-15
20.0,0.3,0.035,CO2,1.0378028564525051e-10,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,MEA,0.10434006326835747,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,MEAH+,0.0045589367753171555,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,MEACOO-,0.0033406438339904647,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,HCO3-,2.2593595724870487e-05,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
20.0,0.3,0.035,CO3^2-,0.0005651500022226573,explicit_ideal_equilibrium_curve,true,7.105427357601002e-15
