reaction_id,reaction,constant_basis,correlation_form,A,B,C,D,temperature_range_K,source_key,conversion_required,implemented_in_phase1_solver,notes
R1,2 H2O <-> H3O+ + OH-,mole_fraction_based,ln K = A + B/T + C ln(T) + D T,132.899,-13445.9,-22.4773,0.0,273.15-498.15,Edwards1978_via_Baygi2015,no,explicit_ideal_nine_species_solver,Full five-reaction Phase 1 literature basis. The Phase 1 Smith-Missen workflow solves this explicit ideal nine-species system with activities equal to mole fractions.
R2,CO2 + 2 H2O <-> H3O+ + HCO3-,mole_fraction_based,ln K = A + B/T + C ln(T) + D T,231.465,-12092.1,-36.7816,0.0,273.15-498.15,Edwards1978_via_Baygi2015,no,explicit_ideal_nine_species_solver,CO2 hydration to bicarbonate in the Baygi 2015 Smith-Missen literature basis.
R3,HCO3- + H2O <-> H3O+ + CO3^2-,mole_fraction_based,ln K = A + B/T + C ln(T) + D T,216.049,-12431.7,-35.4819,0.0,273.15-498.15,Edwards1978_via_Baygi2015,no,explicit_ideal_nine_species_solver,Bicarbonate dissociation to carbonate in the Baygi 2015 Smith-Missen literature basis.
R4,MEACOO- + H2O <-> HCO3- + MEA,mole_fraction_based,ln K = A + B/T + C ln(T) + D T,-1.8652,-1545.3,0.0,0.0,293.15-323.15,Tong2012_via_Baygi2015,reported_molality_based_then_converted,explicit_ideal_nine_species_solver,Baygi 2015 states that the original literature form was converted from molality to mole-fraction basis for the ideal-speciation workflow.
R5,MEAH+ + H2O <-> H3O+ + MEA,mole_fraction_based,ln K = A + B/T + C ln(T) + D T,2.1211,-8189.38,0.0,-0.007484,273.15-323.15,Bates1951_via_Baygi2015,no,explicit_ideal_nine_species_solver,Protonated-amine dissociation in the Baygi 2015 Smith-Missen literature basis.
