temperature_C,species,record_count,median_abs_log10_error,median_log10_model_over_data,mae_log10,rmse_log10
20.0,CO2,4,12.352251491461622,-12.352251491461622,12.252372392234873,12.26002941883893
20.0,CO3^2-,8,26.928666248215634,-26.928666248215634,26.845031091359704,26.84774735576995
20.0,HCO3-,32,4.1208704544142805,-4.1208704544142805,4.144602059410674,4.208602068428737
20.0,MEA,27,0.37723422800725875,0.37723422800725875,0.6437362103348484,0.9296351539391388
20.0,MEA + MEAH+,39,0.14836520293813857,0.14836520293813857,0.14956544081995027,0.16702299193600265
20.0,MEACOO-,39,2.1366858958782813,-2.1366858958782813,2.0810491916798677,2.092542888370215
20.0,MEAH+,27,2.1633714768932255,-2.1633714768932255,2.1342247896130417,2.1478019661902277
40.0,CO2,2,0.316673064762551,-0.15862524956154278,0.316673064762551,0.3541804621158098
40.0,CO3^2-,8,26.954242509439325,-26.954242509439325,26.823170181356474,26.826102508551024
40.0,HCO3-,21,0.238560359650913,0.033452267286286384,8.972135876693798,15.28494128861529
40.0,MEA,8,0.14183406674364446,-0.14183406674364446,0.4586690513563977,0.7524614586671281
40.0,MEA + MEAH+,21,0.019143987912126195,-0.009380358886415436,0.027214290786451798,0.03702292195392352
40.0,MEACOO-,21,0.02828371158000642,-0.00010198050738795355,0.07958118713340619,0.17444989339078157
40.0,MEAH+,8,0.10455592598159194,0.10455592598159194,0.11893483831914535,0.14176007124917167
