temperature_C,n,epcsaft_median_abs_log10_error,legacy_median_abs_log10_error,median_abs_epcsaft_minus_legacy_log10,max_abs_epcsaft_minus_legacy_log10,expected_legacy_median_abs_log10_error,epcsaft_delta_vs_expected,legacy_delta_vs_expected
40,5,0.39155729234687886,0.39155729249469207,1.644834072839131e-10,1.299535310169902e-09,0.39155729207995144,2.669274246080988e-10,4.147406307275503e-10
60,7,0.30604026423741615,0.30604026442698273,1.895665290062064e-10,3.316594096555924e-10,0.3060402645017894,-2.643732455176462e-10,-7.480666086578935e-11
80,6,0.15416556598451864,0.15416556573053447,2.400420805488965e-11,5.29465248814043e-10,0.15416556579951093,1.8500770360141416e-10,-6.897646342984842e-11
100,7,0.05503532245305021,0.05503532223479018,9.391647879063264e-11,2.18260044653343e-10,0.05503532221359544,2.394547754525078e-10,2.1194740407182167e-11
120,6,0.0784225151566457,0.07842251497941942,5.866905147026151e-10,1.0803753584677107e-09,0.07842251498018801,1.7645768179974652e-10,-7.685935221601881e-13
