temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,legacy_pcsaft_CO2_pressure_kPa,epcsaft_CO2_pressure_kPa,legacy_log10_pred_over_obs,epcsaft_log10_pred_over_obs,epcsaft_minus_legacy_log10
40,0.3,0.203,0.00896,0.0036370621067809646,0.0036370621080188477,-0.39155729249469207,-0.39155729234687886,1.4781317480834678e-10
40,0.3,0.365,0.0677,0.05796316186159224,0.057963161883545035,-0.06743660069228313,-0.06743660052779972,1.644834072839131e-10
40,0.3,0.4735,0.604,1.3363910112960176,1.336391015294888,0.3448966072452406,0.34489660854477594,1.299535310169902e-09
40,0.3,0.513,2.57,9.208294696573365,9.208294698487093,0.5542460864050855,0.5542460864953435,9.025786857936907e-11
40,0.3,0.557,8.09,50.43368393672695,50.43368397535511,0.7947721708172915,0.7947721711499263,3.326347304545185e-10
60,0.3,0.119,0.0193,0.005422092270139694,0.005422092272212148,-0.5513904051193479,-0.55139040495335,1.6599769070406558e-10
60,0.3,0.206,0.0579,0.028617935419803474,0.028617935432295006,-0.30604026442698273,-0.30604026423741615,1.895665290062064e-10
60,0.3,0.389,0.528,0.6636141387821068,0.6636141392888917,0.09928170787703491,0.09928170820869431,3.316594096555924e-10
60,0.3,0.438,2.01,2.114861874932741,2.1148618760628137,0.022085950738135796,0.022085950970200347,2.32064536869327e-10
60,0.3,0.504,11.0,18.655610211791746,18.655610222532278,0.22941677391574047,0.2294167741657754,2.500348756313199e-10
60,0.3,0.561,34.0,113.6129986616977,113.61299866910595,0.5239491055659653,0.5239491055942839,2.8318633247373866e-11
60,0.3,0.579,82.0,177.13399475308742,177.133994767051,0.33448806463297853,0.33448806466721426,3.42357465817187e-11
80,0.3,0.118,0.0992,0.035524781827818146,0.03552478182955987,-0.44598025272611774,-0.44598025270482494,2.1292736191961227e-11
80,0.3,0.187,0.278,0.13576041562845548,0.13576041563447844,-0.3112716370204455,-0.3112716370011782,1.9267359214053937e-11
80,0.3,0.348,2.67,1.8468764665339896,1.8468764666254072,-0.1600734139464454,-0.16007341392494848,2.14968843166205e-11
80,0.3,0.46,16.0,18.020605561985786,18.020605560885716,0.05164939820521317,0.05164939817870163,-2.6511531793158806e-11
80,0.3,0.517,56.0,78.78540003907256,78.7854001351229,0.14825771751462352,0.14825771804408877,5.29465248814043e-10
80,0.3,0.5785,235.0,326.0484026959304,326.04840290997925,0.14221421467768425,0.14221421496279604,2.851117086091046e-10
100,0.3,0.188,1.43,0.8195548826441844,0.8195548824669551,-0.2417579954445428,-0.2417579955384593,-9.391647879063264e-11
100,0.3,0.381,19.0,17.04232424304575,17.042324235054874,-0.047224777124581334,-0.047224777328215166,-2.0363384887915836e-10
100,0.3,0.422,39.0,34.35811150424061,34.35811148697352,-0.05503532223479018,-0.05503532245305021,-2.18260044653343e-10
100,0.3,0.477,69.0,95.54894768775885,95.54894766287961,0.1413768176509906,0.14137681753790807,-1.1308253540932014e-10
100,0.3,0.481,109.0,103.03901612802389,103.03901610635448,-0.024424794782515965,-0.024424794873849402,-9.133338302179877e-11
100,0.3,0.571,509.0,560.9962106266019,560.9962106789171,0.04224214539085579,0.04224214543135557,4.049982493841656e-11
100,0.3,0.589,376.0,766.5464708329206,766.546470897436,0.309350643570679,0.30935064360723086,3.6551868290697625e-11
120,0.3,0.119,2.29,1.1826092284243264,1.1826092267891226,-0.28699421867111535,-0.286994219271618,-6.0050262524109e-10
120,0.3,0.349,46.8,45.72716425190423,45.72716413815076,-0.010071583421766088,-0.01007158450214146,-1.0803753584677107e-09
120,0.3,0.4115,122.0,111.51098027358991,111.5109800049398,-0.03904219703549118,-0.0390421980817851,-1.0462939041958457e-09
120,0.3,0.444,222.0,181.09225012932555,181.09224989044654,-0.08845310943799785,-0.08845311001087625,-5.728784041641402e-10
120,0.3,0.473,422.0,275.32230395797853,275.32230423999187,-0.1854710557924219,-0.18547105534757294,4.4484888886504093e-10
120,0.3,0.536,822.0,702.2308375438618,702.2308378970446,-0.06839192052084099,-0.06839192030241513,2.1842586065144418e-10
