temperature_C,CO2_loading,legacy_pcsaft_CO2_pressure_kPa,legacy_pcsaft_total_pressure_Pa,legacy_pcsaft_y_CO2,epcsaft_success,epcsaft_message,epcsaft_CO2_pressure_kPa,epcsaft_total_pressure_Pa,epcsaft_y_CO2,epcsaft_y_MEA,epcsaft_y_H2O,epcsaft_bubble_residual,epcsaft_max_fugacity_residual,epcsaft_iterations,epcsaft_method,epcsaft_equilibrium_split_detected,epcsaft_equilibrium_message,epcsaft_liquid_fugacity_pressure_kPa,x6_CO2,x6_MEA,x6_H2O,x6_MEAH+,x6_MEACOO-,x6_HCO3-,x_apparent_CO2,x_apparent_MEA,x_apparent_H2O
40,0.203,0.0036370621067809646,6211.087369703841,0.0005855757438740373,True,solved,0.0036370621080188477,6211.087373002098,0.0005855757437623828,1.1392859365889858e-05,0.9994030313968718,2.757278849685463e-10,2.757278849685463e-10,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.003650331143321238,3.6058686741420074e-10,0.06680978122483443,0.8876209237331302,0.022784647340724246,0.022645215283282553,0.0001394320574417441,3.77803087646736e-10,0.0699996142753349,0.930000385346862
40,0.2207,0.004905685597343378,6292.614364018184,0.0007795941898798999,True,solved,0.004905685596852916,6292.6143645768125,0.0007795941897327487,9.436618735204931e-06,0.9992109691915321,-6.456413181865628e-11,6.456406242971724e-11,26,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.0049237160559761056,4.826668130875635e-10,0.06285819157998312,0.8875992301138899,0.024771288911730034,0.024610163343425827,0.000161125568304196,5.078258129462132e-10,0.06613467380373375,0.9338653256884404
40,0.2384,0.006568596558520339,6374.057167890118,0.0010305204966799216,True,solved,0.006568596561230531,6374.057171702887,0.0010305204964886864,7.756120738623858e-06,0.9989617233827727,-1.8361712150749554e-10,1.8361716314085896e-10,26,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.006592914935231513,6.419019665766531e-10,0.05890943919959868,0.8875746992702889,0.026757930444105228,0.026572274173562616,0.0001856562705426103,6.781962212056021e-10,0.06224028144294225,0.9377597178788615
40,0.2561,0.00875478184164967,6455.335163469801,0.0013562087203763246,True,solved,0.008754781845733741,6455.33516765224,0.0013562087201302972,6.3215217473177235e-06,0.9986374697581224,-1.5485734916609317e-10,1.5485749488286515e-10,26,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.008787424409286324,8.505018872010773e-10,0.05496409799450703,0.8875467573048365,0.028744571925077424,0.028530973874268898,0.00021359805080852472,9.023788762236389e-10,0.05831667363390936,0.9416833254637117
40,0.27380000000000004,0.01165417640067474,6536.405831696372,0.0017829640173444021,True,solved,0.01165417640523446,6536.40583538786,0.0017829640170350467,5.105058807011018e-06,0.9982119309241579,-2.359992201661498e-10,2.359996642553597e-10,27,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.011697928770261141,1.1265692696608622e-09,0.05102296357390805,0.8875146086281289,0.030731213335696925,0.030485466853262647,0.0002457464824342794,1.2003454114952319e-09,0.05436432703802216,0.9456356717616324
40,0.2915,0.015613103169603118,6617.352582738213,0.0023594183586848456,True,solved,0.015613103167897957,6617.352583132021,0.002359418358286753,4.081053461315903e-06,0.9976365005882519,3.384668101347188e-10,3.384670321793237e-10,27,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.01567210520041782,1.5033250333909887e-09,0.04708741516687638,0.8874768740474589,0.032717854641169795,0.03243437391253452,0.0002834807286352758,1.6085838591549137e-09,0.05038435090508062,0.9496156474863355
40,0.30920000000000003,0.02099718356307495,6698.265216487703,0.0031347196452285327,True,solved,0.020997183557713215,6698.265215869156,0.0031347196447175396,3.225744467089464e-06,0.9968620546108152,6.525646689681253e-11,6.525651546906985e-11,28,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.021077028111207714,2.015964170062609e-09,0.04315854636466439,0.887432460010267,0.03470449580455222,0.03437660149382566,0.0003278943107265554,2.1663267234318704e-09,0.04637756648787176,0.9536224313458015
40,0.3269,0.028422713844096573,6779.450455203738,0.004192480501466016,True,solved,0.028422713844862914,6779.450456445323,0.004192480500811246,2.5173999831176138e-06,0.9958050020992056,1.4107626178372357e-10,1.410764838283285e-10,28,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.02853142226834271,2.72425056725503e-09,0.03923821845281909,0.8873795052967117,0.03669113676310933,0.03631028836761602,0.0003808483954933162,2.939994012009776e-09,0.042345637614919225,0.9576543594450868
40,0.3446,0.038855286686415316,6861.532667715358,0.005662770778493243,True,solved,0.03885528668929478,6861.532669251739,0.005662770777644932,1.936215810697506e-06,0.9943352930065444,-4.5438708351497326e-10,4.5438852680490527e-10,29,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.03900467190135642,3.722412222514538e-09,0.035329074860871994,0.8873153665809951,0.0386777774178604,0.038232791192778746,0.00044498622508166487,4.0345034775034625e-09,0.038291104494301224,0.9617088914711952
40,0.3623,0.05439268222011887,6946.208644385792,0.00783055692749472,True,solved,0.054392682245859796,6946.208648663021,0.007830556926378691,1.4643026238726517e-06,0.9921679787709975,-2.9377056343093955e-11,2.937738941000134e-11,29,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.05460271368860602,5.2151975752482605e-09,0.031436405616019604,0.8872347540615463,0.04066441755361828,0.040138820134323565,0.0005255974192947109,5.67689264074924e-09,0.034219432172652525,0.9657805621504548
