attempt_id,anchor_scale,loss,seed_HCO3_d_born,seed_CO3_d_born,fitted_HCO3_d_born,fitted_CO3_d_born,delta_HCO3_from_seed,delta_CO3_from_seed,initial_data_residual_norm,final_data_residual_norm,data_residual_norm_improvement,overall_rmse_log10,overall_median_abs_log10,optimizer_success,optimizer_status,optimizer_message,nfev,at_lower_bound_HCO3,at_upper_bound_HCO3,at_lower_bound_CO3,at_upper_bound_CO3
56,0.0,soft_l1,6.5,7.5,6.802941254347416,2.997441532791632,0.3029412543474157,-4.5025584672083685,1.0613798508881718,0.6828705300916089,0.37850932079656285,0.682870530091609,0.5007665777722247,True,3,`xtol` termination condition is satisfied.,15,False,False,False,False
45,0.0003,linear,4.5,4.5,3.7337852444812465,2.962772312120936,-0.7662147555187535,-1.537227687879064,0.8375689949211945,0.6958235478938779,0.14174544702731662,0.6958235478938779,0.5263113545409436,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,19,False,False,False,False
44,0.0,soft_l1,4.5,4.5,6.000634788032712,2.9781087446020833,1.5006347880327118,-1.5218912553979167,0.8375689949211945,0.6979510760683356,0.1396179188528589,0.6979510760683355,0.5132330218382001,True,3,`xtol` termination condition is satisfied.,13,False,False,False,False
55,0.0,linear,6.5,7.5,5.942335514116779,2.9907627001280237,-0.5576644858832207,-4.509237299871977,1.0613798508881718,0.6980930910756111,0.36328675981256064,0.6980930910756111,0.5155658822414345,True,3,`xtol` termination condition is satisfied.,16,False,False,False,False
48,0.003,soft_l1,4.5,4.5,4.870098067282536,2.998826734505609,0.3700980672825356,-1.501173265494391,0.8375689949211945,0.6981215931202017,0.1394474018009928,0.6981215931202018,0.5426685139374114,True,3,`xtol` termination condition is satisfied.,14,False,False,False,False
46,0.0003,soft_l1,4.5,4.5,5.691928667436158,2.9995020497680382,1.1919286674361578,-1.5004979502319618,0.8375689949211945,0.6981354846303801,0.1394335102908144,0.6981354846303802,0.5217698649325272,True,3,`xtol` termination condition is satisfied.,15,False,False,False,False
47,0.003,linear,4.5,4.5,5.465460033426962,3.005457872649825,0.9654600334269619,-1.4945421273501749,0.8375689949211945,0.6981855178467077,0.13938347707448684,0.6981855178467078,0.5276226218238939,True,3,`xtol` termination condition is satisfied.,16,False,False,False,False
60,0.003,soft_l1,6.5,7.5,5.22615980253316,3.0072919583480573,-1.27384019746684,-4.492708041651943,1.0613798508881718,0.6982098979023548,0.363169952985817,0.6982098979023548,0.5338882031576621,True,3,`xtol` termination condition is satisfied.,19,False,False,False,False
59,0.003,linear,6.5,7.5,6.869263339895759,2.9828808572858936,0.36926333989575877,-4.517119142714106,1.0613798508881718,0.6983482649495881,0.36303158593858365,0.6983482649495882,0.5059792488155268,True,3,`xtol` termination condition is satisfied.,14,False,False,False,False
52,0.0003,soft_l1,6.5,2.0,4.166364848282351,2.9939051766281275,-2.3336351517176492,0.9939051766281275,1.913497055009156,0.6984461228143269,1.215050932194829,0.6984461228143272,0.5427651632727272,True,3,`xtol` termination condition is satisfied.,14,False,False,False,False
