fit_stage,row_id,source,temperature_C,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,success,message
initial,cheq_0002,Jakobsen,20.0,0.11,HCO3-,0.001426701830102873,8.221570830181168e-05,-1.2393784156720529,True,converged
initial,cheq_0002,Jakobsen,20.0,0.11,CO3^2-,9.384703560061698e-05,0.004055353623407479,1.6356081714414161,True,converged
initial,cheq_0008,Jakobsen,20.0,0.21,HCO3-,9.664497617073778e-05,0.0002988967381712765,0.4903418923348047,False,chemical equilibrium did not converge
initial,cheq_0008,Jakobsen,20.0,0.21,CO3^2-,0.0003966449992563411,0.005176985078665766,1.1156749299977606,False,chemical equilibrium did not converge
initial,cheq_0012,Jakobsen,20.0,0.25,HCO3-,0.0001934878687495861,0.00046329111098279447,0.37920022668511255,True,converged
initial,cheq_0012,Jakobsen,20.0,0.25,CO3^2-,0.000593481331887194,0.005396314920410969,0.9586902238218168,True,converged
initial,cheq_0015,Jakobsen,20.0,0.29,HCO3-,0.000194986865200032,0.0007115694181549138,0.5622119175039095,True,converged
initial,cheq_0015,Jakobsen,20.0,0.29,CO3^2-,0.0005949823526603378,0.005548329547140892,0.9696581637833976,True,converged
initial,cheq_0022,Jakobsen,20.0,0.4,HCO3-,0.0005977284510696112,0.0025025320636605365,0.6218757224212152,True,converged
initial,cheq_0022,Jakobsen,20.0,0.4,CO3^2-,0.0011977289436015865,0.005698168021555297,0.6773767065259008,True,converged
initial,cheq_0031,Jakobsen,20.0,0.6,HCO3-,0.013791565131977537,0.026419256932180706,0.2823070437244537,True,converged
initial,cheq_0031,Jakobsen,20.0,0.6,CO3^2-,0.0013977477445920794,0.003474637482829954,0.39548070016324394,True,converged
initial,cheq_0034,Jakobsen,20.0,0.78,HCO3-,0.043531716925168315,0.06328952605101483,0.16252604702436602,True,converged
initial,cheq_0034,Jakobsen,20.0,0.78,CO3^2-,0.0013986242899044462,0.0012504884144188008,-0.048621393946717696,True,converged
initial,cheq_0038,Jakobsen,20.0,0.99,HCO3-,0.06640630818813101,0.09912419782829007,0.173970349157208,True,converged
initial,cheq_0038,Jakobsen,20.0,0.99,CO3^2-,0.0016993763294682839,0.00020041392702604917,-0.9283616667563519,True,converged
initial,cheq_0039,Jakobsen,40.0,0.11,HCO3-,9.917752069152129e-05,0.0001487254857508959,0.17597214874841158,True,converged
initial,cheq_0039,Jakobsen,40.0,0.11,CO3^2-,9.917760739485222e-05,0.0016236865531444788,1.2140885670408044,True,converged
initial,cheq_0042,Jakobsen,40.0,0.21,HCO3-,0.0019918733130064414,0.0004913384921030237,-0.6078809243294665,True,converged
initial,cheq_0042,Jakobsen,40.0,0.21,CO3^2-,0.002685184078161159,0.001877870583093402,-0.15530840460689094,True,converged
initial,cheq_0044,Jakobsen,40.0,0.25,HCO3-,0.0003927694873999194,0.0007419651592272936,0.27624577048352716,True,converged
initial,cheq_0044,Jakobsen,40.0,0.25,CO3^2-,0.0003927694764734317,0.0019132091469605717,0.6876247187034277,True,converged
initial,cheq_0046,Jakobsen,40.0,0.29,HCO3-,0.00029633512666838265,0.0011127747984651627,0.5746241469398,True,converged
initial,cheq_0046,Jakobsen,40.0,0.29,CO3^2-,0.0003963361536162796,0.0019310477617001975,0.6877293252640146,True,converged
initial,cheq_0049,Jakobsen,40.0,0.4,HCO3-,0.0011970601874816927,0.0035962762059534694,0.4777370525740426,True,converged
initial,cheq_0049,Jakobsen,40.0,0.4,CO3^2-,0.0009970601381716494,0.0018973643124011975,0.279429373873249,True,converged
initial,cheq_0054,Jakobsen,40.0,0.6,HCO3-,0.014972803014411035,0.027536035343879134,0.2645982994757761,True,converged
initial,cheq_0054,Jakobsen,40.0,0.6,CO3^2-,0.0008977612992929972,0.0011186649065456113,0.09553913421690972,True,converged
initial,cheq_0058,Jakobsen,40.0,0.78,HCO3-,0.04411667039289385,0.06174283601914899,0.14598384635088152,True,converged
initial,cheq_0058,Jakobsen,40.0,0.78,CO3^2-,0.0008986307204138344,0.00043043300799257067,-0.3196756931697016,True,converged
initial,cheq_0059,Jakobsen,40.0,0.99,HCO3-,0.0688711801281007,0.09115495579924283,0.12174276000114159,True,converged
initial,cheq_0059,Jakobsen,40.0,0.99,CO3^2-,0.0010993907394861349,0.00011508286691018221,-0.9801414020780204,True,converged
initial,cheq_0001,Matin,20.0,0.106,HCO3-,0.0023799287836657355,7.710402864761649e-05,-1.4894868912252275,True,converged
initial,cheq_0003,Matin,20.0,0.128,HCO3-,0.00218613820294017,0.00010780750081525157,-1.3070286352644913,True,converged
initial,cheq_0005,Matin,20.0,0.15,HCO3-,0.0019901360251392657,0.00014561270342443284,-1.1356834963144513,True,converged
initial,cheq_0006,Matin,20.0,0.173,HCO3-,0.00199140032760206,0.00019440953114844862,-1.0104410213440576,True,converged
initial,cheq_0007,Matin,20.0,0.195,HCO3-,0.0019920912636591415,0.0002520651530916027,-0.897796420365067,True,converged
initial,cheq_0009,Matin,20.0,0.218,HCO3-,0.0020920851536564314,0.00032679054246425085,-0.8063098782715359,True,converged
initial,cheq_0011,Matin,20.0,0.241,HCO3-,0.0022911960019198346,0.00042037592196520574,-0.7364244099803094,False,chemical equilibrium did not converge
initial,cheq_0013,Matin,20.0,0.264,HCO3-,0.0025893494741634185,0.000538483600575316,-0.682018187911268,False,chemical equilibrium did not converge
initial,cheq_0014,Matin,20.0,0.287,HCO3-,0.0029863926919184484,0.0006890076446195214,-0.6369228736640155,True,converged
initial,cheq_0017,Matin,20.0,0.31,HCO3-,0.003383398123958038,0.0008831685181269029,-0.5833095245828992,False,chemical equilibrium did not converge
initial,cheq_0018,Matin,20.0,0.334,HCO3-,0.003977877015087133,0.0011499601006618686,-0.5389685796045186,True,converged
initial,cheq_0019,Matin,20.0,0.358,HCO3-,0.004571776847680628,0.0015096432888437865,-0.48121068327862626,True,converged
initial,cheq_0020,Matin,20.0,0.382,HCO3-,0.005257060554810563,0.0020045427017880454,-0.4187276673334629,True,converged
initial,cheq_0023,Matin,20.0,0.406,HCO3-,0.006031773553989748,0.0026998678273010284,-0.3491025251149254,False,chemical equilibrium did not converge
initial,cheq_0024,Matin,20.0,0.431,HCO3-,0.006902592144745313,0.003743741498943465,-0.2657063593100921,True,converged
initial,cheq_0025,Matin,20.0,0.455,HCO3-,0.007856372679638434,0.005194122402827212,-0.179709896880823,True,converged
initial,cheq_0027,Matin,20.0,0.48,HCO3-,0.008894667044779925,0.007337182721460473,-0.08360036106482113,True,converged
initial,cheq_0028,Matin,20.0,0.505,HCO3-,0.009922602154258891,0.010230432390210145,0.013268410887441887,True,converged
initial,cheq_0030,Matin,20.0,0.531,HCO3-,0.01104194786937126,0.013995884375431708,0.10295465353518317,True,converged
final,cheq_0002,Jakobsen,20.0,0.11,HCO3-,0.001426701830102873,8.221570830181168e-05,-1.2393784156720529,True,converged
final,cheq_0002,Jakobsen,20.0,0.11,CO3^2-,9.384703560061698e-05,0.004055353623407479,1.6356081714414161,True,converged
final,cheq_0008,Jakobsen,20.0,0.21,HCO3-,9.664497617073778e-05,0.0002988967381712765,0.4903418923348047,False,chemical equilibrium did not converge
final,cheq_0008,Jakobsen,20.0,0.21,CO3^2-,0.0003966449992563411,0.005176985078665766,1.1156749299977606,False,chemical equilibrium did not converge
final,cheq_0012,Jakobsen,20.0,0.25,HCO3-,0.0001934878687495861,0.00046329111098279447,0.37920022668511255,True,converged
final,cheq_0012,Jakobsen,20.0,0.25,CO3^2-,0.000593481331887194,0.005396314920410969,0.9586902238218168,True,converged
final,cheq_0015,Jakobsen,20.0,0.29,HCO3-,0.000194986865200032,0.0007115694181549138,0.5622119175039095,True,converged
final,cheq_0015,Jakobsen,20.0,0.29,CO3^2-,0.0005949823526603378,0.005548329547140892,0.9696581637833976,True,converged
final,cheq_0022,Jakobsen,20.0,0.4,HCO3-,0.0005977284510696112,0.0025025320636605365,0.6218757224212152,True,converged
final,cheq_0022,Jakobsen,20.0,0.4,CO3^2-,0.0011977289436015865,0.005698168021555297,0.6773767065259008,True,converged
final,cheq_0031,Jakobsen,20.0,0.6,HCO3-,0.013791565131977537,0.026419256932180706,0.2823070437244537,True,converged
final,cheq_0031,Jakobsen,20.0,0.6,CO3^2-,0.0013977477445920794,0.003474637482829954,0.39548070016324394,True,converged
final,cheq_0034,Jakobsen,20.0,0.78,HCO3-,0.043531716925168315,0.06328952605101483,0.16252604702436602,True,converged
final,cheq_0034,Jakobsen,20.0,0.78,CO3^2-,0.0013986242899044462,0.0012504884144188008,-0.048621393946717696,True,converged
final,cheq_0038,Jakobsen,20.0,0.99,HCO3-,0.06640630818813101,0.09912419782829007,0.173970349157208,True,converged
final,cheq_0038,Jakobsen,20.0,0.99,CO3^2-,0.0016993763294682839,0.00020041392702604917,-0.9283616667563519,True,converged
final,cheq_0039,Jakobsen,40.0,0.11,HCO3-,9.917752069152129e-05,0.0001487254857508959,0.17597214874841158,True,converged
final,cheq_0039,Jakobsen,40.0,0.11,CO3^2-,9.917760739485222e-05,0.0016236865531444788,1.2140885670408044,True,converged
final,cheq_0042,Jakobsen,40.0,0.21,HCO3-,0.0019918733130064414,0.0004913384921030237,-0.6078809243294665,True,converged
final,cheq_0042,Jakobsen,40.0,0.21,CO3^2-,0.002685184078161159,0.001877870583093402,-0.15530840460689094,True,converged
final,cheq_0044,Jakobsen,40.0,0.25,HCO3-,0.0003927694873999194,0.0007419651592272936,0.27624577048352716,True,converged
final,cheq_0044,Jakobsen,40.0,0.25,CO3^2-,0.0003927694764734317,0.0019132091469605717,0.6876247187034277,True,converged
final,cheq_0046,Jakobsen,40.0,0.29,HCO3-,0.00029633512666838265,0.0011127747984651627,0.5746241469398,True,converged
final,cheq_0046,Jakobsen,40.0,0.29,CO3^2-,0.0003963361536162796,0.0019310477617001975,0.6877293252640146,True,converged
final,cheq_0049,Jakobsen,40.0,0.4,HCO3-,0.0011970601874816927,0.0035962762059534694,0.4777370525740426,True,converged
final,cheq_0049,Jakobsen,40.0,0.4,CO3^2-,0.0009970601381716494,0.0018973643124011975,0.279429373873249,True,converged
final,cheq_0054,Jakobsen,40.0,0.6,HCO3-,0.014972803014411035,0.027536035343879134,0.2645982994757761,True,converged
final,cheq_0054,Jakobsen,40.0,0.6,CO3^2-,0.0008977612992929972,0.0011186649065456113,0.09553913421690972,True,converged
final,cheq_0058,Jakobsen,40.0,0.78,HCO3-,0.04411667039289385,0.06174283601914899,0.14598384635088152,True,converged
final,cheq_0058,Jakobsen,40.0,0.78,CO3^2-,0.0008986307204138344,0.00043043300799257067,-0.3196756931697016,True,converged
final,cheq_0059,Jakobsen,40.0,0.99,HCO3-,0.0688711801281007,0.09115495579924283,0.12174276000114159,True,converged
final,cheq_0059,Jakobsen,40.0,0.99,CO3^2-,0.0010993907394861349,0.00011508286691018221,-0.9801414020780204,True,converged
final,cheq_0001,Matin,20.0,0.106,HCO3-,0.0023799287836657355,7.710402864761649e-05,-1.4894868912252275,True,converged
final,cheq_0003,Matin,20.0,0.128,HCO3-,0.00218613820294017,0.00010780750081525157,-1.3070286352644913,True,converged
final,cheq_0005,Matin,20.0,0.15,HCO3-,0.0019901360251392657,0.00014561270342443284,-1.1356834963144513,True,converged
final,cheq_0006,Matin,20.0,0.173,HCO3-,0.00199140032760206,0.00019440953114844862,-1.0104410213440576,True,converged
final,cheq_0007,Matin,20.0,0.195,HCO3-,0.0019920912636591415,0.0002520651530916027,-0.897796420365067,True,converged
final,cheq_0009,Matin,20.0,0.218,HCO3-,0.0020920851536564314,0.00032679054246425085,-0.8063098782715359,True,converged
final,cheq_0011,Matin,20.0,0.241,HCO3-,0.0022911960019198346,0.00042037592196520574,-0.7364244099803094,False,chemical equilibrium did not converge
final,cheq_0013,Matin,20.0,0.264,HCO3-,0.0025893494741634185,0.000538483600575316,-0.682018187911268,False,chemical equilibrium did not converge
final,cheq_0014,Matin,20.0,0.287,HCO3-,0.0029863926919184484,0.0006890076446195214,-0.6369228736640155,True,converged
final,cheq_0017,Matin,20.0,0.31,HCO3-,0.003383398123958038,0.0008831685181269029,-0.5833095245828992,False,chemical equilibrium did not converge
final,cheq_0018,Matin,20.0,0.334,HCO3-,0.003977877015087133,0.0011499601006618686,-0.5389685796045186,True,converged
final,cheq_0019,Matin,20.0,0.358,HCO3-,0.004571776847680628,0.0015096432888437865,-0.48121068327862626,True,converged
final,cheq_0020,Matin,20.0,0.382,HCO3-,0.005257060554810563,0.0020045427017880454,-0.4187276673334629,True,converged
final,cheq_0023,Matin,20.0,0.406,HCO3-,0.006031773553989748,0.0026998678273010284,-0.3491025251149254,False,chemical equilibrium did not converge
final,cheq_0024,Matin,20.0,0.431,HCO3-,0.006902592144745313,0.003743741498943465,-0.2657063593100921,True,converged
final,cheq_0025,Matin,20.0,0.455,HCO3-,0.007856372679638434,0.005194122402827212,-0.179709896880823,True,converged
final,cheq_0027,Matin,20.0,0.48,HCO3-,0.008894667044779925,0.007337182721460473,-0.08360036106482113,True,converged
