parameter,initial,fitted,delta,lower_bound,upper_bound,at_bound
HCO3-__d_born,3.0,3.000002236326284,2.2363262841551546e-06,1.0,7.0,False
CO3^2-__d_born,3.0,3.0000019502900033,1.9502900032719594e-06,1.0,8.0,False
