component,m,s,e,e_assoc,vol_a,assoc_scheme,z,dielc,d_born,f_solv,MW
CO2,2.079,2.7852,169.21,0.0,0.0,,0.0,1.4122,0.0,1.0,0.04401
MEA,3.0353,3.0435,277.174,2586.3,0.03747,2B,0.0,32.0,0.0,1.0,0.06108
H2O,1.9599,2.363,279.42,2059.28,0.175,2B,0.0,78.09,0.0,1.5,0.01801528
