role,temperature_C,species,CO2_loading,mole_fraction
curve,40.0,CO2,0.005,1.6708058757011596e-12
curve,40.0,CO2,0.00996875,4.773258916473013e-12
curve,40.0,CO2,0.0149375,9.458674078422234e-12
curve,40.0,CO2,0.01990625,1.5801859109491494e-11
curve,40.0,CO2,0.024875,2.3877626078417668e-11
curve,40.0,CO2,0.02984375,3.3775454761399376e-11
curve,40.0,CO2,0.0348124999999999,4.5599918810410185e-11
curve,40.0,CO2,0.03978125,5.9471945485563e-11
curve,40.0,CO2,0.04475,7.552647307777033e-11
curve,40.0,CO2,0.04971875,9.391271719078854e-11
curve,40.0,CO2,0.0546875,1.1479529310357755e-10
curve,40.0,CO2,0.05965625,1.3835494948190534e-10
curve,40.0,CO2,0.064625,1.6478708590759898e-10
curve,40.0,CO2,0.06959375,1.9430619315314462e-10
curve,40.0,CO2,0.0745625,2.2714273884201314e-10
curve,40.0,CO2,0.07953125,2.6354957236608007e-10
curve,40.0,CO2,0.0845,3.0379838570433283e-10
curve,40.0,CO2,0.08946875,3.4818764135712793e-10
curve,40.0,CO2,0.0944375,3.970346947288664e-10
curve,40.0,CO2,0.09940625,4.506951424526746e-10
curve,40.0,CO2,0.104375,5.095369975298822e-10
curve,40.0,CO2,0.10934375,5.739814884472676e-10
curve,40.0,CO2,0.1143125,6.444657915385019e-10
curve,40.0,CO2,0.11928125,7.214846650265011e-10
curve,40.0,CO2,0.12425,8.055607360435497e-10
curve,40.0,CO2,0.12921875,8.972679532188628e-10
curve,40.0,CO2,0.1341875,9.972313485187415e-10
curve,40.0,CO2,0.13915625,1.106129677770877e-09
curve,40.0,CO2,0.144125,1.224721826237114e-09
curve,40.0,CO2,0.14909375,1.353804428212883e-09
curve,40.0,CO2,0.1540625,1.494262120774758e-09
curve,40.0,CO2,0.15903125,1.6470904243945452e-09
curve,40.0,CO2,0.164,1.813312614346439e-09
curve,40.0,CO2,0.16896875,1.9941066344391648e-09
curve,40.0,CO2,0.1739375,2.1907721820716553e-09
curve,40.0,CO2,0.17890625,2.404677242252654e-09
curve,40.0,CO2,0.183875,2.6373499412001794e-09
curve,40.0,CO2,0.18884375,2.890521042093497e-09
curve,40.0,CO2,0.1938125,3.166020920352013e-09
curve,40.0,CO2,0.19878125,3.465903748765678e-09
curve,40.0,CO2,0.20375,3.792464535797134e-09
