temperature_C,CO2_loading,effective_CO2_loading,solver_success,message,charge_residual,max_abs_reaction_residual,state_failure_count
20.0,0.02,0.02,True,converged,-2.9750508019578056e-11,6.713987374951103e-07,0
20.0,0.02484375,0.02484375,True,converged,-1.3997413444251025e-11,6.560894263429873e-07,0
20.0,0.0296875,0.0296875,True,converged,-3.47045613546728e-11,7.852472272418254e-07,0
20.0,0.03453125,0.03453125,True,converged,-5.867754009460449e-12,6.874046043492399e-07,0
20.0,0.039375,0.039375,True,converged,-4.6903759982940343e-11,9.019691695755228e-07,0
20.0,0.04421875,0.04421875,True,converged,-5.2353821093902714e-11,7.157895893783461e-07,0
20.0,0.049062499999999995,0.049062499999999995,True,converged,-5.740245641826496e-11,6.998731620910803e-07,0
20.0,0.05390625,0.05390625,True,converged,-2.0875848928203836e-11,5.024114599905261e-07,0
20.0,0.05875,0.05875,True,converged,-6.640029438830311e-11,8.440597873971001e-07,0
20.0,0.06359375,0.06359375,True,converged,-2.3385105294261924e-11,5.178940583050462e-07,0
20.0,0.0684375,0.0684375,True,converged,-7.40990269766954e-11,7.82970449364484e-07,0
20.0,0.07328125,0.07328125,True,converged,-1.550428543959769e-10,9.91617568502079e-07,0
20.0,0.078125,0.078125,True,converged,-8.069216460651358e-11,5.586075140229241e-07,0
20.0,0.08296875000000001,0.08296875000000001,True,converged,-1.6723016989738347e-10,9.380235752587396e-07,0
20.0,0.0878125,0.0878125,True,converged,-8.632933339817062e-11,7.353024784606532e-07,0
20.0,0.09265625000000001,0.09265625000000001,True,converged,-1.7763958775224862e-10,8.673957552218781e-07,0
20.0,0.0975,0.0975,True,converged,-1.8225153538295544e-10,7.076858885568527e-07,0
20.0,0.10234375,0.10234375,True,converged,-1.8652056455744455e-10,8.388242136447843e-07,0
20.0,0.1071875,0.1071875,True,converged,-1.9044194909614452e-10,8.22751580642489e-07,0
20.0,0.11203125,0.11203125,True,converged,-1.940619843369528e-10,7.339144509899143e-07,0
20.0,0.116875,0.116875,True,converged,-1.9740265958044078e-10,6.125948814883486e-07,0
20.0,0.12171875,0.12171875,True,converged,-2.0047103637765937e-10,7.741573959663128e-07,0
20.0,0.1265625,0.1265625,True,converged,-2.0327881772205488e-10,9.514023950885075e-07,0
20.0,0.13140625,0.13140625,True,converged,-4.1169469702372237e-10,9.710945363394785e-07,0
20.0,0.13624999999999998,0.13624999999999998,True,converged,-3.916298156673688e-11,9.86730245955414e-07,0
20.0,0.14109375,0.14109375,True,converged,-2.1039013790819872e-10,5.284788038295574e-07,0
20.0,0.1459375,0.1459375,True,converged,-2.123667464145186e-10,6.147016904378688e-07,0
20.0,0.15078124999999998,0.15078124999999998,True,converged,-2.1415172120429343e-10,5.341165056904629e-07,0
20.0,0.15562499999999999,0.15562499999999999,True,converged,-2.1578854631645688e-10,5.519260817266058e-07,0
20.0,0.16046875,0.16046875,True,converged,-2.1728596590929266e-10,7.924332550146573e-07,0
20.0,0.1653125,0.1653125,True,converged,-1.0063597598278956e-10,5.702945777841251e-07,0
20.0,0.17015624999999998,0.17015624999999998,True,converged,-2.1983095334717926e-10,5.565436609344943e-07,0
20.0,0.175,0.175,True,converged,-2.209108269576876e-10,5.39813719058202e-07,0
20.0,0.17984375,0.17984375,True,converged,-2.21898392276245e-10,5.539084888539492e-07,0
20.0,0.18468749999999998,0.18468749999999998,True,converged,-2.2275155765055787e-10,5.536057336996691e-07,0
20.0,0.18953124999999998,0.18953124999999998,True,converged,-2.23524213437701e-10,5.384708359201795e-07,0
20.0,0.194375,0.194375,True,converged,-2.2419231468300774e-10,5.570151486722352e-07,0
20.0,0.19921875,0.19921875,True,converged,-5.423296098365721e-11,8.959682027409599e-07,0
20.0,0.20406249999999998,0.20406249999999998,True,converged,-2.1592185659347236e-10,6.849470643999211e-07,0
20.0,0.20890625,0.20890625,True,converged,-2.257333508212233e-10,5.379237109082169e-07,0
20.0,0.21375,0.21375,True,converged,-7.848963281620672e-11,5.047523892187655e-07,0
