row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,pressure_Pa,model_family,target_x_CO2,target_role_CO2,target_x_MEA,target_role_MEA,target_x_MEAH+,target_role_MEAH+,target_x_MEACOO-,target_role_MEACOO-,target_x_HCO3-,target_role_HCO3-,target_x_CO3^2-,target_role_CO3^2-,target_x_H3O+,target_role_H3O+,target_x_OH-,target_role_OH-,target_x_MEA + MEAH+,target_role_MEA + MEAH+,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,model_x_MEA + MEAH+,log10_model_over_target_MEA + MEAH+,reaction_residual_R1_water_autoionization,reaction_residual_R2_CO2_to_HCO3,reaction_residual_R3_HCO3_to_CO3,reaction_residual_R4_MEACOO_hydrolysis,reaction_residual_R5_MEAH_dissociation,mass_balance_residual_carbon_total,mass_balance_residual_mea_total,mass_balance_residual_water_total,charge_residual,max_abs_reaction_residual,state_failure_count,solver_success,message
cheq_0000,Bottinger,20.0,0.3,0.075,101325.0,phase2_epcsaft_activity_speciation,0.001349733698379342,balance_inferred,0.14852407581181237,balance_inferred,0.007108386177843012,balance_inferred,0.008558218196377136,direct_positive,0.0024072773939469074,balance_inferred,1.0000000299652187e-12,balance_inferred,0.003857109414481031,balance_inferred,9.999999999999998e-13,balance_inferred,0.15563246198965539,aggregate_direct_positive,2.2275163791327495e-11,,0.0953429342255098,,0.008951861140982021,,0.007951381191080674,-0.0319407807243112,5.708698315402311e-06,,0.00046137339540078373,,4.024162829693256e-14,,7.202459098468687e-05,,0.10429479536649182,-0.17383755139496535,-2.9924005318093805e-07,-2.3875702837017343e-07,-2.7427594773143937e-07,5.0918961491674963e-08,-6.140008572685929e-07,6.329548846856214e-10,7.576607341519548e-09,-5.285449189429414e-09,-1.2907346781556965e-10,6.140008572685929e-07,0,True,converged
cheq_0001,Matin,20.0,0.3,0.106,101325.0,phase2_epcsaft_activity_speciation,0.00046593645067704025,balance_inferred,0.09458788395734363,direct_positive,0.011548774053795402,direct_positive,0.00940703675352989,direct_positive,0.0023799287836657355,direct_positive,1.0046299879860273e-12,balance_inferred,0.00023819148540948389,balance_inferred,1e-12,balance_inferred,0.10613665801113903,aggregate_direct_positive,5.1125095715970284e-11,,0.08841102537609975,-0.029329082423204048,0.012461147282695184,0.033022144462289196,0.011373997337473258,0.08246028142488948,9.018022960546139e-06,-2.4214526248248553,0.0005150787140063067,,5.3250861123408034e-14,,4.797470051613831e-05,,0.10087217265879493,-0.02209403353491611,-5.375340599300671e-07,-5.419019011299042e-07,-7.243182302829609e-07,1.435903875801614e-07,3.2309628394955325e-07,2.245695417818494e-10,1.1307044328612292e-09,1.6969670113553548e-09,-2.0378941609444862e-10,7.243182302829609e-07,0,True,converged
cheq_0002,Jakobsen,20.0,0.3,0.11,101325.0,phase2_epcsaft_activity_speciation,0.0014901398642312392,balance_inferred,0.1037539857046046,direct_positive,0.008111061083210587,direct_positive,0.010446363876721133,direct_positive,0.001426701830102873,balance_inferred,9.384703560061698e-05,direct_positive,0.003949698694814653,balance_inferred,9.999999999999998e-13,balance_inferred,0.1118650467878152,aggregate_direct_positive,5.6222665111985444e-11,,0.08751576558253939,-0.0739184927849562,0.012912975428709422,0.20194865261402306,0.011817430747719059,0.05355791645526575,9.496917088176105e-06,,0.0005201512852732247,0.7437091170809877,5.487244994708057e-14,,4.574541466924547e-05,,0.10042874101124881,-0.0468363902648782,-5.504683944224098e-07,-5.481452269862075e-07,-9.939205334319468e-07,1.6290305637767233e-07,9.079881380102961e-08,4.269550477054018e-10,2.868312296011588e-09,-7.447331640264565e-11,-2.1856005803192347e-10,9.939205334319468e-07,0,True,converged
cheq_0003,Matin,20.0,0.3,0.128,101325.0,phase2_epcsaft_activity_speciation,0.0005800357394153343,balance_inferred,0.08945165591122065,direct_positive,0.013970719786219105,direct_positive,0.012016278610492977,direct_positive,0.00218613820294017,direct_positive,1.005212009601407e-12,balance_inferred,0.0002316970292244678,balance_inferred,1e-12,balance_inferred,0.10342237569743976,aggregate_direct_positive,8.425638519922052e-11,,0.08348569942373682,-0.029976294615002886,0.014943829716598184,0.029243128172898817,0.013816640831629128,0.06063247873521767,1.1823074539173928e-05,-2.266947186016104,0.0005390458794421575,,6.208307657791869e-14,,3.7274272388405325e-05,,0.09842952914033501,-0.02148910208788852,-5.21291962485293e-07,-5.052384004500254e-07,-6.2516649279587e-07,1.4634192169182825e-07,3.0157266195374177e-07,2.6175150762142163e-10,1.1711176195472461e-09,2.2150296041800743e-09,-2.17653615433805e-10,6.2516649279587e-07,0,True,converged
cheq_0004,Bottinger,20.0,0.3,0.15,101325.0,phase2_epcsaft_activity_speciation,0.0028425795159548496,balance_inferred,0.13219076419639503,balance_inferred,0.014720383633072138,balance_inferred,0.017016381653143352,direct_positive,0.004700393614254819,balance_inferred,3.182144887167168e-05,balance_inferred,0.007060034532069376,balance_inferred,1e-12,balance_inferred,0.14691114782946715,aggregate_direct_positive,1.3290798353386406e-10,,0.07855795589045911,,0.017421634672384997,,0.016266586068938618,-0.019570802164207646,1.5102627932617623e-05,,0.0005552377506974114,,7.084494774830869e-14,,2.947064362932582e-05,,0.09597959056284411,-0.18487585897798983,-9.673627143769181e-07,-9.098988584810286e-07,-4.2934939870065136e-07,1.469140151755255e-07,-9.921539998458684e-07,1.2382024919266321e-09,7.692749728893666e-09,-4.5860045760903745e-09,-1.6663394115609166e-10,9.921539998458684e-07,0,True,converged
cheq_0005,Matin,20.0,0.3,0.15,101325.0,phase2_epcsaft_activity_speciation,0.000657759882763582,balance_inferred,0.08416674702455727,direct_positive,0.0162969792310219,direct_positive,0.014622435922813282,direct_positive,0.0019901360251392657,direct_positive,1.0157142224496949e-12,balance_inferred,0.00031559271896207733,balance_inferred,1e-12,balance_inferred,0.10046372625557917,aggregate_direct_positive,1.3290811323443038e-10,,0.07855795118714518,-0.02995039396855703,0.01742163278765119,0.028981743381083173,0.01626658590781598,0.046276684231636105,1.5102629082863437e-05,-2.119830204956208,0.0005552369309439743,,7.08450439170414e-14,,2.9470619163543164e-05,,0.09597958397479636,-0.019830419203193693,-4.595335063584116e-07,-4.696289828132194e-07,-7.104746551078733e-07,1.5444356371574486e-07,3.311427470009676e-07,2.888634609288232e-10,1.1497612445454664e-09,2.7982440808926867e-09,-2.2641614863026598e-10,7.104746551078733e-07,0,True,converged
cheq_0006,Matin,20.0,0.3,0.173,101325.0,phase2_epcsaft_activity_speciation,0.0007448135101791825,balance_inferred,0.07899057569094366,direct_positive,0.01872848137001615,direct_positive,0.01714358210751723,direct_positive,0.00199140032760206,direct_positive,1.0034710918153071e-12,balance_inferred,0.00040650106711008147,balance_inferred,1e-12,balance_inferred,0.0977190570609598,aggregate_direct_positive,2.0768912313966477e-10,,0.073404828765415,-0.031850649112271145,0.020008150155612747,0.028704374679883682,0.01883319090184663,0.04082233684659723,1.9160529273281743e-05,-2.01675107276773,0.0005662358623151739,,8.01885103680377e-14,,2.332723664178384e-05,,0.09341297892102775,-0.01957204573773117,-4.0693129932378724e-07,-4.1953251894710775e-07,-6.139564128204711e-07,1.468065242704597e-07,3.4312163066374524e-07,3.206712811953949e-10,1.163143581450754e-09,3.3687379552560515e-09,-2.3219029920051783e-10,6.139564128204711e-07,0,True,converged
cheq_0007,Matin,20.0,0.3,0.195,101325.0,phase2_epcsaft_activity_speciation,0.0007199482977483722,balance_inferred,0.07378495958868811,direct_positive,0.021169786415838263,direct_positive,0.01964483583572776,direct_positive,0.0019920912636591415,direct_positive,1e-12,balance_inferred,0.00046714068554864,balance_inferred,1e-12,balance_inferred,0.09495474600452637,aggregate_direct_positive,3.126221416758323e-10,,0.0684751825831942,-0.03243464481968707,0.022479480406010485,0.02606979226739414,0.021291506757057793,0.03495799273932214,2.3797130599302138e-05,-1.922784636842021,0.0005726990240137297,,8.957091176104966e-14,,1.877871064008328e-05,,0.09095466298920468,-0.018691707390203913,-3.635292245007804e-07,-3.9338186397230857e-07,-5.463788355086763e-07,1.19458922753779e-07,3.4796873293885255e-07,3.4799021303433264e-10,1.1634334190491202e-09,3.950350047077222e-09,-2.3507917032932315e-10,5.463788355086763e-07,0,True,converged
cheq_0008,Jakobsen,20.0,0.3,0.21,101325.0,phase2_epcsaft_activity_speciation,0.0027780549983051216,balance_inferred,0.07414006614813558,direct_positive,0.017855580289988175,direct_positive,0.0203195386605737,direct_positive,9.664497617073778e-05,direct_positive,0.0003966449992563411,direct_positive,0.003353893345268946,balance_inferred,1.0000000000000002e-12,balance_inferred,0.09199564643812375,aggregate_direct_positive,4.1067832688478666e-10,,0.06511403149553352,-0.056378383916190995,0.024163355747791455,0.13138327896320975,0.02296878206134167,0.05322412357846606,2.7481569472923373e-05,-0.5461377516588557,0.0005754317542346547,0.16159184078374414,9.637122057703664e-14,,1.622908321658685e-05,,0.08927738724332497,-0.013025803579981394,-4.7366227562406493e-07,-5.228667312451307e-07,-9.126253033286957e-07,2.22303928154588e-07,8.625070719858741e-07,5.070575834209556e-10,1.2898913187564531e-09,8.706916965195433e-09,-4.636828758341929e-10,9.126253033286957e-07,0,True,converged
cheq_0009,Matin,20.0,0.3,0.218,101325.0,phase2_epcsaft_activity_speciation,0.0007498245412472216,balance_inferred,0.06854375038559,direct_positive,0.023613997972062914,direct_positive,0.022071234345410837,direct_positive,0.0020920851536564314,direct_positive,1.0000000000034347e-12,balance_inferred,0.0005493215290043526,balance_inferred,9.999999999999998e-13,balance_inferred,0.09215774835765292,aggregate_direct_positive,4.744558006326558e-10,,0.06332147400813085,-0.034416847367648946,0.025061142019270982,0.025831336007389908,0.023863553609814292,0.0339084945551749,2.9651348474478384e-05,-1.8485349086884826,0.0005764596729646038,,1.0017595509381203e-13,,1.5017956993034579e-05,,0.08838261602740183,-0.01816500326602866,-3.5304153378490355e-07,-3.720539432094938e-07,-8.640361741640845e-07,1.4674856885221743e-07,3.938680421811114e-07,3.702720144382887e-10,1.1397097710030835e-09,4.566273581474434e-09,-2.360634626566682e-10,8.640361741640845e-07,0,True,converged
