parameter,unit,literature_value,fitted_value,lower_bound,upper_bound
A,dimensionless,2.151,32032.62180599853,,
B,K,-1545.3,-987556.1401891113,,
C,dimensionless,0.0,-5435.370627375245,,
D,1/K,0.0,7.498546416837179,,
lnK4_at_313.15K,dimensionless,-2.7836958326680508,-8.17672936726376,-20.0,10.0
