observation_id,source_key,role,temperature_c,loading_mol_co2_per_mol_mea,reaction_id,dlog10_pco2_dlnk,dlog10_meacoo_dlnk
vle_obs_0208,Jou1995,active_training,80.0,0.348,R1,1.1447687242593927e-05,-6.814043531640986e-08
vle_obs_0208,Jou1995,active_training,80.0,0.348,R2,0.40168835120368834,-0.010664001443017981
vle_obs_0208,Jou1995,active_training,80.0,0.348,R3,-2.0022694613430758e-05,-0.00011334280358955356
vle_obs_0208,Jou1995,active_training,80.0,0.348,R4,0.43429057705601787,0.00011160273365914133
vle_obs_0208,Jou1995,active_training,80.0,0.348,R5,-0.4342820087543941,1.8082337927779679e-06
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,R1,1.2881873345804705e-05,-7.975831982631407e-08
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,R2,0.4018251305915043,-0.01278880733798644
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,R3,-5.805400604685928e-06,-6.11740226817225e-05
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,R4,0.43422753446265,5.09069695748931e-05
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,R5,-0.4342346195507218,1.034685264837027e-05
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,R1,1.1130563137839998e-05,-1.4267892271624535e-07
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,R2,0.37093134483967555,-0.025773816648759367
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,R3,2.8377300509419e-07,-4.437631894669647e-05
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,R4,0.4340025935078983,-4.082126445492508e-06
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,R5,-0.4340140204561748,4.860131546558472e-05
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,R1,6.142375497120155e-06,-1.324502439587405e-07
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,R2,0.3024248430349985,-0.024273429650598182
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,R3,1.4829915073732989e-06,-4.595514953628814e-05
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,R4,0.43359462100767127,-6.3705016971833275e-06
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,R5,-0.4336022689344076,5.245872566727269e-05
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,R1,5.10658182406587e-06,-1.9317329439032013e-07
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,R2,0.2387499163702955,-0.04232143192751012
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,R3,8.639045034897208e-06,-3.1994828555575006e-05
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,R4,0.43305924108949506,-6.447408381349691e-05
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,R5,-0.43307302695083644,9.666399813091645e-05
