model_id,grouping,group,row_count,log10_rmse,log10_mae,log10_bias
M5_literature_R4,overall,all,116,2.068574321763516,1.8024879123068123,1.8024879123068123
M5_literature_R4,role,active_training,68,1.9879789278120847,1.6746661428443246,1.6746661428443246
M5_literature_R4,role,reserved_validation,48,2.1776510341592705,1.9835687523786707,1.9835687523786707
M5_literature_R4,source_key,Hilliard2008,51,2.868350368989112,2.8200265386912657,2.8200265386912657
M5_literature_R4,source_key,Jou1995,47,1.1233529057889498,1.019589104819885,1.019589104819885
M5_literature_R4,source_key,Xu2011,18,0.9847312087519179,0.963697579322283,0.963697579322283
M5_literature_R4,temperature_c,100.0,18,1.0511364116860717,0.9866385453927052,0.9866385453927052
M5_literature_R4,temperature_c,120.0,19,0.7814342206332465,0.7336307277266664,0.7336307277266664
M5_literature_R4,temperature_c,40.0,40,2.8469943464478136,2.7490024661790358,2.7490024661790358
M5_literature_R4,temperature_c,60.0,28,2.156598361181336,2.0584606385634787,2.0584606385634787
M5_literature_R4,temperature_c,80.0,11,0.9738912092406466,0.8902839687978248,0.8902839687978248
M5_fitted_R4,overall,all,116,1.4822294794213187,1.1990938864060212,1.1229758673201837
M5_fitted_R4,role,active_training,68,1.4448778298156584,1.1256094363290827,0.9957610508297128
M5_fitted_R4,role,reserved_validation,48,1.5335878310822981,1.3031968573483514,1.3031968573483514
M5_fitted_R4,source_key,Hilliard2008,51,1.8352094006277162,1.6145424107145836,1.6145424107145836
M5_fitted_R4,source_key,Jou1995,47,1.252755171247122,0.9465097450736726,0.7586439958405418
M5_fitted_R4,source_key,Xu2011,18,0.7196924687507671,0.6815149921217838,0.6815149921217838
M5_fitted_R4,temperature_c,100.0,18,0.8907108514159137,0.8139087876089302,0.7209461213500868
M5_fitted_R4,temperature_c,120.0,19,0.5694716282854573,0.5265720389113414,0.4495385365627144
M5_fitted_R4,temperature_c,40.0,40,1.9139677362464453,1.5864125296354068,1.4962522779585679
M5_fitted_R4,temperature_c,60.0,28,1.6779856755927547,1.5386622781656867,1.5145667173091302
M5_fitted_R4,temperature_c,80.0,11,0.9066190594084372,0.7182380847969776,0.5899071842863489
