model_id,observation_id,source_key,role,temperature_c,loading_mol_co2_per_mol_mea,state_pressure_pa,failure_kind,failure_reason,evidence_stage
M5_literature_R4,vle_obs_0126,Hilliard2008,active_training,40.0,0.269,6658.26,physical_domain_failure,first failed physical criterion=trace_status; search status=domain_rejected,literature-R4 all-row evaluation
M5_literature_R4,vle_obs_0134,Hilliard2008,active_training,40.0,0.389,6706.38,physical_domain_failure,first failed physical criterion=trace_status; search status=domain_rejected,literature-R4 all-row evaluation
M5_literature_R4,vle_obs_0138,Hilliard2008,active_training,40.0,0.481,7615.47,physical_domain_failure,first failed physical criterion=trace_status; search status=domain_rejected,literature-R4 all-row evaluation
M5_literature_R4,vle_obs_0233,Jou1995,active_training,120.0,0.639,3000000.0,provider_domain_rejection,requested density branch is unavailable,literature-R4 all-row evaluation
M5_fitted_R4,vle_obs_0126,Hilliard2008,active_training,40.0,0.269,6658.26,physical_domain_failure,first failed physical criterion=trace_status; search status=domain_rejected,fitted-R4 all-row evaluation
M5_fitted_R4,vle_obs_0134,Hilliard2008,active_training,40.0,0.389,6706.38,physical_domain_failure,first failed physical criterion=trace_status; search status=domain_rejected,fitted-R4 all-row evaluation
M5_fitted_R4,vle_obs_0138,Hilliard2008,active_training,40.0,0.481,7615.47,physical_domain_failure,first failed physical criterion=trace_status; search status=domain_rejected,fitted-R4 all-row evaluation
M5_fitted_R4,vle_obs_0233,Jou1995,active_training,120.0,0.639,3000000.0,provider_domain_rejection,requested density branch is unavailable,fitted-R4 all-row evaluation
M5_literature_R4,vle_obs_0110,Hilliard2008,reserved_validation,40.0,0.369,7142.24,physical_domain_failure,physical_domain_failure: first failed physical criterion=trace_status; search status=domain_rejected,literature-R4 all-row evaluation
M5_fitted_R4,vle_obs_0110,Hilliard2008,reserved_validation,40.0,0.369,7142.24,physical_domain_failure,physical_domain_failure: first failed physical criterion=trace_status; search status=domain_rejected,fitted-R4 all-row evaluation
