row_id,source,species,temperature_C,CO2_loading,abs_log10_residual
cheq_0005,Matin,MEACOO-,20.0,0.15,0.084065281504612
cheq_0005,Matin,HCO3-,20.0,0.15,1.13568349246221
cheq_0005,Matin,CO3^2-,20.0,0.15,9.65995372042274
cheq_0005,Matin,H3O+,20.0,0.15,9.503987860755108
cheq_0005,Matin,OH-,20.0,0.15,7.335103594815085
cheq_0006,Matin,CO2,20.0,0.173,5.316672366518567
cheq_0006,Matin,MEA,20.0,0.173,0.0307784574490158
cheq_0006,Matin,H2O,20.0,0.173,0.0003260961783391
cheq_0006,Matin,MEAH+,20.0,0.173,0.1134761355747361
cheq_0006,Matin,MEACOO-,20.0,0.173,0.0775813083572848
cheq_0006,Matin,HCO3-,20.0,0.173,1.0104372208153671
cheq_0006,Matin,CO3^2-,20.0,0.173,9.687370921200577
cheq_0006,Matin,H3O+,20.0,0.173,9.557498371755567
cheq_0006,Matin,OH-,20.0,0.173,7.23394449349213
cheq_0007,Matin,CO2,20.0,0.195,5.09772633410936
cheq_0007,Matin,MEA,20.0,0.195,0.0309580168404122
cheq_0007,Matin,H2O,20.0,0.195,9.627956451795576e-05
cheq_0007,Matin,MEAH+,20.0,0.195,0.1052114362825629
cheq_0007,Matin,MEACOO-,20.0,0.195,0.0740608158566726
cheq_0007,Matin,HCO3-,20.0,0.195,0.8977964264666612
cheq_0007,Matin,CO3^2-,20.0,0.195,9.7051003674891
cheq_0007,Matin,H3O+,20.0,0.195,9.56683924118166
cheq_0007,Matin,OH-,20.0,0.195,7.141160668260806
cheq_0008,Jakobsen,CO2,20.0,0.21,5.549653644855107
cheq_0008,Jakobsen,MEA,20.0,0.21,0.0545436990870303
cheq_0008,Jakobsen,H2O,20.0,0.21,0.0005943079687755
cheq_0008,Jakobsen,MEAH+,20.0,0.21,0.207022895600931
cheq_0008,Jakobsen,MEACOO-,20.0,0.21,0.0503324338527301
cheq_0008,Jakobsen,HCO3-,20.0,0.21,0.4903459524436589
cheq_0008,Jakobsen,CO3^2-,20.0,0.21,1.1156625126279058
cheq_0008,Jakobsen,H3O+,20.0,0.21,10.388952568227085
cheq_0008,Jakobsen,OH-,20.0,0.21,7.079328842755956
cheq_0009,Matin,CO2,20.0,0.218,4.910296571966966
cheq_0009,Matin,MEA,20.0,0.218,0.0323570390311072
cheq_0009,Matin,H2O,20.0,0.218,9.425602490946745e-05
cheq_0009,Matin,MEAH+,20.0,0.218,0.0997095333209962
cheq_0009,Matin,MEACOO-,20.0,0.218,0.0670141089563907
cheq_0009,Matin,HCO3-,20.0,0.218,0.8063098810202317
cheq_0009,Matin,CO3^2-,20.0,0.218,9.718302040720642
cheq_0009,Matin,H3O+,20.0,0.218,9.58520629495842
cheq_0009,Matin,OH-,20.0,0.218,7.046653762470966
cheq_0010,Bottinger,CO2,20.0,0.235,5.53048630519048
cheq_0010,Bottinger,MEA,20.0,0.235,0.2735328449379752
cheq_0010,Bottinger,H2O,20.0,0.235,0.0342283124787476
cheq_0010,Bottinger,MEAH+,20.0,0.235,0.1194180319595404
cheq_0010,Bottinger,MEACOO-,20.0,0.235,0.109283725558287
cheq_0010,Bottinger,HCO3-,20.0,0.235,1.2611681884791592
cheq_0010,Bottinger,CO3^2-,20.0,0.235,1.5017662879168925
cheq_0010,Bottinger,H3O+,20.0,0.235,10.807306066599365
cheq_0010,Bottinger,OH-,20.0,0.235,6.977646396884384
cheq_0011,Matin,CO2,20.0,0.241,4.694604053195905
cheq_0011,Matin,MEA,20.0,0.241,0.0340469879767194
cheq_0011,Matin,H2O,20.0,0.241,0.0002935742260574
cheq_0011,Matin,MEAH+,20.0,0.241,0.096350141551536
cheq_0011,Matin,MEACOO-,20.0,0.241,0.0594510828793397
cheq_0011,Matin,HCO3-,20.0,0.241,0.7364243893237533
cheq_0011,Matin,CO3^2-,20.0,0.241,9.728463162636444
cheq_0011,Matin,H3O+,20.0,0.241,9.653917331694238
cheq_0011,Matin,OH-,20.0,0.241,6.953356520703165
cheq_0012,Jakobsen,CO2,20.0,0.25,4.590511178177323
cheq_0012,Jakobsen,MEA,20.0,0.25,0.0292602432712815
cheq_0012,Jakobsen,H2O,20.0,0.25,0.0008749549531534
cheq_0012,Jakobsen,MEAH+,20.0,0.25,0.1311317578518017
cheq_0012,Jakobsen,MEACOO-,20.0,0.25,0.0765859506857763
cheq_0012,Jakobsen,HCO3-,20.0,0.25,0.3792002270793417
cheq_0012,Jakobsen,CO3^2-,20.0,0.25,0.9586902221628624
cheq_0012,Jakobsen,H3O+,20.0,0.25,10.266932774805207
cheq_0012,Jakobsen,OH-,20.0,0.25,6.916909386066143
cheq_0013,Matin,CO2,20.0,0.264,4.427296606945476
cheq_0013,Matin,MEA,20.0,0.264,0.0360340449195261
cheq_0013,Matin,H2O,20.0,0.264,0.0004323854379928
cheq_0013,Matin,MEAH+,20.0,0.264,0.0915078523562361
cheq_0013,Matin,MEACOO-,20.0,0.264,0.0531751134998523
cheq_0013,Matin,HCO3-,20.0,0.264,0.6820182113038117
cheq_0013,Matin,CO3^2-,20.0,0.264,9.736786881827502
cheq_0013,Matin,H3O+,20.0,0.264,9.684025498230824
cheq_0013,Matin,OH-,20.0,0.264,6.860065331202339
cheq_0014,Matin,CO2,20.0,0.287,4.08237661076323
cheq_0014,Matin,MEA,20.0,0.287,0.0382325568476462
cheq_0014,Matin,H2O,20.0,0.287,0.0006063429804497
cheq_0014,Matin,MEAH+,20.0,0.287,0.0884633054797007
cheq_0014,Matin,MEACOO-,20.0,0.287,0.0467053011345728
cheq_0014,Matin,HCO3-,20.0,0.287,0.6369228756178423
cheq_0014,Matin,CO3^2-,20.0,0.287,9.743416784593077
cheq_0014,Matin,H3O+,20.0,0.287,9.735342101810463
cheq_0014,Matin,OH-,20.0,0.287,6.765686768394136
cheq_0015,Jakobsen,CO2,20.0,0.29,4.552954659665732
cheq_0015,Jakobsen,MEA,20.0,0.29,0.0738721059749511
cheq_0015,Jakobsen,H2O,20.0,0.29,0.0007311163139643
cheq_0015,Jakobsen,MEAH+,20.0,0.29,0.2043716496939965
cheq_0015,Jakobsen,MEACOO-,20.0,0.29,0.0553174355402603
cheq_0015,Jakobsen,HCO3-,20.0,0.29,0.5622119167913683
cheq_0015,Jakobsen,CO3^2-,20.0,0.29,0.9696581682682532
cheq_0015,Jakobsen,H3O+,20.0,0.29,10.549433218243117
cheq_0015,Jakobsen,OH-,20.0,0.29,6.753244706606761
cheq_0016,Bottinger,CO2,20.0,0.309,5.00962638145993
cheq_0016,Bottinger,MEA,20.0,0.309,0.3339863024599235
cheq_0016,Bottinger,H2O,20.0,0.309,0.0361219426892797
cheq_0016,Bottinger,MEAH+,20.0,0.309,0.0882200250974017
cheq_0016,Bottinger,MEACOO-,20.0,0.309,0.0904963390032188
cheq_0016,Bottinger,HCO3-,20.0,0.309,1.0280122509556249
cheq_0016,Bottinger,CO3^2-,20.0,0.309,1.3184227616992854
cheq_0016,Bottinger,H3O+,20.0,0.309,10.697755196257376
cheq_0016,Bottinger,OH-,20.0,0.309,6.673395006785694
cheq_0017,Matin,CO2,20.0,0.31,3.7416059528222023
cheq_0017,Matin,MEA,20.0,0.31,0.041333022681653
cheq_0017,Matin,H2O,20.0,0.31,0.0007965164246982
cheq_0017,Matin,MEAH+,20.0,0.31,0.0856242178357011
cheq_0017,Matin,MEACOO-,20.0,0.31,0.0405697401443943
cheq_0017,Matin,HCO3-,20.0,0.31,0.583309513707965
cheq_0017,Matin,CO3^2-,20.0,0.31,9.748486570257096
cheq_0017,Matin,H3O+,20.0,0.31,9.73614291512314
cheq_0017,Matin,OH-,20.0,0.31,6.669137920998233
cheq_0018,Matin,CO2,20.0,0.334,2.9871224351647543
cheq_0018,Matin,MEA,20.0,0.334,0.0460654593061984
cheq_0018,Matin,H2O,20.0,0.334,0.0010110641669009
cheq_0018,Matin,MEAH+,20.0,0.334,0.0852295245340498
cheq_0018,Matin,MEACOO-,20.0,0.334,0.0332493361200116
cheq_0018,Matin,HCO3-,20.0,0.334,0.5389685825467412
cheq_0018,Matin,CO3^2-,20.0,0.334,9.752469862018788
cheq_0018,Matin,H3O+,20.0,0.334,9.775215646223776
cheq_0018,Matin,OH-,20.0,0.334,6.564822231216373
cheq_0019,Matin,CO2,20.0,0.358,5.191383357146947
cheq_0019,Matin,MEA,20.0,0.358,0.0534468889088715
cheq_0019,Matin,H2O,20.0,0.358,0.0011789641393323
cheq_0019,Matin,MEAH+,20.0,0.358,0.0834320454513234
cheq_0019,Matin,MEACOO-,20.0,0.358,0.0267722602266603
cheq_0019,Matin,HCO3-,20.0,0.358,0.4812106835781186
cheq_0019,Matin,CO3^2-,20.0,0.358,9.75532554132315
cheq_0019,Matin,H3O+,20.0,0.358,9.74144077608451
cheq_0019,Matin,OH-,20.0,0.358,6.45547197369549
cheq_0020,Matin,CO2,20.0,0.382,5.422891617603838
cheq_0020,Matin,MEA,20.0,0.382,0.0612089018506876
cheq_0020,Matin,H2O,20.0,0.382,0.0015667797024817
cheq_0020,Matin,MEAH+,20.0,0.382,0.081138374943439
cheq_0020,Matin,MEACOO-,20.0,0.382,0.0188828326547701
cheq_0020,Matin,HCO3-,20.0,0.382,0.4187276697917645
cheq_0020,Matin,CO3^2-,20.0,0.382,9.756335899106851
cheq_0020,Matin,H3O+,20.0,0.382,9.634413097738934
cheq_0020,Matin,OH-,20.0,0.382,6.339538004657963
cheq_0021,Bottinger,CO2,20.0,0.388,4.375026965274563
cheq_0021,Bottinger,MEA,20.0,0.388,0.4373504403366381
cheq_0021,Bottinger,H2O,20.0,0.388,0.0371183967634284
cheq_0021,Bottinger,MEAH+,20.0,0.388,0.0630766512362673
cheq_0021,Bottinger,MEACOO-,20.0,0.388,0.0792550179406803
cheq_0021,Bottinger,HCO3-,20.0,0.388,0.7356892063816471
cheq_0021,Bottinger,CO3^2-,20.0,0.388,1.185030841991584
cheq_0021,Bottinger,H3O+,20.0,0.388,10.492039351984896
cheq_0021,Bottinger,OH-,20.0,0.388,6.309337309052984
cheq_0022,Jakobsen,CO2,20.0,0.4,4.034957460501775
cheq_0022,Jakobsen,MEA,20.0,0.4,0.1259837012954005
cheq_0022,Jakobsen,H2O,20.0,0.4,0.003158916937169
cheq_0022,Jakobsen,MEAH+,20.0,0.4,0.0494557101848415
cheq_0022,Jakobsen,MEACOO-,20.0,0.4,0.0594529761403587
cheq_0022,Jakobsen,HCO3-,20.0,0.4,0.6218757217528031
cheq_0022,Jakobsen,CO3^2-,20.0,0.4,0.6773767076182087
cheq_0022,Jakobsen,H3O+,20.0,0.4,0.343468781198552
cheq_0022,Jakobsen,OH-,20.0,0.4,1.643166567756533
cheq_0023,Matin,CO2,20.0,0.406,5.668197018440823
cheq_0023,Matin,MEA,20.0,0.406,0.0699206652814263
cheq_0023,Matin,H2O,20.0,0.406,0.0020198225010297
cheq_0023,Matin,MEAH+,20.0,0.406,0.0785470192467986
cheq_0023,Matin,MEACOO-,20.0,0.406,0.0124147854810628
cheq_0023,Matin,HCO3-,20.0,0.406,0.3491044016793241
cheq_0023,Matin,CO3^2-,20.0,0.406,9.75507120714054
cheq_0023,Matin,H3O+,20.0,0.406,9.498704368909628
cheq_0023,Matin,OH-,20.0,0.406,6.215454110752927
cheq_0024,Matin,CO2,20.0,0.431,5.940084053593178
cheq_0024,Matin,MEA,20.0,0.431,0.0803210677021322
cheq_0024,Matin,H2O,20.0,0.431,0.0025664356024931
cheq_0024,Matin,MEAH+,20.0,0.431,0.077043014667473
cheq_0024,Matin,MEACOO-,20.0,0.431,0.0080758983900147
cheq_0024,Matin,HCO3-,20.0,0.431,0.2657063595684205
cheq_0024,Matin,CO3^2-,20.0,0.431,9.7505637176823
cheq_0024,Matin,H3O+,20.0,0.431,9.365591374771643
cheq_0024,Matin,OH-,20.0,0.431,6.0762759479535005
cheq_0025,Matin,CO2,20.0,0.455,6.216142808556112
cheq_0025,Matin,MEA,20.0,0.455,0.0809837151083665
cheq_0025,Matin,H2O,20.0,0.455,0.0033485463578441
cheq_0025,Matin,MEAH+,20.0,0.455,0.0729472928914222
cheq_0025,Matin,MEACOO-,20.0,0.455,0.0068874264520815
cheq_0025,Matin,HCO3-,20.0,0.455,0.1797098972553107
cheq_0025,Matin,CO3^2-,20.0,0.455,9.741312466135945
cheq_0025,Matin,H3O+,20.0,0.455,9.121248365757817
cheq_0025,Matin,OH-,20.0,0.455,5.933297476515695
cheq_0026,Bottinger,CO2,20.0,0.474,3.5094411186791024
cheq_0026,Bottinger,MEA,20.0,0.474,0.6300423365197875
cheq_0026,Bottinger,H2O,20.0,0.474,0.0351145296401198
cheq_0026,Bottinger,MEAH+,20.0,0.474,0.0494242220630498
cheq_0026,Bottinger,MEACOO-,20.0,0.474,0.0780522235944032
cheq_0026,Bottinger,HCO3-,20.0,0.474,0.3444096678928275
cheq_0026,Bottinger,CO3^2-,20.0,0.474,1.0433586201967424
cheq_0026,Bottinger,H3O+,20.0,0.474,10.123732565447472
cheq_0026,Bottinger,OH-,20.0,0.474,5.8154339191550095
cheq_0027,Matin,CO2,20.0,0.48,6.515120389099274
cheq_0027,Matin,MEA,20.0,0.48,0.0641698728129139
cheq_0027,Matin,H2O,20.0,0.48,0.0044218267558995
cheq_0027,Matin,MEAH+,20.0,0.48,0.0696605244322243
cheq_0027,Matin,MEACOO-,20.0,0.48,0.0102429879438284
cheq_0027,Matin,HCO3-,20.0,0.48,0.083600360493871
cheq_0027,Matin,CO3^2-,20.0,0.48,9.724111196449934
cheq_0027,Matin,H3O+,20.0,0.48,8.831577348774646
cheq_0027,Matin,OH-,20.0,0.48,5.777827973099157
cheq_0028,Matin,CO2,20.0,0.505,6.8081395144216765
cheq_0028,Matin,MEA,20.0,0.505,0.0005349200490229
cheq_0028,Matin,H2O,20.0,0.505,0.0058160914615819
