row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,uncertainty_kPa,uncertainty_available,phase1_model_pressure_kPa,phase1_log10_residual,phase1_status,phase1_accepted,phase2_model_pressure_kPa,phase2_log10_residual,phase2_status,phase2_accepted,phase2_message,comparison_eligible,rejection_reason,activity_minus_ideal_abs_log10_error,preferred_model_on_row
vle_0053,Jou1995,40,0.3,0.203,0.00896,nan,False,0.003637062110254,-0.3915572920799738,accepted,True,0.0009319395157657602,-0.9829202827390116,accepted,True,converged,True,,0.5913629906590377,ideal_baseline
vle_0054,Jou1995,40,0.3,0.365,0.0677,nan,False,0.0579631618815917,-0.067436600542435,accepted,True,0.027313916624210188,-0.394204689295214,accepted,True,converged,True,,0.326768088752779,ideal_baseline
vle_0055,Jou1995,40,0.3,0.4735,0.604,nan,False,1.336391010976281,0.3448966071413341,accepted,True,1.2147468372812706,0.30344883838488956,accepted,True,converged,True,,-0.041447768756444514,activity_model
vle_0056,Jou1995,40,0.3,0.513,2.57,nan,False,9.208294697257688,0.5542460864373605,accepted,True,12.793618989013538,0.697060289375643,accepted,True,converged,True,,0.1428142029382825,ideal_baseline
vle_0057,Jou1995,40,0.3,0.557,8.09,nan,False,50.43368393331962,0.7947721707879503,accepted,True,83.2796180773906,1.0125902032083858,accepted,True,converged,True,,0.21781803242043551,ideal_baseline
vle_0076,Jou1995,60,0.3,0.119,0.0193,nan,False,0.0054220922701026,-0.5513904051223149,accepted,True,0.001607876626347892,-1.0793045870778706,accepted,True,converged,True,,0.5279141819555557,ideal_baseline
vle_0077,Jou1995,60,0.3,0.206,0.0579,nan,False,0.0286179354174621,-0.3060402644625141,accepted,True,0.010193382425132529,-0.7543602457835353,accepted,True,converged,True,,0.44831998132102124,ideal_baseline
vle_0078,Jou1995,60,0.3,0.389,0.528,nan,False,0.6636141387914272,0.0992817078831344,accepted,True,0.4840882378254851,-0.03770939207128564,accepted,True,converged,True,,-0.06157231581184876,activity_model
vle_0079,Jou1995,60,0.3,0.438,2.01,nan,False,2.114861897741896,0.0220859554220775,accepted,True,2.105796942990458,0.02022043346011435,accepted,True,converged,True,,-0.00186552196196315,activity_model
vle_0080,Jou1995,60,0.3,0.504,11.0,nan,False,18.65561020998608,0.2294167738737053,accepted,True,33.456846174208714,0.4830923144181442,accepted,True,converged,True,,0.2536755405444389,ideal_baseline
