target_family,temperature_C,row_count,solver_success_count,median_abs_log10_error,max_abs_log10_error,rmse_log10_error
pressure,overall,161,161,0.4928898384188721,1.4852519243377464,0.6451985158296607
pressure,40 C,59,59,0.5497454219808949,1.3291105110118402,0.6901588933846277
pressure,60 C,24,24,0.6806248586296161,1.323267627795666,0.7618698697977981
pressure,80 C,21,21,0.6672379611251639,1.4852519243377464,0.8331841416596328
pressure,100 C,18,18,0.4175754155342679,1.041084305385774,0.5082641727307036
pressure,120 C,39,39,0.2875795688079359,0.7678926433794916,0.3842951992033542
