role,temperature_C,species,CO2_loading,mole_fraction
curve,80.0,CO2,0.001,1.190372326999677e-11
curve,80.0,CO2,0.00599375,1.227292332351737e-10
curve,80.0,CO2,0.0109875,3.338524485073349e-10
curve,80.0,CO2,0.01598125,6.527405792826678e-10
curve,80.0,CO2,0.020975,1.0837149513229967e-09
curve,80.0,CO2,0.02596875,1.6318814697229562e-09
curve,80.0,CO2,0.0309625,2.3035235281276834e-09
curve,80.0,CO2,0.03595625,3.1060319794626213e-09
curve,80.0,CO2,0.04095,4.0477215478877395e-09
curve,80.0,CO2,0.04594375,5.13800140704381e-09
curve,80.0,CO2,0.0509375,6.387088365111906e-09
curve,80.0,CO2,0.05593125,7.806362584892594e-09
curve,80.0,CO2,0.060925,9.407950666232752e-09
curve,80.0,CO2,0.06591875,1.1205253675424452e-08
curve,80.0,CO2,0.0709125,1.3212821009259941e-08
curve,80.0,CO2,0.07590625,1.544632510641111e-08
curve,80.0,CO2,0.0809,1.7922809816524494e-08
curve,80.0,CO2,0.08589375,2.0660552563334692e-08
curve,80.0,CO2,0.0908875,2.367968295365916e-08
curve,80.0,CO2,0.09588125,2.7001623845649873e-08
curve,80.0,CO2,0.1008749999999999,3.065038608226297e-08
curve,80.0,CO2,0.10586875,3.4650510766428094e-08
curve,80.0,CO2,0.1108625,3.90301180941798e-08
curve,80.0,CO2,0.11585625,4.3818946430310465e-08
curve,80.0,CO2,0.12085,4.9049288689649174e-08
curve,80.0,CO2,0.12584375,5.4756304075447046e-08
curve,80.0,CO2,0.1308375,6.097907657914589e-08
curve,80.0,CO2,0.13583125,6.775830822084695e-08
curve,80.0,CO2,0.140825,7.513973896541689e-08
curve,80.0,CO2,0.14581875,8.317276350490784e-08
curve,80.0,CO2,0.1508125,9.191071810872177e-08
curve,80.0,CO2,0.15580625,1.0141319651056997e-07
curve,80.0,CO2,0.1608,1.117433446832392e-07
curve,80.0,CO2,0.16579375,1.2297168523275848e-07
curve,80.0,CO2,0.1707875,1.3517424203436057e-07
curve,80.0,CO2,0.17578125,1.484370310409565e-07
curve,80.0,CO2,0.180775,1.6284783686370016e-07
curve,80.0,CO2,0.18576875,1.7851118211654792e-07
curve,80.0,CO2,0.1907625,1.9553677127586116e-07
curve,80.0,CO2,0.19575625,2.140467911724454e-07
curve,80.0,CO2,0.2007499999999999,2.3417146945530985e-07
curve,80.0,CO2,0.20574375,2.560630627592023e-07
curve,80.0,CO2,0.2107375,2.7987957587910504e-07
curve,80.0,CO2,0.2157312499999999,3.058036125625284e-07
curve,80.0,CO2,0.220725,3.340305737736374e-07
curve,80.0,CO2,0.22571875,3.64782070198025e-07
curve,80.0,CO2,0.2307125,3.983015870073098e-07
curve,80.0,CO2,0.23570625,4.348573835174811e-07
curve,80.0,CO2,0.2407,4.74748454955594e-07
curve,80.0,CO2,0.24569375,5.183129361057391e-07
curve,80.0,CO2,0.2506875,5.659148596955355e-07
curve,80.0,CO2,0.2556812499999999,6.179734225513088e-07
curve,80.0,CO2,0.260675,6.749542647606165e-07
curve,80.0,CO2,0.26566875,7.373730057025448e-07
curve,80.0,CO2,0.2706625,8.058123908084683e-07
curve,80.0,CO2,0.27565625,8.809252863051951e-07
curve,80.0,CO2,0.28065,9.634506934928672e-07
curve,80.0,CO2,0.28564375,1.054222316475857e-06
curve,80.0,CO2,0.2906375,1.154160097792787e-06
curve,80.0,CO2,0.29563125,1.2643481434781655e-06
curve,80.0,CO2,0.300625,1.3859773928013312e-06
curve,80.0,CO2,0.30561875,1.5204163405807568e-06
curve,80.0,CO2,0.3106125,1.6692320634866511e-06
curve,80.0,CO2,0.31560625,1.834199248760845e-06
curve,80.0,CO2,0.3206,2.01734670226632e-06
curve,80.0,CO2,0.32559375,2.221031804315801e-06
curve,80.0,CO2,0.3305875,2.4479342871189995e-06
curve,80.0,CO2,0.33558125,2.7011741840871724e-06
curve,80.0,CO2,0.340575,2.9843294157916705e-06
curve,80.0,CO2,0.34556875,3.3015702857243745e-06
curve,80.0,CO2,0.3505625,3.657715654559753e-06
curve,80.0,CO2,0.35555625,4.058445700898098e-06
curve,80.0,CO2,0.36055,4.510408687361967e-06
curve,80.0,CO2,0.36554375,5.021322878108068e-06
curve,80.0,CO2,0.3705375,5.600358911380622e-06
curve,80.0,CO2,0.37553125,6.258348030286023e-06
curve,80.0,CO2,0.380525,7.008092844955348e-06
curve,80.0,CO2,0.38551875,7.864876128526986e-06
curve,80.0,CO2,0.3905125,8.846995904704644e-06
curve,80.0,CO2,0.39550625,9.976191130489722e-06
curve,80.0,CO2,0.4004999999999999,1.1278757352447696e-05
curve,80.0,CO2,0.40549375,1.2786366977241172e-05
curve,80.0,CO2,0.4104875,1.4537375945614014e-05
curve,80.0,CO2,0.4154812499999999,1.6578166908822026e-05
curve,80.0,CO2,0.420475,1.8965286336094567e-05
curve,80.0,CO2,0.42546875,2.1767608485874927e-05
curve,80.0,CO2,0.4304624999999999,2.506927918883429e-05
curve,80.0,CO2,0.43545625,2.8972606462807927e-05
curve,80.0,CO2,0.44045,3.3602845719448704e-05
curve,80.0,CO2,0.4454437499999999,3.911234591054826e-05
curve,80.0,CO2,0.4504375,4.568569608553612e-05
curve,80.0,CO2,0.45543125,5.354663496212094e-05
curve,80.0,CO2,0.460425,6.296182042548526e-05
curve,80.0,CO2,0.46541875,7.424806524029988e-05
curve,80.0,CO2,0.4704125,8.777591841627712e-05
curve,80.0,CO2,0.47540625,0.0001039712451826
curve,80.0,CO2,0.4804,0.0001233143298153
curve,80.0,CO2,0.48539375,0.0001463336107843
curve,80.0,CO2,0.4903875,0.0001735960598703
curve,80.0,CO2,0.49538125,0.0002056931196108
curve,80.0,CO2,0.500375,0.0002432167651482
curve,80.0,CO2,0.50536875,0.000286745829885
curve,80.0,CO2,0.5103624999999999,0.0003368227311705
curve,80.0,CO2,0.51535625,0.0003939400785241
curve,80.0,CO2,0.52035,0.0004585210969599
curve,80.0,CO2,0.52534375,0.0005309233050971
curve,80.0,CO2,0.5303375,0.0006114216779887
curve,80.0,CO2,0.53533125,0.000700226318884
curve,80.0,CO2,0.5403249999999999,0.0007974720807928
curve,80.0,CO2,0.54531875,0.0009032393346941
curve,80.0,CO2,0.5503125,0.0010175454967254
curve,80.0,CO2,0.55530625,0.0011403667097812
curve,80.0,CO2,0.5603,0.0012716416099034
curve,80.0,CO2,0.56529375,0.00141127713095
curve,80.0,CO2,0.5702875,0.0015591403710294
curve,80.0,CO2,0.57528125,0.0017151044155163
curve,80.0,CO2,0.580275,0.0018789930198585
curve,80.0,CO2,0.58526875,0.0020506470015649
curve,80.0,CO2,0.5902625,0.0022298866782015
curve,80.0,CO2,0.59525625,0.0024165058751477
curve,80.0,CO2,0.60025,0.002610333072691
curve,80.0,CO2,0.60524375,0.0028111882263672
curve,80.0,CO2,0.6102375,0.0030188420389784
curve,80.0,CO2,0.61523125,0.0032331273529051
curve,80.0,CO2,0.620225,0.0034538497489329
curve,80.0,CO2,0.62521875,0.0036808034046743
curve,80.0,CO2,0.6302125,0.0039138236408457
curve,80.0,CO2,0.63520625,0.0041527231631771
curve,80.0,CO2,0.6402,0.0043973028667875
curve,80.0,CO2,0.64519375,0.0046474188575507
curve,80.0,CO2,0.6501875,0.0049028665173618
curve,80.0,CO2,0.6551812499999999,0.0051635324029526
curve,80.0,CO2,0.660175,0.0054291979205864
curve,80.0,CO2,0.66516875,0.0056997330401509
curve,80.0,CO2,0.6701625,0.0059749916183178
curve,80.0,CO2,0.67515625,0.0062548222116448
curve,80.0,CO2,0.68015,0.006539069115795
curve,80.0,CO2,0.6851437499999999,0.0068276238618097
curve,80.0,CO2,0.6901375,0.0071202999934945
curve,80.0,CO2,0.69513125,0.0074170444580596
curve,80.0,CO2,0.700125,0.007717653222694
curve,80.0,CO2,0.70511875,0.0080220706473812
curve,80.0,CO2,0.7101125,0.0083301515641975
curve,80.0,CO2,0.7151062499999999,0.0086417663028131
curve,80.0,CO2,0.7201,0.0089568247705083
curve,80.0,CO2,0.72509375,0.0092752411407736
curve,80.0,CO2,0.7300875,0.009596856062972
curve,80.0,CO2,0.73508125,0.0099216300106756
curve,80.0,CO2,0.740075,0.0102494425065164
curve,80.0,CO2,0.74506875,0.0105801945826695
curve,80.0,CO2,0.7500625,0.0109138120605756
curve,80.0,CO2,0.75505625,0.0112502473396938
curve,80.0,CO2,0.76005,0.0115893064250755
curve,80.0,CO2,0.76504375,0.0119310117028932
curve,80.0,CO2,0.7700375,0.0122752198612944
curve,80.0,CO2,0.77503125,0.0126219448727445
curve,80.0,CO2,0.780025,0.0129710002808297
curve,80.0,CO2,0.78501875,0.0133223828364354
curve,80.0,CO2,0.7900125,0.0136760008211672
curve,80.0,CO2,0.79500625,0.0140318269069848
curve,80.0,CO2,0.8,0.0143897761874534
curve,80.0,MEA,0.001,0.1116126857865772
curve,80.0,MEA,0.00599375,0.1106594195792174
curve,80.0,MEA,0.0109875,0.1096179580959165
curve,80.0,MEA,0.01598125,0.10854097333842
curve,80.0,MEA,0.020975,0.1074481300466705
curve,80.0,MEA,0.02596875,0.1063471398911487
curve,80.0,MEA,0.0309625,0.1052414762730323
curve,80.0,MEA,0.03595625,0.1041329059406551
curve,80.0,MEA,0.04095,0.1030224204036772
curve,80.0,MEA,0.04594375,0.1019106163250223
curve,80.0,MEA,0.0509375,0.1007978752475933
curve,80.0,MEA,0.05593125,0.0996844545822138
curve,80.0,MEA,0.060925,0.0985705328095213
curve,80.0,MEA,0.06591875,0.0974562409390395
curve,80.0,MEA,0.0709125,0.0963416750864397
curve,80.0,MEA,0.07590625,0.0952269104216699
curve,80.0,MEA,0.0809,0.0941120048764433
curve,80.0,MEA,0.08589375,0.0929970054836028
curve,80.0,MEA,0.0908875,0.0918819506602654
curve,80.0,MEA,0.09588125,0.0907668729751175
curve,80.0,MEA,0.1008749999999999,0.089651801251417
curve,80.0,MEA,0.10586875,0.0885367570156287
curve,80.0,MEA,0.1108625,0.0874217637610167
curve,80.0,MEA,0.11585625,0.0863068409083764
curve,80.0,MEA,0.12085,0.0851920052480774
curve,80.0,MEA,0.12584375,0.0840772745136457
curve,80.0,MEA,0.1308375,0.0829626644415453
curve,80.0,MEA,0.13583125,0.0818481902184428
curve,80.0,MEA,0.140825,0.0807338659687849
curve,80.0,MEA,0.14581875,0.0796197077340274
curve,80.0,MEA,0.1508125,0.0785057298541054
curve,80.0,MEA,0.15580625,0.0773919471033154
curve,80.0,MEA,0.1608,0.0762783738543489
curve,80.0,MEA,0.16579375,0.0751650252689575
curve,80.0,MEA,0.1707875,0.0740519176840312
curve,80.0,MEA,0.17578125,0.0729390676236367
curve,80.0,MEA,0.180775,0.0718264916531087
curve,80.0,MEA,0.18576875,0.070714207697944
curve,80.0,MEA,0.1907625,0.0696022332741135
curve,80.0,MEA,0.19575625,0.0684905886640134
curve,80.0,MEA,0.2007499999999999,0.0673792941708241
curve,80.0,MEA,0.20574375,0.0662683708322434
curve,80.0,MEA,0.2107375,0.0651578423297484
curve,80.0,MEA,0.2157312499999999,0.0640477321486391
curve,80.0,MEA,0.220725,0.0629380671977856
curve,80.0,MEA,0.22571875,0.061828872747038
curve,80.0,MEA,0.2307125,0.0607201814794428
curve,80.0,MEA,0.23570625,0.059612021990566
curve,80.0,MEA,0.2407,0.0585044300813078
curve,80.0,MEA,0.24569375,0.0573974413749698
curve,80.0,MEA,0.2506875,0.0562910941125817
curve,80.0,MEA,0.2556812499999999,0.0551854290556735
curve,80.0,MEA,0.260675,0.0540804930424364
curve,80.0,MEA,0.26566875,0.052976335870167
