component,CO2,MEA,H2O,MEAH+,MEACOO-,HCO3-,CO3^2-,H3O+,OH-
CO2,0,-1.99978469688,0,1.77987267749,-1.99999947184,0,0,0,0
MEA,-1.99978469688,0,0.238354344715,0,0,0,0,0,0
H2O,0,0.238354344715,0,0,0,0,0,0,0
MEAH+,1.77987267749,0,0,0,0,0,0,0,0
MEACOO-,-1.99999947184,0,0,0,0,0,0,0,0
HCO3-,0,0,0,0,0,0,0,0,0
CO3^2-,0,0,0,0,0,0,0,0,0
H3O+,0,0,0,0,0,0,0,0,0
OH-,0,0,0,0,0,0,0,0,0
