temperature_C,n,epcsaft_median_abs_log10_error,legacy_median_abs_log10_error,median_abs_epcsaft_minus_legacy_log10,max_abs_epcsaft_minus_legacy_log10,expected_legacy_median_abs_log10_error,epcsaft_delta_vs_expected,legacy_delta_vs_expected
40,5,0.39155729277262796,0.3915572920799738,6.926541438131041e-10,4.305216803417665e-07,0.39155729207995144,6.926765272474711e-10,2.2370993946196904e-14
60,7,0.30604026437525855,0.3060402644625141,3.490795034420765e-10,4.506024837567526e-09,0.3060402645017894,-1.2653084136005077e-10,-3.927530523029077e-11
80,6,0.15416556534494352,0.15416556580017232,9.433002086858116e-10,1.4715454906642603e-09,0.15416556579951093,-4.54567411489748e-10,6.613876113448214e-13
100,7,0.055035322190326794,0.05503532223643554,1.4267977040736047e-10,4.509380311454973e-09,0.05503532221359544,-2.3268643956075863e-11,2.2840104807464456e-11
120,6,0.0784225154364494,0.0784225149796336,4.5681578336836393e-10,1.3072659377150716e-09,0.07842251498018801,4.5626138978072106e-10,-5.544176229221875e-13
