temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,legacy_pcsaft_CO2_pressure_kPa,epcsaft_CO2_pressure_kPa,legacy_log10_pred_over_obs,epcsaft_log10_pred_over_obs,epcsaft_minus_legacy_log10
40,0.3,0.203,0.00896,0.0036370621067809,0.003637062104503,-0.391557292494692,-0.3915572927666956,-2.720034608858923e-10
40,0.3,0.365,0.0677,0.0579631618615922,0.0579631619136018,-0.0674366006922831,-0.067436600302596,3.8968704344527236e-10
40,0.3,0.4735,0.604,1.3363910112960176,1.3363910141249489,0.3448966072452406,0.3448966081645742,9.19333585347561e-10
40,0.3,0.513,2.57,9.208294696573365,9.208294699633498,0.5542460864050855,0.5542460865494119,1.4432626312320948e-10
40,0.3,0.557,8.09,50.43368393672695,50.43363393692436,0.7947721708172915,0.7947717402588347,-4.305584567901678e-07
60,0.3,0.119,0.0193,0.0054220922701396,0.0054220922773907,-0.5513904051193479,-0.55139040453856,5.807877208458738e-10
60,0.3,0.206,0.0579,0.0286179354198034,0.0286179354243139,-0.3060402644269827,-0.3060402643585332,6.844941006175798e-11
60,0.3,0.389,0.528,0.6636141387821068,0.6636141393666788,0.0992817078770349,0.0992817082596011,3.8256625657308056e-10
60,0.3,0.438,2.01,2.114861874932741,2.1148618755940607,0.0220859507381357,0.0220859508739401,1.3580440487127988e-10
60,0.3,0.504,11.0,18.655610211791743,18.65561022197819,0.2294167739157404,0.2294167741528764,2.3713593501319116e-10
60,0.3,0.561,34.0,113.6129986616977,113.61299856893449,0.5239491055659653,0.5239491052113707,-3.545945886605094e-10
60,0.3,0.579,82.0,177.13399475308742,177.13399472428048,0.3344880646329785,0.33448806456235,-7.062840441631904e-11
80,0.3,0.118,0.0992,0.0355247818278181,0.0355247819090708,-0.4459802527261177,-0.4459802517327948,9.933229601143883e-10
80,0.3,0.187,0.278,0.1357604156284554,0.1357604159260512,-0.3112716370204455,-0.3112716360684435,9.52001913996111e-10
80,0.3,0.348,2.67,1.8468764665339896,1.8468764715711423,-0.1600734139464454,-0.1600734127619548,1.184490561575371e-09
80,0.3,0.46,16.0,18.020605561985786,18.020605583661503,0.0516493982052131,0.0516493987275955,5.223823600135331e-10
80,0.3,0.517,56.0,78.78540003907256,78.78540011405988,0.1482577175146235,0.1482577179279815,4.133581004466311e-10
80,0.3,0.5785,235.0,326.0484026959304,326.0484016547303,0.1422142146776842,0.142214213290812,-1.386872186804793e-09
100,0.3,0.188,1.43,0.8195548826441844,0.8195548836325018,-0.2417579954445428,-0.2417579949208185,5.237243181143724e-10
100,0.3,0.381,19.0,17.04232424304575,17.042324252991232,-0.0472247771245813,-0.0472247768711377,2.534435803581166e-10
100,0.3,0.422,39.0,34.35811150424061,34.35811150808848,-0.0550353222347901,-0.0550353221861522,4.863788086057125e-11
100,0.3,0.477,69.0,95.54894768775884,95.54894771809208,0.1413768176509906,0.1413768177888628,1.3787221225715856e-10
100,0.3,0.481,109.0,103.03901612802387,103.03901614999214,-0.0244247947825159,-0.0244247946899229,9.259298753913628e-11
100,0.3,0.571,509.0,560.9962106266019,560.9962064316476,0.0422421453908557,0.0422421421433373,-3.247518369207607e-09
100,0.3,0.589,376.0,766.5464708329206,766.5464628738239,0.309350643570679,0.3093506390613739,-4.509304949262679e-09
120,0.3,0.119,2.29,1.1826092284243264,1.1826092320080868,-0.2869942186711153,-0.2869942173550362,1.3160791192707775e-09
120,0.3,0.349,46.8,45.72716425190423,45.72716432698055,-0.010071583421766,-0.0100715827087274,7.130385788271405e-10
120,0.3,0.4115,122.0,111.51098027358992,111.51098021800485,-0.0390421970354911,-0.0390421972519746,-2.1648346416082267e-10
120,0.3,0.444,222.0,181.09225012932555,181.09224989213868,-0.0884531094379978,-0.0884531100068181,-5.688203213140565e-10
120,0.3,0.473,422.0,275.32230395797853,275.32230416714725,-0.1854710557924219,-0.1854710554624783,3.2994358179566107e-10
120,0.3,0.536,822.0,702.2308375438618,702.2308369855234,-0.0683919205208409,-0.0683919208661451,-3.453042096238757e-10
