temperature_C,CO2_loading,legacy_pcsaft_CO2_pressure_kPa,legacy_pcsaft_total_pressure_Pa,legacy_pcsaft_y_CO2,epcsaft_success,epcsaft_message,epcsaft_CO2_pressure_kPa,epcsaft_total_pressure_Pa,epcsaft_y_CO2,epcsaft_y_MEA,epcsaft_y_H2O,epcsaft_bubble_residual,epcsaft_max_fugacity_residual,epcsaft_iterations,epcsaft_method,epcsaft_equilibrium_split_detected,epcsaft_equilibrium_message,epcsaft_liquid_fugacity_pressure_kPa,x6_CO2,x6_MEA,x6_H2O,x6_MEAH+,x6_MEACOO-,x6_HCO3-,x_apparent_CO2,x_apparent_MEA,x_apparent_H2O
40,0.203,0.003637062110254083,6211.087375637431,0.0005855757438738042,True,solved,0.0036370621044533504,6211.087362283126,0.0005855757441989042,1.1392859358626752e-05,0.9994030313964424,5.0676888463385694e-08,5.0676888463385694e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.0036503311433700386,3.6058686741420074e-10,0.06680978122483443,0.8876209237331302,0.022784647340724246,0.022645215283282553,0.0001394320574417441,3.77803087646736e-10,0.0699996142753349,0.930000385346862
40,0.2207,0.00490568559560536,6292.614361762787,0.0007795941898831222,True,solved,0.004905685590902273,6292.614352136334,0.0007795941903283489,9.43661872898896e-06,0.9992109691909427,9.085535568331693e-08,9.085535168651404e-08,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.004923716055835885,4.826668130875635e-10,0.06285819157998312,0.8875992301138899,0.024771288911730034,0.024610163343425827,0.000161125568304196,5.078258129462132e-10,0.06613467380373375,0.9338653256884404
40,0.2384,0.0065685965604397175,6374.05716975416,0.0010305204966796777,True,solved,0.006568596553917052,6374.057159635029,0.0010305204972923653,7.756120733346531e-06,0.9989617233819743,1.4789370861301165e-07,1.4789369906509364e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.0065929149353672716,6.419019665766531e-10,0.05890943919959868,0.8875746992702889,0.026757930444105228,0.026572274173562616,0.0001856562705426103,6.781962212056021e-10,0.06224028144294225,0.9377597178788615
40,0.2561,0.008754781843216267,6455.3351646219535,0.00135620872037695,True,solved,0.008754781836771273,6455.335155912521,0.0013562087212083266,6.321521742867429e-06,0.9986374697570488,2.2280349787351383e-07,2.2280347522496413e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.008787424409440015,8.505018872010773e-10,0.05496409799450703,0.8875467573048365,0.028744571925077424,0.028530973874268898,0.00021359805080852472,9.023788762236389e-10,0.05831667363390936,0.9416833254637117
40,0.27380000000000004,0.011654176400612946,6536.405831650481,0.0017829640173474663,True,solved,0.011654176389013603,6536.405820988184,0.0017829640184812924,5.1050588032768385e-06,0.9982119309227154,3.156905035162083e-07,3.156904535839278e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.011697928770029743,1.1265692696608622e-09,0.05102296357390804,0.8875146086281288,0.030731213335696922,0.030485466853262647,0.0002457464824342793,1.200345411495232e-09,0.05436432703802215,0.9456356717616324
40,0.2915,0.015613103169636098,6617.352582748728,0.0023594183586860802,True,solved,0.015613103157095543,6617.352573124029,0.002359418360222667,4.081053458230737e-06,0.9976365005863191,4.243098681300239e-07,4.243097784240035e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.015672105200270604,1.5033250333909889e-09,0.047087415166876374,0.8874768740474589,0.032717854641169795,0.03243437391253452,0.0002834807286352758,1.6085838591549139e-09,0.050384350905080616,0.9496156474863355
40,0.30920000000000003,0.020997183554826656,6698.2652138423355,0.00313471964523513,True,solved,0.020997183550334066,6698.265207952114,0.0031347196473209835,3.2257444645626203e-06,0.9968620546082145,5.458951679582214e-07,5.458950198544699e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.021077028110935515,2.0159641700626088e-09,0.04315854636466439,0.887432460010267,0.03470449580455222,0.03437660149382566,0.00032789431072655545,2.16632672343187e-09,0.04637756648787176,0.9536224313458015
40,0.3269,0.028422713866086215,6779.450460446158,0.004192480501467623,True,solved,0.028422713833151987,6779.450447949808,0.004192480504337542,2.517399981069265e-06,0.9958050020956815,6.78640778017936e-07,6.786405482017699e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.028531422267621318,2.7242505672550316e-09,0.03923821845281908,0.8873795052967117,0.036691136763109325,0.03631028836761601,0.0003808483954933165,2.939994012009778e-09,0.04234563761491921,0.9576543594450868
40,0.3446,0.038855286674647375,6861.532665641868,0.005662770778489418,True,solved,0.03885528666976032,6861.532659967482,0.005662770782460206,1.9362158090614034e-06,0.9943352930017308,8.178760075860936e-07,8.178756731036518e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.03900467190151138,3.722412222514542e-09,0.035329074860871966,0.8873153665809951,0.03867777741786041,0.03823279119277875,0.0004449862250816633,4.0345034775034674e-09,0.0382911044943012,0.9617088914711953
40,0.3623,0.054392682242967984,6946.20864731205,0.007830556927485346,True,solved,0.054392682273025045,6946.20864602049,0.007830556933268456,1.4643026226794018e-06,0.9921679787641088,3.989803329940145e-07,3.989802535298015e-07,38,bubble_pressure_phi_iteration,False,no two-phase Rachford-Rice bracket; liquid-like single phase,0.05460271368760853,5.21519757524826e-09,0.031436405616019604,0.8872347540615463,0.04066441755361828,0.040138820134323565,0.0005255974192947114,5.6768926407492395e-09,0.034219432172652525,0.9657805621504548
