row_id,source_key,source_file,source_row,MEA_weight_fraction,temperature,CO2_loading,CO2_pressure,paper
vle_0001,Aronu2011,Aronu_2011_VLE.csv,34,0.3,40,0.102,0.0016,Aronu
vle_0002,Aronu2011,Aronu_2011_VLE.csv,35,0.3,40,0.206,0.0123,Aronu
vle_0003,Aronu2011,Aronu_2011_VLE.csv,36,0.3,40,0.25,0.0246,Aronu
vle_0004,Aronu2011,Aronu_2011_VLE.csv,37,0.3,40,0.337,0.0603,Aronu
vle_0005,Aronu2011,Aronu_2011_VLE.csv,38,0.3,40,0.353,0.0851,Aronu
vle_0006,Aronu2011,Aronu_2011_VLE.csv,39,0.3,40,0.401,0.1835,Aronu
vle_0007,Aronu2011,Aronu_2011_VLE.csv,40,0.3,40,0.417,0.2928,Aronu
vle_0008,Aronu2011,Aronu_2011_VLE.csv,41,0.3,40,0.421,0.3188,Aronu
vle_0009,Aronu2011,Aronu_2011_VLE.csv,42,0.3,40,0.433,0.3809,Aronu
vle_0010,Aronu2011,Aronu_2011_VLE.csv,43,0.3,40,0.447,0.5702,Aronu
vle_0011,Aronu2011,Aronu_2011_VLE.csv,44,0.3,40,0.464,1.0662,Aronu
vle_0012,Aronu2011,Aronu_2011_VLE.csv,45,0.3,40,0.476,1.8326,Aronu
vle_0013,Aronu2011,Aronu_2011_VLE.csv,46,0.3,40,0.477,1.8278,Aronu
vle_0014,Aronu2011,Aronu_2011_VLE.csv,47,0.3,40,0.485,2.3193,Aronu
vle_0015,Aronu2011,Aronu_2011_VLE.csv,48,0.3,40,0.489,2.8577,Aronu
vle_0016,Aronu2011,Aronu_2011_VLE.csv,49,0.3,40,0.516,8.5583,Aronu
vle_0017,Aronu2011,Aronu_2011_VLE.csv,50,0.3,40,0.524,11.812,Aronu
vle_0018,Hilliard2008,Hilliard_2008_VLE.csv,13,0.3,40,0.153,0.0057,Hilliard
vle_0019,Hilliard2008,Hilliard_2008_VLE.csv,14,0.3,40,0.163,0.00664,Hilliard
vle_0020,Hilliard2008,Hilliard_2008_VLE.csv,15,0.3,40,0.17,0.00721,Hilliard
vle_0021,Hilliard2008,Hilliard_2008_VLE.csv,16,0.3,40,0.191,0.00995,Hilliard
vle_0022,Hilliard2008,Hilliard_2008_VLE.csv,17,0.3,40,0.194,0.00985,Hilliard
vle_0023,Hilliard2008,Hilliard_2008_VLE.csv,18,0.3,40,0.232,0.0146,Hilliard
vle_0024,Hilliard2008,Hilliard_2008_VLE.csv,19,0.3,40,0.246,0.0191,Hilliard
vle_0025,Hilliard2008,Hilliard_2008_VLE.csv,20,0.3,40,0.269,0.0231,Hilliard
vle_0026,Hilliard2008,Hilliard_2008_VLE.csv,21,0.3,40,0.272,0.0224,Hilliard
vle_0027,Hilliard2008,Hilliard_2008_VLE.csv,22,0.3,40,0.326,0.0485,Hilliard
vle_0028,Hilliard2008,Hilliard_2008_VLE.csv,23,0.3,40,0.348,0.0662,Hilliard
vle_0029,Hilliard2008,Hilliard_2008_VLE.csv,24,0.3,40,0.35,0.0721,Hilliard
vle_0030,Hilliard2008,Hilliard_2008_VLE.csv,25,0.3,40,0.36,0.0966,Hilliard
vle_0031,Hilliard2008,Hilliard_2008_VLE.csv,26,0.3,40,0.382,0.131,Hilliard
vle_0032,Hilliard2008,Hilliard_2008_VLE.csv,27,0.3,40,0.386,0.12,Hilliard
