model_family,temperature_C,record_count,median_abs_log10_error,median_log10_pred_over_obs,mae_kPa,rmse_kPa
legacy_pcsaft_smith_missen,40,5,0.391557292494692,0.3448966072452406,9.945885884125593,19.170764437262765
legacy_pcsaft_smith_missen,60,7,0.3060402644269827,0.0992817078770349,26.09803423037168,46.97620266619185
legacy_pcsaft_smith_missen,80,6,0.1541655657305344,-0.0542120078706161,19.48057443883308,38.32703735450585
legacy_pcsaft_smith_missen,100,7,0.0550353222347901,-0.0244247947825159,68.89466034133241,149.2822274456973
legacy_pcsaft_smith_missen,120,6,0.0784225149794193,-0.0784225149794193,53.33730910248594,79.20946872776273
neutral_epcsaft_parity,40,5,0.3915572927666956,0.3448966081645742,9.945875885332942,19.170742349949258
neutral_epcsaft_parity,60,7,0.3060402643585332,0.0992817082596011,26.098034214636023,46.97620263563673
neutral_epcsaft_parity,80,6,0.1541655653449681,-0.0542120070171796,19.48057428050757,38.32703694986815
neutral_epcsaft_parity,100,7,0.0550353221861522,-0.0244247946899229,68.89465860412274,149.28222426296034
neutral_epcsaft_parity,120,6,0.0784225154364816,-0.0784225154364816,53.33730919636619,79.20946882537865
legacy_pcsaft_smith_missen,overall,31,0.1600734139464454,-0.0244247947825159,37.147922344208745,84.19252720520637
neutral_epcsaft_parity,overall,31,0.1600734127619548,-0.0244247946899229,37.1479203232006,84.19252509800039
