source,temperature_C,MEA_weight_fraction,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data
Matin,20.0,0.3,0.358,HCO3-,0.0046,3.73806110362466e-07,-4.090111435454673
Matin,20.0,0.3,0.382,HCO3-,0.0053,3.73806110362466e-07,-4.151629473373887
Jakobsen,20.0,0.3,0.4,HCO3-,0.0006,3.73806110362466e-07,-3.205504854156742
Matin,20.0,0.3,0.406,HCO3-,0.0061,3.73806110362466e-07,-4.212683438783865
Matin,20.0,0.3,0.431,HCO3-,0.007,3.73806110362466e-07,-4.272451643787355
Matin,20.0,0.3,0.455,HCO3-,0.008,3.73806110362466e-07,-4.330443590765042
Matin,20.0,0.3,0.48,HCO3-,0.0091,3.73806110362466e-07,-4.386394996094192
Matin,20.0,0.3,0.505,HCO3-,0.0102,3.73806110362466e-07,-4.435953775535016
Bottinger,20.0,0.3,0.524,HCO3-,0.0106,3.73806110362466e-07,-4.452659469037869
Matin,20.0,0.3,0.531,HCO3-,0.0114,3.73806110362466e-07,-4.484258455109571
Jakobsen,20.0,0.3,0.6,HCO3-,0.0139,3.73806110362466e-07,-4.570368404027193
Bottinger,20.0,0.3,0.609,HCO3-,0.0254,3.73806110362466e-07,-4.832187320393037
Bottinger,20.0,0.3,0.704,HCO3-,0.041,3.73806110362466e-07,-5.040137460492834
Jakobsen,20.0,0.3,0.78,HCO3-,0.0442,3.73806110362466e-07,-5.072775873122191
Bottinger,20.0,0.3,0.832,HCO3-,0.0625,3.73806110362466e-07,-5.223233621117174
Bottinger,20.0,0.3,0.929,HCO3-,0.0785,3.73806110362466e-07,-5.322223260518351
Bottinger,20.0,0.3,0.974,HCO3-,0.0876,3.73806110362466e-07,-5.369857709941179
Jakobsen,20.0,0.3,0.99,HCO3-,0.0671,3.73806110362466e-07,-5.254076123942091
Matin,20.0,0.3,0.106,MEA,0.0915,0.1117910591198689,0.0869859766558937
Jakobsen,20.0,0.3,0.11,MEA,0.102,0.1117910591198689,0.0398068989604244
Matin,20.0,0.3,0.128,MEA,0.0867,0.1117910591198689,0.1103879732461317
Matin,20.0,0.3,0.15,MEA,0.0817,0.1117910591198689,0.1361850141899265
Matin,20.0,0.3,0.173,MEA,0.0768,0.1117910591198689,0.16304585069083
Matin,20.0,0.3,0.195,MEA,0.0718,0.1117910591198689,0.1922826264800416
Jakobsen,20.0,0.3,0.21,MEA,0.0732,0.1117910591198689,0.18389598966395
Matin,20.0,0.3,0.218,MEA,0.0668,0.1117910591198689,0.2236306082467963
Matin,20.0,0.3,0.241,MEA,0.0618,0.1117910591198689,0.2574185956335261
