temperature_C,CO2_loading,effective_CO2_loading,species,mole_fraction,curve_role,solver_success
20.0,0.049062499999999995,0.049062499999999995,OH-,0.00011048676456965439,epcsaft_activity_equilibrium_curve,True
20.0,0.049062499999999995,0.049062499999999995,MEA + MEAH+,0.1071300296213541,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,CO2,1.0822915470128468e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,MEA,0.1000474165872772,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,MEAH+,0.006555909020022405,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,MEACOO-,0.005642843570506364,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,HCO3-,3.8060483112114902e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,CO3^2-,0.0004041204276006281,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,H3O+,3.0713824231764565e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,OH-,0.00010101854603431453,epcsaft_activity_equilibrium_curve,True
20.0,0.05390625,0.05390625,MEA + MEAH+,0.1066033256072996,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,CO2,1.299387953228891e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,MEA,0.09896861705640868,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,MEAH+,0.007106568842801826,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,MEACOO-,0.006170983278990714,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,HCO3-,4.220911799049815e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,CO3^2-,0.000419258231820011,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,H3O+,3.296382620869358e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,OH-,9.284819675981466e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.05875,0.05875,MEA + MEAH+,0.1060751858992105,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,CO2,1.5423183015307106e-11,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,MEA,0.09788879019697024,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,MEAH+,0.0076569888109895195,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,MEACOO-,0.006700390169513308,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,HCO3-,4.648541380523631e-06,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,CO3^2-,0.00043311609370044437,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,H3O+,3.517477766515712e-14,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,OH-,8.571791563222518e-05,epcsaft_activity_equilibrium_curve,True
20.0,0.06359375,0.06359375,MEA + MEAH+,0.10554577900795975,epcsaft_activity_equilibrium_curve,True
