row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,pressure_Pa,model_family,target_x_CO2,target_role_CO2,target_x_MEA,target_role_MEA,target_x_MEAH+,target_role_MEAH+,target_x_MEACOO-,target_role_MEACOO-,target_x_HCO3-,target_role_HCO3-,target_x_CO3^2-,target_role_CO3^2-,target_x_H3O+,target_role_H3O+,target_x_OH-,target_role_OH-,target_x_MEA + MEAH+,target_role_MEA + MEAH+,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,model_x_MEA + MEAH+,log10_model_over_target_MEA + MEAH+,reaction_residual_R1_water_autoionization,reaction_residual_R2_CO2_to_HCO3,reaction_residual_R3_HCO3_to_CO3,reaction_residual_R4_MEACOO_hydrolysis,reaction_residual_R5_MEAH_dissociation,mass_balance_residual_carbon_total,mass_balance_residual_mea_total,mass_balance_residual_water_total,charge_residual,max_abs_reaction_residual,state_failure_count,solver_returned,solver_success,rejection_reason,message
cheq_0000,Bottinger,20.0,0.3,0.075,101325.0,phase2_epcsaft_activity_speciation,0.0013497353570532872,balance_inferred,0.14852414575618061,balance_inferred,0.007108385188704443,balance_inferred,0.008558219077847738,direct_positive,0.0024072801195538164,balance_inferred,1.000000028893599e-12,balance_inferred,0.0038571140106971116,balance_inferred,1e-12,balance_inferred,0.15563253094488505,aggregate_direct_positive,2.2275170487698813e-11,,0.09534292875584141,,0.00895186054649372,,0.00795138079681827,-0.031940846989446846,5.708698150376452e-06,,0.00046137324834945944,,4.0241650529993195e-14,,7.202457113642078e-05,,0.10429478930233513,-0.17383776906720613,-3.7509268580038224e-08,-2.9168546689106734e-08,-4.572543943481833e-08,6.056769308315779e-09,-8.939919027284304e-08,7.911947833005861e-11,9.470773609798755e-10,-6.606821756349746e-10,-1.6134199187713312e-11,8.939919027284304e-08,0,True,True,,converged
cheq_0001,Matin,20.0,0.3,0.106,101325.0,phase2_epcsaft_activity_speciation,0.00046593644367666514,balance_inferred,0.0945878840245385,direct_positive,0.011548774026001098,direct_positive,0.009407036766965863,direct_positive,0.0023799287815134008,direct_positive,1.0349482089040186e-12,balance_inferred,0.00023819152454806168,balance_inferred,1e-12,balance_inferred,0.1061366580505396,aggregate_direct_positive,5.1125049405365113e-11,,0.08841102477697053,-0.02932908567478016,0.012461147691877934,0.03302215976829101,0.011373996807307009,0.08246026056119955,9.018021427911893e-06,-2.421452698241469,0.0005150790766576256,,5.325084785943629e-14,,4.797473565781466e-05,,0.10087217246884847,-0.022094034513931434,-7.631988907519371e-08,-7.651243905115734e-08,-8.36826785644007e-08,2.1545709216752584e-08,4.510270201762978e-08,2.8071212021529846e-11,1.4133805237293018e-10,2.121209874417218e-10,-2.547371349775028e-11,8.36826785644007e-08,0,True,True,,converged
cheq_0002,Jakobsen,20.0,0.3,0.11,101325.0,phase2_epcsaft_activity_speciation,0.0025078904260246175,balance_inferred,0.10164700583465086,direct_positive,0.008097766617566568,direct_positive,0.010630416286859101,direct_positive,1.211598788673816e-06,direct_zero,0.00010120692981795064,direct_positive,0.0027362751277171075,balance_inferred,1e-12,balance_inferred,0.10974477245221743,aggregate_direct_positive,5.622256275326051e-11,,0.08751576352865695,-0.06500830423577925,0.012912982404363645,0.20266130325485807,0.011817423239689475,0.0459725181972663,9.496908411722025e-06,,0.0005201584046743783,0.7109253697379011,5.487246274190666e-14,,4.5745446968619204e-05,,0.10042874593302059,-0.038525802726864254,-3.835115336414674e-09,-5.5680072108543754e-08,-4.8986542822149204e-08,1.2079173217216521e-09,2.3283028838250175e-09,3.2959746043559335e-17,2.7755575615628914e-17,0.0,-5.429820005078967e-17,5.5680072108543754e-08,0,True,True,,converged
cheq_0003,Matin,20.0,0.3,0.128,101325.0,phase2_epcsaft_activity_speciation,0.0005800357391936413,balance_inferred,0.08945165592133604,direct_positive,0.01397071978577341,direct_positive,0.012016278611627344,direct_positive,0.002186138203460926,direct_positive,1e-12,balance_inferred,0.00023169703131486162,balance_inferred,1e-12,balance_inferred,0.10342237570710945,aggregate_direct_positive,8.425631325823894e-11,,0.08348569887851877,-0.029976297500350458,0.014943830077945775,0.029243138688162328,0.013816640313398921,0.06063246240483842,1.182307261026381e-05,-2.266947256973807,0.0005390462104589719,,6.208306181065864e-14,,3.727429867835357e-05,,0.09842952895646455,-0.02148910293977399,-7.29469871174615e-08,-7.052041439692402e-08,-7.21961335159449e-08,2.1641648473291752e-08,4.1455312072002926e-08,3.2718957751476374e-11,1.4638970591285272e-10,2.768787421558727e-10,-2.7206731889628e-11,7.29469871174615e-08,0,True,True,,converged
cheq_0004,Bottinger,20.0,0.3,0.15,101325.0,phase2_epcsaft_activity_speciation,0.0028425691382644074,balance_inferred,0.13219105498332526,balance_inferred,0.01472025381441536,balance_inferred,0.017016368693273293,direct_positive,0.0047004031778125795,balance_inferred,3.184741223422577e-05,balance_inferred,0.007060212881138963,balance_inferred,1.0000000000000002e-12,balance_inferred,0.14691130879774061,aggregate_direct_positive,1.3290797928788097e-10,,0.07855795099070452,,0.017421633349456053,,0.016266585290673385,-0.019570492179022604,1.510262619598624e-05,,0.0005552374002044735,,7.084501629445332e-14,,2.947064283857766e-05,,0.09597958434016057,-0.18487636298426924,-6.671804264613002e-08,-6.227054072382998e-08,-4.158057720360375e-08,9.197828276796827e-09,-7.755791742170004e-08,7.738779408961172e-11,4.807984149701738e-10,-2.866261672451742e-10,-1.04146444953831e-11,7.755791742170004e-08,0,True,True,,converged
cheq_0005,Matin,20.0,0.3,0.15,101325.0,phase2_epcsaft_activity_speciation,0.0006577600814271924,balance_inferred,0.08416673974509128,direct_positive,0.016296978463269295,direct_positive,0.014622434463450922,direct_positive,0.0019901358908814893,direct_positive,1.0000000000709608e-12,balance_inferred,0.00031559189306311694,balance_inferred,9.999999999999998e-13,balance_inferred,0.10046371820836059,aggregate_direct_positive,1.3290799914843425e-10,,0.07855795073012682,-0.029950358933573475,0.01742163320432356,0.02898177422774826,0.016266585319465485,0.046276711867398804,1.5102626509425248e-05,-2.1198302496603567,0.0005552373239993725,,7.084502508995516e-14,,2.947063919931597e-05,,0.09597958393445039,-0.019830384598443915,-6.596014756610202e-08,-6.667727703302262e-08,-8.186214373040457e-08,2.312724944886213e-08,4.580622103844689e-08,3.6107904860527285e-11,1.4371986933880976e-10,3.4978087093406884e-10,-2.8302046704088745e-11,8.186214373040457e-08,0,True,True,,converged
cheq_0006,Matin,20.0,0.3,0.173,101325.0,phase2_epcsaft_activity_speciation,0.0007448135104815942,balance_inferred,0.07899057569361166,direct_positive,0.018728481370144517,direct_positive,0.01714358210773746,direct_positive,0.0019914003276031217,direct_positive,1.002169432384618e-12,balance_inferred,0.0004065010672004016,balance_inferred,1e-12,balance_inferred,0.09771905706375618,aggregate_direct_positive,2.0768895367081214e-10,,0.07340482837147237,-0.03185065145767372,0.020008150539068875,0.028704383000159144,0.018833190328563013,0.04082232362106438,1.916052624218179e-05,-2.016751141471183,0.0005662362310917732,,8.018848786403263e-14,,2.3327251747748602e-05,,0.09341297891054125,-0.01957204579891284,-5.856008122862022e-08,-5.95051368179611e-08,-7.036199534127263e-08,2.1978813435907796e-08,4.669175979188367e-08,4.0083925761935646e-11,1.4539293380355645e-10,4.210921611402796e-10,-2.9023824766076164e-11,7.036199534127263e-08,0,True,True,,converged
cheq_0007,Matin,20.0,0.3,0.195,101325.0,phase2_epcsaft_activity_speciation,0.0007199482979771388,balance_inferred,0.07378495959070201,direct_positive,0.021169786416004453,direct_positive,0.019644835835966427,direct_positive,0.0019920912636592174,direct_positive,1.002179718118685e-12,balance_inferred,0.0004671406856255507,balance_inferred,1e-12,balance_inferred,0.09495474600670646,aggregate_direct_positive,3.1262190025827917e-10,,0.06847518225341845,-0.03243464692309835,0.022479480775710506,0.02606979940643982,0.021291506190092804,0.03495798116935144,2.379712748337266e-05,-1.9227846937073416,0.0005726993830216522,,8.957088597919811e-14,,1.877872220870252e-05,,0.09095466302912895,-0.018691707209542753,-5.266088543010028e-08,-5.5728374803720726e-08,-6.216354009325187e-08,1.8472235296940198e-08,4.702489775354479e-08,4.3498791374441126e-11,1.4542918258531046e-10,4.937938946625309e-10,-2.93849299954534e-11,6.216354009325187e-08,0,True,True,,converged
cheq_0008,Jakobsen,20.0,0.3,0.21,101325.0,phase2_epcsaft_activity_speciation,0.002778054998298223,balance_inferred,0.07414006614812994,direct_positive,0.017855580289981778,direct_positive,0.02031953866057732,direct_positive,9.66449761707198e-05,direct_positive,0.0003966449992565626,direct_positive,0.0033538933452793886,balance_inferred,1e-12,balance_inferred,0.09199564643811173,aggregate_direct_positive,4.1067760748722406e-10,,0.06511403137540592,-0.05637838471737939,0.02416335682440719,0.13138329831366868,0.02296878093377406,0.05322410225830286,2.748156155827637e-05,-0.5461378767348924,0.0005754326129770945,0.16159248890001932,9.637113935866111e-14,,1.62291050501952e-05,,0.08927738819981311,-0.013025798927038519,-3.395381753534821e-10,7.233035859144366e-08,6.815366049295335e-08,6.954063991315707e-10,2.721371572533826e-09,1.9584646404613437e-12,4.982056434066351e-12,3.362954359431569e-11,-1.790943011026249e-12,7.233035859144366e-08,0,True,True,,converged
cheq_0009,Matin,20.0,0.3,0.218,101325.0,phase2_epcsaft_activity_speciation,0.0007498245413025849,balance_inferred,0.06854375038577457,direct_positive,0.023613997972064357,direct_positive,0.022071234345391516,direct_positive,0.0020920851536561803,direct_positive,1.0000000000001286e-12,balance_inferred,0.0005493215289833383,balance_inferred,1.0000000000000002e-12,balance_inferred,0.09215774835783892,aggregate_direct_positive,4.744554091767761e-10,,0.06332147374799427,-0.03441684915298209,0.025061142558090464,0.0258313453447801,0.02386355288361168,0.033908481339342766,2.965134369471061e-05,-1.848534978696273,0.0005764601971915627,,1.001759223371497e-13,,1.5017966731182299e-05,,0.08838261630608474,-0.018165001897513154,-5.35381214916697e-08,-5.499240174344777e-08,-9.885382112884145e-08,2.3070926502555267e-08,5.5038182011912795e-08,4.6284039101340824e-11,1.4246370749759762e-10,5.707843087066067e-10,-2.9508005735997536e-11,9.885382112884145e-08,0,True,True,,converged
