target_family,species_or_property,target_role,metric,row_count,solver_success_count,median_abs_log10_error,max_abs_log10_error,rmse_log10_error,max_model_mole_fraction
speciation,CO2,direct_positive,median_abs_log10_error,6,74,0.14782539034683015,0.30579669677143995,0.1785088057653917,
speciation,MEA,direct_positive,median_abs_log10_error,35,74,0.07191438010200076,1.0577276749371614,0.362583818824019,
speciation,MEAH+,direct_positive,median_abs_log10_error,35,74,0.03259739541930107,0.2890205673075217,0.08596571785056348,
speciation,MEACOO-,direct_positive,median_abs_log10_error,74,74,0.040349616624237236,0.227921904732015,0.07436171899623137,
speciation,HCO3-,direct_positive,median_abs_log10_error,53,74,0.4608053867308149,2.421452698241469,1.049176932033644,
speciation,HCO3-,direct_zero,max_model_mole_fraction_for_reported_zero,15,74,,,,0.0012758413981048295
speciation,CO3^2-,direct_positive,median_abs_log10_error,16,74,0.5993177331979311,1.4790529927126266,0.7747801661400058,
speciation,H3O+,direct_positive,median_abs_log10_error,0,74,,,,
speciation,OH-,direct_positive,median_abs_log10_error,0,74,,,,
speciation,MEA + MEAH+,direct_positive,median_abs_log10_error,74,74,0.06586349107615011,0.243269576014586,0.09800445846597644,
