target_family,temperature_C,row_count,solver_success_count,median_abs_log10_error,max_abs_log10_error,rmse_log10_error
pressure,overall,161,161,0.4928898383419168,1.4852519243331819,0.6451985175355217
pressure,40 C,59,59,0.5497454220205634,1.329110511015443,0.6901588933803647
pressure,60 C,24,24,0.680624858629662,1.323267761744644,0.7618698794959493
pressure,80 C,21,21,0.6672379611210326,1.4852519243331819,0.8331841416607794
pressure,100 C,18,18,0.4175754155344747,1.041084305392477,0.5082641727303733
pressure,120 C,39,39,0.2875795688101837,0.7678926433719208,0.38429519920513555
