row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,species,target_role,validation_use,reconciled_mole_fraction
cheq_0006,Matin,20.0,0.3,0.173,H3O+,balance_inferred,context_only,0.0004065010672004016
cheq_0006,Matin,20.0,0.3,0.173,OH-,balance_inferred,context_only,1e-12
cheq_0006,Matin,20.0,0.3,0.173,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.09771905706375618
cheq_0007,Matin,20.0,0.3,0.195,CO2,balance_inferred,context_only,0.0007199482979771388
cheq_0007,Matin,20.0,0.3,0.195,MEA,direct_positive,log_residual_target,0.07378495959070201
cheq_0007,Matin,20.0,0.3,0.195,MEAH+,direct_positive,log_residual_target,0.021169786416004453
cheq_0007,Matin,20.0,0.3,0.195,MEACOO-,direct_positive,log_residual_target,0.019644835835966427
cheq_0007,Matin,20.0,0.3,0.195,HCO3-,direct_positive,log_residual_target,0.0019920912636592174
cheq_0007,Matin,20.0,0.3,0.195,CO3^2-,balance_inferred,context_only,1.002179718118685e-12
cheq_0007,Matin,20.0,0.3,0.195,H3O+,balance_inferred,context_only,0.0004671406856255507
cheq_0007,Matin,20.0,0.3,0.195,OH-,balance_inferred,context_only,1e-12
cheq_0007,Matin,20.0,0.3,0.195,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.09495474600670646
cheq_0008,Jakobsen,20.0,0.3,0.21,CO2,balance_inferred,context_only,0.002778054998298223
cheq_0008,Jakobsen,20.0,0.3,0.21,MEA,direct_positive,log_residual_target,0.07414006614812994
cheq_0008,Jakobsen,20.0,0.3,0.21,MEAH+,direct_positive,log_residual_target,0.017855580289981778
cheq_0008,Jakobsen,20.0,0.3,0.21,MEACOO-,direct_positive,log_residual_target,0.02031953866057732
cheq_0008,Jakobsen,20.0,0.3,0.21,HCO3-,direct_positive,log_residual_target,9.66449761707198e-05
cheq_0008,Jakobsen,20.0,0.3,0.21,CO3^2-,direct_positive,log_residual_target,0.0003966449992565626
cheq_0008,Jakobsen,20.0,0.3,0.21,H3O+,balance_inferred,context_only,0.0033538933452793886
cheq_0008,Jakobsen,20.0,0.3,0.21,OH-,balance_inferred,context_only,1e-12
cheq_0008,Jakobsen,20.0,0.3,0.21,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.09199564643811173
cheq_0009,Matin,20.0,0.3,0.218,CO2,balance_inferred,context_only,0.0007498245413025849
cheq_0009,Matin,20.0,0.3,0.218,MEA,direct_positive,log_residual_target,0.06854375038577457
cheq_0009,Matin,20.0,0.3,0.218,MEAH+,direct_positive,log_residual_target,0.023613997972064357
cheq_0009,Matin,20.0,0.3,0.218,MEACOO-,direct_positive,log_residual_target,0.022071234345391516
cheq_0009,Matin,20.0,0.3,0.218,HCO3-,direct_positive,log_residual_target,0.0020920851536561803
cheq_0009,Matin,20.0,0.3,0.218,CO3^2-,balance_inferred,context_only,1.0000000000001286e-12
cheq_0009,Matin,20.0,0.3,0.218,H3O+,balance_inferred,context_only,0.0005493215289833383
cheq_0009,Matin,20.0,0.3,0.218,OH-,balance_inferred,context_only,1.0000000000000002e-12
cheq_0009,Matin,20.0,0.3,0.218,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.09215774835783892
cheq_0010,Bottinger,20.0,0.3,0.235,CO2,balance_inferred,context_only,0.0043969201416978725
cheq_0010,Bottinger,20.0,0.3,0.235,MEA,balance_inferred,context_only,0.1124028504384268
cheq_0010,Bottinger,20.0,0.3,0.235,MEAH+,balance_inferred,context_only,0.0240872770856017
cheq_0010,Bottinger,20.0,0.3,0.235,MEACOO-,direct_positive,log_residual_target,0.026572171304108105
cheq_0010,Bottinger,20.0,0.3,0.235,HCO3-,balance_inferred,context_only,0.007186363503379458
cheq_0010,Bottinger,20.0,0.3,0.235,CO3^2-,balance_inferred,context_only,0.00016765613461799313
cheq_0010,Bottinger,20.0,0.3,0.235,H3O+,balance_inferred,context_only,0.010006569991121848
cheq_0010,Bottinger,20.0,0.3,0.235,OH-,balance_inferred,context_only,1e-12
cheq_0010,Bottinger,20.0,0.3,0.235,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.1364901275240285
cheq_0011,Matin,20.0,0.3,0.241,CO2,balance_inferred,context_only,0.0007228113157221105
cheq_0011,Matin,20.0,0.3,0.241,MEA,direct_positive,log_residual_target,0.06333014982717777
cheq_0011,Matin,20.0,0.3,0.241,MEAH+,direct_positive,log_residual_target,0.025964612628512785
cheq_0011,Matin,20.0,0.3,0.241,MEACOO-,direct_positive,log_residual_target,0.02439872482238661
cheq_0011,Matin,20.0,0.3,0.241,HCO3-,direct_positive,log_residual_target,0.0022911960019207523
cheq_0011,Matin,20.0,0.3,0.241,CO3^2-,balance_inferred,context_only,1e-12
cheq_0011,Matin,20.0,0.3,0.241,H3O+,balance_inferred,context_only,0.0007253081977945802
