fit_stage,row_id,source,temperature_C,CO2_loading,species,observed_mole_fraction,model_mole_fraction,log10_model_over_data,success,message
initial,cheq_0000,Bottinger,20.0,0.075,MEACOO-,0.008558218196377136,0.005521644773227611,-0.19031489134566296,True,converged
initial,cheq_0000,Bottinger,20.0,0.075,MEA + MEAH+,0.15563246198965539,0.10672452440144839,-0.16383595959623715,True,converged
initial,cheq_0036,Bottinger,20.0,0.929,MEACOO-,0.011799087741843187,0.009212738143454413,-0.10745970344614351,True,converged
initial,cheq_0036,Bottinger,20.0,0.929,MEA + MEAH+,0.11097309029582733,0.10278382068709752,-0.03329292283927172,True,converged
initial,cheq_0053,Bottinger,40.0,0.508,MEACOO-,0.048293131371159426,0.04248342833720417,-0.05566581008707458,True,converged
initial,cheq_0053,Bottinger,40.0,0.508,MEA + MEAH+,0.08674398458732455,0.06975931685348707,-0.0946371486601509,True,converged
initial,cheq_0066,Bottinger,60.0,0.613,MEACOO-,0.03746803701043445,0.0366766269806001,-0.009271552238491399,True,converged
initial,cheq_0066,Bottinger,60.0,0.613,MEA + MEAH+,0.09365445577061926,0.07549599630427213,-0.09360452372356834,True,converged
initial,cheq_0015,Jakobsen,20.0,0.29,MEAH+,0.023802043448146945,0.03622236416329368,0.18236254884190445,True,converged
initial,cheq_0015,Jakobsen,20.0,0.29,MEACOO-,0.02986290002877931,0.028002792334946527,-0.027930640651013902,True,converged
initial,cheq_0015,Jakobsen,20.0,0.29,HCO3-,0.000194986865200032,0.0008820515103638774,0.6554885907671149,True,converged
initial,cheq_0015,Jakobsen,20.0,0.29,CO3^2-,0.0005949823526603378,0.0036664936153667604,0.7897468484492125,True,converged
initial,cheq_0054,Jakobsen,40.0,0.6,MEAH+,0.062245305674142624,0.06782191135528695,0.03726342087627102,True,converged
initial,cheq_0054,Jakobsen,40.0,0.6,MEACOO-,0.04885588278330977,0.03797917964551115,-0.10937128532163831,True,converged
initial,cheq_0054,Jakobsen,40.0,0.6,HCO3-,0.014972803014411035,0.028550608323980393,0.2803122551879336,True,converged
initial,cheq_0054,Jakobsen,40.0,0.6,CO3^2-,0.0008977612992929972,0.0006459818929934049,-0.14294053509518953,True,converged
initial,cheq_0014,Matin,20.0,0.287,MEAH+,0.03080066831655787,0.03589049153145173,0.06641926619615454,True,converged
initial,cheq_0014,Matin,20.0,0.287,MEACOO-,0.028937297108747345,0.0276900092403949,-0.019134862682641952,True,converged
initial,cheq_0014,Matin,20.0,0.287,HCO3-,0.0029863926919184484,0.0008533725451593193,-0.5440082475907337,True,converged
initial,cheq_0030,Matin,20.0,0.531,MEAH+,0.055385514990727094,0.062139258642926354,0.04996986930323326,True,converged
initial,cheq_0030,Matin,20.0,0.531,MEACOO-,0.04458989893663572,0.04167965609061892,-0.02931236118611865,True,converged
initial,cheq_0030,Matin,20.0,0.531,HCO3-,0.01104194786937126,0.015360068904622354,0.14334747148456084,True,converged
final,cheq_0000,Bottinger,20.0,0.075,MEACOO-,0.008558218196377136,0.005537305933710983,-0.18908483610711668,False,chemical equilibrium did not converge
final,cheq_0000,Bottinger,20.0,0.075,MEA + MEAH+,0.15563246198965539,0.10670886321294491,-0.16389969440207366,False,chemical equilibrium did not converge
final,cheq_0036,Bottinger,20.0,0.929,MEACOO-,0.011799087741843187,0.009841297650826001,-0.0787960634195225,True,converged
final,cheq_0036,Bottinger,20.0,0.929,MEA + MEAH+,0.11097309029582733,0.10210839371718146,-0.03615623581939634,True,converged
final,cheq_0053,Bottinger,40.0,0.508,MEACOO-,0.048293131371159426,0.043474112074515465,-0.04565464573518645,True,converged
final,cheq_0053,Bottinger,40.0,0.508,MEA + MEAH+,0.08674398458732455,0.06876882260033994,-0.10084777880471475,True,converged
final,cheq_0066,Bottinger,60.0,0.613,MEACOO-,0.03746803701043445,0.03764340748417298,0.0020279883562691605,True,converged
final,cheq_0066,Bottinger,60.0,0.613,MEA + MEAH+,0.09365445577061926,0.074526152632513,-0.09921974288481218,True,converged
final,cheq_0015,Jakobsen,20.0,0.29,MEAH+,0.023802043448146945,0.036052537089435316,0.1803215886879137,True,converged
final,cheq_0015,Jakobsen,20.0,0.29,MEACOO-,0.02986290002877931,0.028249419865240644,-0.024122446889310062,True,converged
final,cheq_0015,Jakobsen,20.0,0.29,HCO3-,0.000194986865200032,0.0008056253951018487,0.6161277904961395,True,converged
final,cheq_0015,Jakobsen,20.0,0.29,CO3^2-,0.0005949823526603378,0.0034962989086191076,0.7691044700039553,True,converged
final,cheq_0054,Jakobsen,40.0,0.6,MEAH+,0.062245305674142624,0.06774476494810583,0.03676913624132026,True,converged
final,cheq_0054,Jakobsen,40.0,0.6,MEACOO-,0.04885588278330977,0.038944412025171384,-0.09847171367992313,True,converged
final,cheq_0054,Jakobsen,40.0,0.6,HCO3-,0.014972803014411035,0.027647033416873686,0.26634542650943943,True,converged
final,cheq_0054,Jakobsen,40.0,0.6,CO3^2-,0.0008977612992929972,0.0005765840443283484,-0.1922982598046977,True,converged
