family,metric,initial,final
overall,overall_rmse_log10,0.271444549584188,0.2676573035774338
overall,overall_mae_log10,0.17389503252592373,0.17024731540172555
overall,overall_median_abs_log10,0.1010484260531472,0.09884572828236765
CO3^2-,rmse_log10,0.5675086260175974,0.5605801934174895
CO3^2-,mae_log10,0.46634369177220103,0.4807013649043265
CO3^2-,median_abs_log10,0.46634369177220103,0.4807013649043265
CO3^2-,r2_log10,-39.36136512465198,-38.381876934555876
HCO3-,rmse_log10,0.45407425716014815,0.4483803032230866
HCO3-,mae_log10,0.40578914125758575,0.3957269103135335
HCO3-,median_abs_log10,0.41216025138933365,0.4246439279446711
HCO3-,r2_log10,0.6277554386515565,0.6370325739910908
MEA + MEAH+,rmse_log10,0.10685110801489277,0.10975565484485737
MEA + MEAH+,mae_log10,0.09634263870480703,0.10003086297774923
MEA + MEAH+,median_abs_log10,0.09412083619185962,0.10003376084476347
MEA + MEAH+,r2_log10,-0.19665506255991438,-0.2625969414476317
MEACOO-,rmse_log10,0.09008297983975543,0.08282423434436105
MEACOO-,mae_log10,0.06855763836984816,0.05890480761500252
MEACOO-,median_abs_log10,0.04248908563659662,0.034888546312248254
MEACOO-,r2_log10,0.8876738274090447,0.9050466408808331
MEAH+,rmse_log10,0.10192297154682052,0.100431033881859
MEAH+,mae_log10,0.08400377630439082,0.08244216373603933
MEAH+,median_abs_log10,0.0581945677496939,0.05633896500746165
MEAH+,r2_log10,0.6553265859383761,0.6653433193502851
