parameter,initial,fitted,delta,lower_bound,upper_bound,at_bound
MEAH+__s,3.563,3.48508556586174,-0.07791443413826027,2.0,5.8,False
MEAH+__e,228.71,232.6872016451942,3.977201645194185,50.0,950.0,False
MEAH+__d_born,3.563,3.533229271464668,-0.029770728535332136,1.0,7.0,False
MEACOO-__s,3.5605,3.535435257213276,-0.025064742786724103,2.0,5.8,False
MEACOO-__e,533.11,453.26524438401077,-79.84475561598924,50.0,1000.0,False
MEACOO-__d_born,3.5605,3.5410703082156436,-0.019429691784356606,1.0,7.0,False
k_ij__MEAH+__MEACOO-,0.0,-0.002018134576435147,-0.002018134576435147,-2.0,2.0,False
