row_id,source,temperature_C,CO2_loading,included_observables
cheq_0000,Bottinger,20.0,0.075,MEACOO-;MEA + MEAH+
cheq_0036,Bottinger,20.0,0.929,MEACOO-;MEA + MEAH+
cheq_0053,Bottinger,40.0,0.508,MEACOO-;MEA + MEAH+
cheq_0066,Bottinger,60.0,0.613,MEACOO-;MEA + MEAH+
cheq_0015,Jakobsen,20.0,0.290,MEAH+;MEACOO-;HCO3-;CO3^2-
cheq_0054,Jakobsen,40.0,0.600,MEAH+;MEACOO-;HCO3-;CO3^2-
cheq_0014,Matin,20.0,0.287,MEAH+;MEACOO-;HCO3-
cheq_0030,Matin,20.0,0.531,MEAH+;MEACOO-;HCO3-
