temperature_C,CO2_loading,pred_CO2_pressure_kPa,x6_CO2,x6_MEA,x6_H2O,x6_MEAH+,x6_MEACOO-,x6_HCO3-,x_apparent_CO2,x_apparent_MEA,x_apparent_H2O
40,0.203,0.0036370621067809,3.605868674142008e-10,0.0668097812248344,0.8876209237331302,0.0227846473407242,0.0226452152832825,0.0001394320574417,3.7780308764673603e-10,0.0699996142753349,0.930000385346862
40,0.2207,0.0049056855973433,4.826668130875634e-10,0.0628581915799831,0.8875992301138899,0.02477128891173,0.0246101633434258,0.0001611255683041,5.078258129462132e-10,0.0661346738037337,0.9338653256884404
40,0.2384,0.0065685965585203,6.419019665766531e-10,0.0589094391995986,0.8875746992702889,0.0267579304441052,0.0265722741735626,0.0001856562705426,6.78196221205602e-10,0.0622402814429422,0.9377597178788616
40,0.2561,0.0087547818416496,8.505018872010772e-10,0.054964097994507,0.8875467573048365,0.0287445719250774,0.0285309738742688,0.0002135980508085,9.023788762236388e-10,0.0583166736339093,0.9416833254637116
40,0.2738,0.0116541764006747,1.1265692696608622e-09,0.051022963573908,0.8875146086281289,0.0307312133356969,0.0304854668532626,0.0002457464824342,1.2003454114952319e-09,0.0543643270380221,0.9456356717616324
40,0.2915,0.0156131031696031,1.5033250333909887e-09,0.0470874151668763,0.8874768740474589,0.0327178546411697,0.0324343739125345,0.0002834807286352,1.6085838591549135e-09,0.0503843509050806,0.9496156474863356
40,0.3092,0.0209971835630749,2.015964170062609e-09,0.0431585463646643,0.887432460010267,0.0347044958045522,0.0343766014938256,0.0003278943107265,2.1663267234318704e-09,0.0463775664878717,0.9536224313458016
40,0.3269,0.0284227138440965,2.7242505672550303e-09,0.039238218452819,0.8873795052967117,0.0366911367631093,0.036310288367616,0.0003808483954933,2.939994012009776e-09,0.0423456376149192,0.9576543594450868
40,0.3446,0.0388552866864153,3.7224122225145382e-09,0.0353290748608719,0.8873153665809951,0.0386777774178604,0.0382327911927787,0.0004449862250816,4.0345034775034625e-09,0.0382911044943012,0.9617088914711952
40,0.3623,0.0543926822201188,5.2151975752482605e-09,0.0314364056160196,0.8872347540615463,0.0406644175536182,0.0401388201343235,0.0005255974192947,5.67689264074924e-09,0.0342194321726525,0.9657805621504548
40,0.38,0.0777991598697777,7.475716480802027e-09,0.0275655154534056,0.8871323633050209,0.0426510568829285,0.0420230707139074,0.000627986169021,8.172880459557993e-09,0.0301361967358361,0.9698637950912834
40,0.3977,0.114452621381242,1.1037357865896931e-08,0.0237259170857706,0.8869986821885723,0.0446376948441495,0.043876030720564,0.0007616641235855,1.2119314379919228e-08,0.02605169204514,0.9739482958355457
40,0.4154,0.1744818253846631,1.6911188437291918e-08,0.0199328745105935,0.8868184478344014,0.0466243303719083,0.0456824371087057,0.0009418932632025,1.865030433940613e-08,0.0219827351200216,0.978017246229674
40,0.4331,0.2862626739423039,2.79230810916354e-08,0.0162221434227913,0.8865559076811917,0.0486109604864679,0.0474065368459773,0.0012044236404906,3.09301718111371e-08,0.0179691374875585,0.9820308315822696
40,0.4508,0.5091638866359579,5.004131002449074e-08,0.0126462267355838,0.8861585654488996,0.0505975788871032,0.0489958326500074,0.0016017462370957,5.567538988838648e-08,0.0140700474023557,0.9859298969222544
40,0.4685,1.0022170380153723,9.930290013249637e-08,0.0093091972140111,0.8855223662293018,0.0525841686268935,0.0503462669026865,0.0022379017242069,1.109738337015686e-07,0.0104032943866129,0.9895965946395534
40,0.4862,2.1851929034288684,2.181619567942705e-07,0.0063919355839901,0.8844664766803524,0.0545706847868502,0.0512769990320525,0.0032936857547976,2.448895361656588e-07,0.0071750279625527,0.9928247271479111
40,0.5039,5.386149032479292,5.403983109142268e-07,0.0041957267542331,0.8826897617494417,0.0565569855490071,0.051486870931959,0.0050701146170481,6.09321032583262e-07,0.004730852237494,0.9952685384414732
40,0.5216000000000001,12.820432357145808,1.2882075462567616e-06,0.0027634434276013,0.8801495994338737,0.0585428344654894,0.0509332214082664,0.007609613057223,1.4590402499153192e-06,0.0031299111707195,0.9968686297890306
40,0.5393,27.009932336217577,2.7102830959625897e-06,0.001901645846091,0.8770397131785556,0.0605279653461286,0.049809728495884,0.0107182368502446,3.0835671922756262e-06,0.0021635572870852,0.9978333591457226
40,0.557,50.43368393672695,5.043558748590458e-06,0.0013827988737677,0.8735879122295022,0.0625121226689907,0.0483441562593169,0.0141679664096737,5.76422686196449e-06,0.0015803853608514,0.9984138504122868
60,0.119,0.0054220922701396,6.518474128758308e-10,0.085664190630799,0.8876227747928812,0.0133565169622361,0.013218936223115,0.0001375807391211,6.697381508191771e-10,0.0880153475970328,0.9119846517332292
60,0.142,0.0088275905124038,1.047692157188606e-09,0.0805380141987688,0.8875859280177986,0.0159380283678701,0.0157636012050817,0.0001744271627884,1.0821880447002101e-09,0.0831897762255686,0.9168102226922432
60,0.1649999999999999,0.0137682751940311,1.6147619462500647e-09,0.0754168611931271,0.8875440579980687,0.018519539597021,0.0183032429179248,0.0002162966790962,1.6768717310963947e-09,0.078317675788968,0.9216823225341604
60,0.188,0.0208256581127379,2.4161838559997517e-09,0.0703017572255431,0.8874961391904599,0.0211010505839066,0.020836835808672,0.0002642147752345,2.5226447656084123e-09,0.0733993646376337,0.9266006328397216
60,0.211,0.0307824568939883,3.5370764183904903e-09,0.0651939183978229,0.8874409555857456,0.0236825612396774,0.0233631638548127,0.0003193973848646,3.71294028998412e-09,0.06843536798432,0.9315646283027396
60,0.2339999999999999,0.0448357456257069,5.108919852012468e-09,0.0600951123772887,0.8873767396598224,0.0262640714269845,0.0258804595116167,0.0003836119153678,5.392160002938267e-09,0.0634268046317564,0.9365731899760836
60,0.257,0.0651567452625173,7.372761187787375e-09,0.0550083857158337,0.8873004451237344,0.0288455808938352,0.0283856764521282,0.0004599044417069,7.824145215250629e-09,0.0583761750767307,0.941623817099124
60,0.28,0.094379466418723,1.062107168758284e-08,0.0499365678000035,0.8872092429115601,0.0314270893336823,0.0308759855635221,0.0005511037701602,1.1333424794531462e-08,0.0532858031944196,0.9467141854721556
60,0.303,0.1370148166730615,1.5359806027625597e-08,0.0448843121784283,0.887098480029836,0.0340085962159647,0.0333467337709411,0.0006618624450236,1.6480782588367376e-08,0.0481600216376846,0.9518399618815327
60,0.3259999999999999,0.2013783224646231,2.252780267589235e-08,0.0398593207954407,0.8869604555662491,0.0365901005552537,0.0357902200101063,0.0007998805451474,2.4306561753304112e-08,0.0430065486766682,0.95699342701677
60,0.349,0.3018308498924663,3.37573097297708e-08,0.0348727145140203,0.8867840504566367,0.0391716006360165,0.038195324950368,0.0009762756856485,3.6626767986045635e-08,0.0378369850492615,0.9621629783239704
60,0.372,0.4630598681166112,5.1878845655494695e-08,0.0299402763255459,0.8865534848364317,0.0417530934795882,0.0405462682613159,0.0012068252182723,5.6605778366758986e-08,0.0326682798067206,0.9673316635875008
60,0.395,0.7343979990169877,8.258524535939863e-08,0.025088821016111,0.8862419502198832,0.0443345730893802,0.0428162405144834,0.0015183325748967,9.062048652595929e-08,0.0275298711888364,0.972470038190677
60,0.418,1.241302353142703,1.403750414897258e-07,0.0203739386201466,0.8857938726513515,0.0469160241767301,0.0449496653367918,0.0019663588399383,1.5491062251170918e-07,0.0224836230227812,0.9775162220665964
60,0.441,2.2458958032012464,2.558128571676751e-07,0.0158777129803967,0.885127202285634,0.0494974144605561,0.0468644877360165,0.0026329267245395,2.839194106526135e-07,0.0176222218140927,0.9823774942664968
60,0.4639999999999999,4.412139404210784,5.065486534740955e-07,0.0117496978178676,0.884092472008852,0.0520786618123133,0.0484112274042918,0.0036674344080215,5.654437624289325e-07,0.013115804959647,0.9868836295965904
60,0.487,9.544987952632772,1.1035288209636351e-06,0.0082395930190635,0.8824402181029982,0.0546595426745586,0.0493403843360092,0.0053191583385494,1.238972119882216e-06,0.0092508920799018,0.9907478689479784
60,0.51,21.871123950318445,2.5387164014920703e-06,0.0056017662238112,0.8799166268748307,0.0572395340924782,0.049398058628399,0.0078414754640792,2.8669185676825147e-06,0.0063259557426038,0.9936711773388284
60,0.5329999999999999,47.92796202044356,5.564412502795194e-06,0.0038287603904645,0.8765300102625269,0.0598178324672528,0.0485924264839181,0.0112254059833347,6.320579197908139e-06,0.0043490634933316,0.9956446159274704
60,0.556,95.96827752520043,1.1104589735158311e-05,0.0027079762632186,0.8724940305630895,0.0623934442919783,0.0471369769589189,0.0152564673330593,1.2687869491799248e-05,0.0030940764345238,0.9968932356959844
60,0.579,177.13399475308742,2.0360657179552637e-05,0.0020065325598095,0.8680429689615684,0.0649650689107212,0.0452657571458714,0.0196993117648498,2.340117508331093e-05,0.0023061740752465,0.9976704247496704
80,0.118,0.0355247818278181,4.9434529449229544e-09,0.0860371168499242,0.8874743322672153,0.0132442729697037,0.0129582535148339,0.0002860194548697,5.077960741297315e-09,0.0883781248705977,0.9116218700514416
80,0.1410249999999999,0.0578802017541605,7.959163333078984e-09,0.0809451785873762,0.8873976380653336,0.0158285876940635,0.0154658767145399,0.0003627109795235,8.219365219408881e-09,0.0835914477084294,0.9164085440722052
80,0.16405,0.0899863176829242,1.223927402443544e-08,0.0758631916721237,0.8873109938581594,0.0184129011152214,0.0179635497282364,0.0004493513869849,1.2707227885441892e-08,0.0787637291860617,0.9212362581067104
80,0.187075,0.135910004183833,1.8302543257475545e-08,0.070793540340679,0.887212015970935,0.0209972126929212,0.020448888801442,0.0005483238914792,1.91048400369142e-08,0.0738967937312803,0.9261031871638796
80,0.2101,0.2003674330118117,2.674511105613061e-08,0.0657383539276913,0.8870985757187221,0.0235815218042376,0.0229197651555225,0.0006617566487151,2.8068927088446123e-08,0.06899223785006,0.9310077340810128
