source_key,row_status,property,temperature_C,mea_mass_fraction,co2_loading_mol_per_mol_mea,pressure_kPa,value,value_unit,uncertainty_value,uncertainty_unit,uncertainty_type,temperature_uncertainty_K,mea_mass_fraction_relative_uncertainty_percent,co2_loading_relative_uncertainty_percent,measurement_role,lifecycle_status,source_table_or_figure,source_line_start,source_line_end,notes
Amundsen2009,extracted,density,25,0.20,,,1.0053,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,0.30,,,1.0106,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,0.40,,,1.0158,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,0.50,,,1.0208,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,0.70,,,1.0262,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,0.90,,,1.0200,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,1.00,,,1.0123,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,0.20,,,0.9991,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,0.30,,,1.0034,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,0.40,,,1.0077,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,0.50,,,1.0117,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,0.70,,,1.0155,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,0.90,,,1.0084,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,40,1.00,,,1.0003,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,0.20,,,0.9943,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,0.30,,,0.9981,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,0.40,,,1.0018,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,0.50,,,1.0053,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,0.70,,,1.0082,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,0.90,,,1.0006,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,50,1.00,,,0.9923,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,0.20,,,0.9830,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,0.30,,,0.9858,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,0.40,,,0.9889,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,0.50,,,0.9915,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,0.70,,,0.9930,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,0.90,,,0.9846,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,70,1.00,,,0.9760,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,0.20,,,0.9766,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,0.30,,,0.9794,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,0.40,,,0.9819,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,0.50,,,0.9842,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,0.70,,,0.9850,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,0.90,,,0.9764,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,80,1.00,,,0.9678,g/cm^3,0.0005,g/cm^3,combined_absolute,0.03,0.5,,direct_positive,property_target_candidate,Table 1,38,49,Unloaded binary MEA-water measurement.
Amundsen2009,extracted,density,25,0.20,0.1,,1.0188,g/cm^3,0.002,g/cm^3,combined_absolute,0.03,0.5,2,direct_positive,property_target_candidate,Table 2,54,65,CO2-loaded ternary measurement; MEA mass fraction is on the unloaded-solution basis.
Amundsen2009,extracted,density,25,0.20,0.2,,1.0327,g/cm^3,0.002,g/cm^3,combined_absolute,0.03,0.5,2,direct_positive,property_target_candidate,Table 2,54,65,CO2-loaded ternary measurement; MEA mass fraction is on the unloaded-solution basis.
Amundsen2009,extracted,density,25,0.20,0.3,,1.0476,g/cm^3,0.002,g/cm^3,combined_absolute,0.03,0.5,2,direct_positive,property_target_candidate,Table 2,54,65,CO2-loaded ternary measurement; MEA mass fraction is on the unloaded-solution basis.
Amundsen2009,extracted,density,25,0.20,0.4,,1.0640,g/cm^3,0.002,g/cm^3,combined_absolute,0.03,0.5,2,direct_positive,property_target_candidate,Table 2,54,65,CO2-loaded ternary measurement; MEA mass fraction is on the unloaded-solution basis.
