parameter,initial,fitted
MEA__m,3.0353,3.0353
MEA__s,3.0435,3.0435
MEA__e,277.174,277.174
MEAH+__s,3.563,3.563
MEAH+__e,228.71,228.71
MEAH+__d_born,3.563,3.563
MEACOO-__s,3.5605,3.5605
MEACOO-__e,533.11,533.11
MEACOO-__d_born,3.5605,3.5605
HCO3-__s,2.9296,2.9296
HCO3-__e,70.0,70.0
HCO3-__d_born,3.0,3.0
k_ij__CO2__MEA,0.0,0.0
k_ij__CO2__MEAH+,0.0,0.0
k_ij__CO2__MEACOO-,0.0,0.0
k_ij__MEA__H2O,-0.052,-0.052
k_ij__MEAH+__MEACOO-,0.0,0.0
k_ij__MEAH+__HCO3-,0.0,0.0
