MEA_weight_fraction,temperature,CO2_loading,CO2_pressure,paper
0.3,40,0.102,0.0016,Aronu
0.3,40,0.206,0.0123,Aronu
0.3,40,0.25,0.0246,Aronu
0.3,40,0.337,0.0603,Aronu
0.3,40,0.353,0.0851,Aronu
0.3,40,0.401,0.1835,Aronu
0.3,40,0.417,0.2928,Aronu
0.3,40,0.421,0.3188,Aronu
0.3,40,0.433,0.3809,Aronu
0.3,40,0.447,0.5702,Aronu
0.3,40,0.464,1.0662,Aronu
0.3,40,0.476,1.8326,Aronu
0.3,40,0.477,1.8278,Aronu
0.3,40,0.485,2.3193,Aronu
0.3,40,0.489,2.8577,Aronu
0.3,40,0.516,8.5583,Aronu
0.3,40,0.524,11.812,Aronu
0.3,40,0.153,0.0057,Hilliard
0.3,40,0.163,0.00664,Hilliard
0.3,40,0.17,0.00721,Hilliard
0.3,40,0.191,0.00995,Hilliard
0.3,40,0.194,0.00985,Hilliard
0.3,40,0.232,0.0146,Hilliard
0.3,40,0.246,0.0191,Hilliard
0.3,40,0.269,0.0231,Hilliard
0.3,40,0.272,0.0224,Hilliard
0.3,40,0.326,0.0485,Hilliard
0.3,40,0.348,0.0662,Hilliard
0.3,40,0.35,0.0721,Hilliard
0.3,40,0.36,0.0966,Hilliard
0.3,40,0.382,0.131,Hilliard
0.3,40,0.386,0.12,Hilliard
0.3,40,0.389,0.113,Hilliard
0.3,40,0.4,0.128,Hilliard
0.3,40,0.464,0.75,Hilliard
0.3,40,0.466,0.574,Hilliard
0.3,40,0.481,0.883,Hilliard
0.3,40,0.491,1.1,Hilliard
0.3,40,0.501,1.87,Hilliard
0.3,40,0.518,3.03,Hilliard
0.3,40,0.591,28.3,Hilliard
0.3,40,0.242,0.021,Idris
0.3,40,0.321,0.038,Idris
0.3,40,0.33,0.043,Idris
0.3,40,0.345,0.05,Idris
0.3,40,0.352,0.064,Idris
0.3,40,0.355,0.097,Idris
0.3,40,0.375,0.107,Idris
0.3,40,0.377,0.123,Idris
0.3,40,0.436,0.445,Idris
0.3,40,0.46,0.813,Idris
0.3,40,0.0888,0.00147,Jou
0.3,40,0.203,0.00896,Jou
0.3,40,0.365,0.0677,Jou
0.3,40,0.4735,0.604,Jou
0.3,40,0.513,2.57,Jou
0.3,40,0.557,8.09,Jou
0.3,40,0.609,36.1,Jou
0.3,40,0.642,103,Jou
0.3,60,0.053,0.0045,Aronu
0.3,60,0.105,0.0154,Aronu
0.3,60,0.162,0.0427,Aronu
0.3,60,0.244,0.1348,Aronu
0.3,60,0.303,0.3015,Aronu
0.3,60,0.36,0.6436,Aronu
0.3,60,0.393,1.097,Aronu
0.3,60,0.428,2.5014,Aronu
0.3,60,0.491,13.558,Aronu
0.3,60,0.114,0.0194,Hilliard
0.3,60,0.191,0.0589,Hilliard
0.3,60,0.291,0.209,Hilliard
0.3,60,0.386,0.763,Hilliard
0.3,60,0.485,4.86,Hilliard
0.3,60,0.544,25.8,Hilliard
0.3,60,0.0564,0.00428,Jou
0.3,60,0.119,0.0193,Jou
0.3,60,0.206,0.0579,Jou
0.3,60,0.389,0.528,Jou
0.3,60,0.438,2.01,Jou
0.3,60,0.504,11,Jou
0.3,60,0.561,34,Jou
0.3,60,0.579,82,Jou
0.3,80,0.017,0.0056,Aronu
0.3,80,0.04,0.0219,Aronu
0.3,80,0.075,0.0557,Aronu
0.3,80,0.122,0.1406,Aronu
0.3,80,0.155,0.2485,Aronu
0.3,80,0.216,0.6137,Aronu
0.3,80,0.271,1.2538,Aronu
0.3,80,0.347,3.7522,Aronu
0.3,80,0.4,7.9387,Aronu
0.3,80,0.398,8.3031,Aronu
0.3,60,0.668,282,Jou
0.3,80,0.0174,0.00296,Jou
0.3,80,0.0236,0.00484,Jou
0.3,80,0.0781,0.0465,Jou
0.3,80,0.118,0.0992,Jou
0.3,80,0.187,0.278,Jou
0.3,80,0.348,2.67,Jou
0.3,80,0.46,16,Jou
0.3,80,0.517,56,Jou
0.3,80,0.5785,235,Jou
0.3,80,0.64,558,Jou
0.3,80,0.689,958,Jou
0.3,100,0.0117,0.00724,Jou
0.3,100,0.0566,0.136,Jou
0.3,100,0.188,1.43,Jou
0.3,100,0.381,19,Jou
0.3,100,0.422,39,Jou
0.3,100,0.477,69,Jou
0.3,100,0.481,109,Jou
0.3,100,0.571,509,Jou
0.3,100,0.589,376,Jou
0.3,100,0.6135,909,Jou
0.3,100,0.388,34,Xu
0.3,100,0.424,101,Xu
0.3,100,0.425,86,Xu
0.3,100,0.501,167,Xu
0.3,100,0.52,233,Xu
0.3,100,0.315,16,Xu
0.3,100,0.475,95,Xu
0.3,100,0.315,12,Xu
0.3,120,0.00333,0.00202,Jou
0.3,120,0.0112,0.0221,Jou
0.3,120,0.0247,0.0984,Jou
0.3,120,0.119,2.29,Jou
0.3,120,0.349,46.8,Jou
0.3,120,0.4115,122,Jou
0.3,120,0.444,222,Jou
0.3,120,0.473,422,Jou
0.3,120,0.536,822,Jou
0.3,120,0.639,2804,Jou
0.3,120,0.155,7.354,Mamun
0.3,120,0.1766,9.314,Mamun
0.3,120,0.1843,9.045,Mamun
0.3,120,0.2085,15.51,Mamun
0.3,120,0.2326,19.62,Mamun
0.3,120,0.2381,25.2,Mamun
0.3,120,0.256,27.71,Mamun
0.3,120,0.2901,39.18,Mamun
0.3,120,0.2967,40.4,Mamun
0.3,120,0.3004,43.49,Mamun
0.3,120,0.3125,51.82,Mamun
0.3,120,0.3191,58.57,Mamun
0.3,120,0.3298,62.88,Mamun
0.3,120,0.3424,77.59,Mamun
0.3,120,0.3424,74.95,Mamun
0.3,120,0.35,83.61,Mamun
0.3,120,0.3594,92.79,Mamun
0.3,120,0.3882,137.9,Mamun
0.3,120,0.4182,191.9,Mamun
0.3,120,0.37,63,Xu
0.3,120,0.385,108,Xu
0.3,120,0.387,62,Xu
0.3,120,0.422,237,Xu
0.3,120,0.423,192,Xu
0.3,120,0.492,387,Xu
0.3,120,0.508,512,Xu
0.3,120,0.314,50,Xu
0.3,120,0.467,283,Xu
0.3,120,0.314,45,Xu
