parameter,role,metric,baseline_value,perturbed_value,step_size,sensitivity
MEAH+__s,fitted,pressure_median_abs_log10,0.2850870975538239,0.28493132477282795,0.00348508556586174,-0.04469697459419935
MEAH+__s,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11505027200921274,0.00348508556586174,-0.012160103348647693
MEAH+__s,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.15379878979212575,0.00348508556586174,-0.013629717378299365
MEAH+__s,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8919159993989629,0.00348508556586174,-0.058948615981720874
MEAH+__s,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021858765229235,0.00348508556586174,0.16617491458956865
MEAH+__e,fitted,pressure_median_abs_log10,0.2850870975538239,0.28523030918528225,0.23268720164519419,0.0006154684505456119
MEAH+__e,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11508465087019336,0.23268720164519419,-3.438152000872028e-05
MEAH+__e,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.1538103177149231,0.23268720164519419,-0.00015459728016923053
MEAH+__e,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8921911355750449,0.23268720164519419,0.0002995231577147158
MEAH+__e,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021431224380032,0.23268720164519419,0.000651488117823647
MEAH+__d_born,fitted,pressure_median_abs_log10,0.2850870975538239,0.28503374205230003,0.003533229271464668,-0.015101058387229175
MEAH+__d_born,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11510547473647478,0.003533229271464668,0.0036294634785960004
MEAH+__d_born,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.1538735286121739,0.003533229271464668,0.0077091200863344455
MEAH+__d_born,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8921342381156423,0.003533229271464668,0.0036221102596710156
MEAH+__d_born,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021130802500867,0.003533229271464668,-0.042122636457584316
MEACOO-__s,fitted,pressure_median_abs_log10,0.2850870975538239,0.28475794810139016,0.0035354352572132763,-0.09310012162213217
MEACOO-__s,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11511327078797771,0.0035354352572132763,0.005832316703621862
MEACOO-__s,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.15401373003952118,0.0035354352572132763,0.047360368359716055
MEACOO-__s,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.891695515990541,0.0035354352572132763,-0.1204729681411571
MEACOO-__s,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.020928989725751,0.0035354352572132763,-0.09917921888797468
MEACOO-__e,fitted,pressure_median_abs_log10,0.2850870975538239,0.2851055606153806,0.4532652443840108,4.0733459680588676e-05
MEACOO-__e,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11509784897377531,0.4532652443840108,1.1467819267460446e-05
MEACOO-__e,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.15387188201716664,0.4532652443840108,5.646030454815107e-05
MEACOO-__e,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8920787393906069,0.4532652443840108,-9.420748572835412e-05
MEACOO-__e,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.0211283683116505,0.4532652443840108,-0.0003337187733094003
MEACOO-__d_born,fitted,pressure_median_abs_log10,0.2850870975538239,0.28512681470157053,0.003541070308215644,0.011216142095370175
MEACOO-__d_born,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11508894387214022,0.003541070308215644,-0.001046897522388828
MEACOO-__d_born,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.15381983195589735,0.003541070308215644,-0.007471912508738723
MEACOO-__d_born,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8921917059009595,0.003541070308215644,0.01984302066755137
MEACOO-__d_born,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021323199703161,0.003541070308215644,0.012303700965799585
k_ij__CO2__MEA,fitted,pressure_median_abs_log10,0.2850870975538239,0.28436471321114665,0.001,-0.7223843426772403
k_ij__CO2__MEA,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.1150925361030483,0.001,-0.00011490682419457166
k_ij__CO2__MEA,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.1538463886609286,0.001,9.813750095899465e-05
k_ij__CO2__MEA,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8921218674319923,0.001,0.00042706234393286024
k_ij__CO2__MEA,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021279828291354,0.001,0.0001968583642764088
k_ij__MEA__H2O,fitted,pressure_median_abs_log10,0.2850870975538239,0.28622503245424546,0.001,1.1379349004215777
k_ij__MEA__H2O,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11508191221720494,0.001,-0.010738792667552843
k_ij__MEA__H2O,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.15396323246231092,0.001,0.11694193888328597
k_ij__MEA__H2O,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8917203773569556,0.001,-0.40106301269271505
k_ij__MEA__H2O,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021431181973293,0.001,0.15155054030291382
k_ij__MEAH+__MEACOO-,fitted,pressure_median_abs_log10,0.2850870975538239,0.2850271745121804,0.001,-0.05992304164348372
k_ij__MEAH+__MEACOO-,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11509617377931927,0.001,0.0035227694467759862
k_ij__MEAH+__MEACOO-,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.1538925193122449,0.001,0.04622878881727077
k_ij__MEAH+__MEACOO-,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8919965139222659,0.001,-0.12492644738248959
k_ij__MEAH+__MEACOO-,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021287498414571,0.001,0.00786698158083965
k_ij__MEAH+__HCO3-,fitted,pressure_median_abs_log10,0.2850870975538239,0.2851326835488635,0.001,0.04558599503962091
k_ij__MEAH+__HCO3-,fitted,MEAH+_median_abs_log10,0.1150926510098725,0.11509201379395376,0.001,-0.0006372159187389981
k_ij__MEAH+__HCO3-,fitted,MEACOO-_median_abs_log10,0.15384629052342763,0.15383723824265214,0.001,-0.00905228077549558
k_ij__MEAH+__HCO3-,fitted,HCO3-_median_abs_log10,0.8921214403696484,0.8921625357140099,0.001,0.041095344361585795
k_ij__MEAH+__HCO3-,fitted,CO3^2-_median_abs_log10,5.02127963143299,5.021285750404671,0.001,0.006118971680457719
HCO3-__d_born,fixed_diagnostic,pressure_median_abs_log10,0.2850870975538239,0.2849579406244206,0.003,-0.043052309801098566
HCO3-__d_born,fixed_diagnostic,MEAH+_median_abs_log10,0.1150926510098725,0.11509392588101477,0.003,0.0004249570474262887
HCO3-__d_born,fixed_diagnostic,MEACOO-_median_abs_log10,0.15384629052342763,0.15386933430883373,0.003,0.0076812618020338785
HCO3-__d_born,fixed_diagnostic,HCO3-_median_abs_log10,0.8921214403696484,0.892010962623212,0.003,-0.036825915478784964
HCO3-__d_born,fixed_diagnostic,CO3^2-_median_abs_log10,5.02127963143299,5.02129094332723,0.003,0.0037706314133245655
CO3^2-__d_born,fixed_diagnostic,pressure_median_abs_log10,0.2850870975538239,0.2851340842028502,0.003,0.01566221634210126
CO3^2-__d_born,fixed_diagnostic,MEAH+_median_abs_log10,0.1150926510098725,0.11514277436512499,0.003,0.01670778508416441
CO3^2-__d_born,fixed_diagnostic,MEACOO-_median_abs_log10,0.15384629052342763,0.15395800126905643,0.003,0.0372369152095986
CO3^2-__d_born,fixed_diagnostic,HCO3-_median_abs_log10,0.8921214403696484,0.8922330248694067,0.003,0.037194833252781244
CO3^2-__d_born,fixed_diagnostic,CO3^2-_median_abs_log10,5.02127963143299,5.0205491407981295,0.003,-0.24349687828687885
H3O+__d_born,fixed_diagnostic,pressure_median_abs_log10,0.2850870975538239,0.2850870978899737,0.001218,2.7598508226065467e-07
H3O+__d_born,fixed_diagnostic,MEAH+_median_abs_log10,0.1150926510098725,0.1150926739587133,0.001218,1.8841412807797034e-05
H3O+__d_born,fixed_diagnostic,MEACOO-_median_abs_log10,0.15384629052342763,0.15384634343456155,0.001218,4.344099664917758e-05
H3O+__d_born,fixed_diagnostic,HCO3-_median_abs_log10,0.8921214403696484,0.8921214950637749,0.001218,4.4904865813724734e-05
H3O+__d_born,fixed_diagnostic,CO3^2-_median_abs_log10,5.02127963143299,5.021279713096101,0.001218,6.704688911342821e-05
OH-__d_born,fixed_diagnostic,pressure_median_abs_log10,0.2850870975538239,0.2850870798809271,0.00308107689400404,-5.73594798852336e-06
OH-__d_born,fixed_diagnostic,MEAH+_median_abs_log10,0.1150926510098725,0.11509270639680533,0.00308107689400404,1.7976485085324775e-05
OH-__d_born,fixed_diagnostic,MEACOO-_median_abs_log10,0.15384629052342763,0.1538459852704446,0.00308107689400404,-9.90734712345071e-05
OH-__d_born,fixed_diagnostic,HCO3-_median_abs_log10,0.8921214403696484,0.8921211141903991,0.00308107689400404,-0.00010586533880793101
OH-__d_born,fixed_diagnostic,CO3^2-_median_abs_log10,5.02127963143299,5.021279160752675,0.00308107689400404,-0.000152764871296688
