source,temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,point_role,target_role
Matin,20.0,0.3,0.218,MEA + MEAH+,0.09215774835774301,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.235,MEACOO-,0.026572171304128193,reference_point,direct_positive
Bottinger,20.0,0.3,0.235,MEA + MEAH+,0.13649012752385667,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.241,MEA,0.06333014982587257,reference_point,direct_positive
Matin,20.0,0.3,0.241,MEAH+,0.02596461262829522,reference_point,direct_positive
Matin,20.0,0.3,0.241,MEACOO-,0.02439872482210157,reference_point,direct_positive
Matin,20.0,0.3,0.241,HCO3-,0.002291196001920326,reference_point,direct_positive
Matin,20.0,0.3,0.241,MEA + MEAH+,0.08929476245416779,reference_point,aggregate_direct_positive
Jakobsen,20.0,0.3,0.25,MEA,0.06052140387240512,reference_point,direct_positive
Jakobsen,20.0,0.3,0.25,MEAH+,0.024744194418224848,reference_point,direct_positive
Jakobsen,20.0,0.3,0.25,MEACOO-,0.026483565373030836,reference_point,direct_positive
Jakobsen,20.0,0.3,0.25,HCO3-,0.00019348786817195314,reference_point,direct_positive
Jakobsen,20.0,0.3,0.25,CO3^2-,0.0005934813320142428,reference_point,direct_positive
Jakobsen,20.0,0.3,0.25,MEA + MEAH+,0.08526559829062996,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.264,MEA,0.05814079487336478,reference_point,direct_positive
Matin,20.0,0.3,0.264,MEAH+,0.02842834148437913,reference_point,direct_positive
Matin,20.0,0.3,0.264,MEACOO-,0.026717507988683803,reference_point,direct_positive
Matin,20.0,0.3,0.264,HCO3-,0.0025893494741575174,reference_point,direct_positive
Matin,20.0,0.3,0.264,MEA + MEAH+,0.08656913635774391,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.287,MEA,0.052963336378827615,reference_point,direct_positive
Matin,20.0,0.3,0.287,MEAH+,0.030800668316557155,reference_point,direct_positive
Matin,20.0,0.3,0.287,MEACOO-,0.0289372971086954,reference_point,direct_positive
Matin,20.0,0.3,0.287,HCO3-,0.0029863926919179453,reference_point,direct_positive
Matin,20.0,0.3,0.287,MEA + MEAH+,0.08376400469538477,reference_point,aggregate_direct_positive
Jakobsen,20.0,0.3,0.29,MEA,0.056721581223948284,reference_point,direct_positive
Jakobsen,20.0,0.3,0.29,MEAH+,0.02380204344810689,reference_point,direct_positive
Jakobsen,20.0,0.3,0.29,MEACOO-,0.029862900028886454,reference_point,direct_positive
Jakobsen,20.0,0.3,0.29,HCO3-,0.00019498686517452137,reference_point,direct_positive
Jakobsen,20.0,0.3,0.29,CO3^2-,0.0005949823526337806,reference_point,direct_positive
Jakobsen,20.0,0.3,0.29,MEA + MEAH+,0.08052362467205518,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.309,MEACOO-,0.034743068252909744,reference_point,direct_positive
Bottinger,20.0,0.3,0.309,MEA + MEAH+,0.127276359120579,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.31,MEA,0.0478787945819511,reference_point,direct_positive
Matin,20.0,0.3,0.31,MEAH+,0.03317576359700202,reference_point,direct_positive
Matin,20.0,0.3,0.31,MEACOO-,0.031079930350131353,reference_point,direct_positive
Matin,20.0,0.3,0.31,HCO3-,0.003383398123961175,reference_point,direct_positive
Matin,20.0,0.3,0.31,MEA + MEAH+,0.08105455817895313,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.334,MEA,0.04271049900040506,reference_point,direct_positive
Matin,20.0,0.3,0.334,MEAH+,0.035462306220169854,reference_point,direct_positive
Matin,20.0,0.3,0.334,MEACOO-,0.0331236845375889,reference_point,direct_positive
Matin,20.0,0.3,0.334,HCO3-,0.0039778770150874386,reference_point,direct_positive
Matin,20.0,0.3,0.334,MEA + MEAH+,0.0781728052205749,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.358,MEA,0.037757076576046385,reference_point,direct_positive
Matin,20.0,0.3,0.358,MEAH+,0.037860620641223475,reference_point,direct_positive
Matin,20.0,0.3,0.358,MEACOO-,0.03507866377613519,reference_point,direct_positive
Matin,20.0,0.3,0.358,HCO3-,0.004571776847682104,reference_point,direct_positive
Matin,20.0,0.3,0.358,MEA + MEAH+,0.07561769721726985,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.382,MEA,0.032805503678022666,reference_point,direct_positive
Matin,20.0,0.3,0.382,MEAH+,0.04030653134108905,reference_point,direct_positive
Matin,20.0,0.3,0.382,MEACOO-,0.036729626169501456,reference_point,direct_positive
Matin,20.0,0.3,0.382,HCO3-,0.00525706055481402,reference_point,direct_positive
Matin,20.0,0.3,0.382,MEA + MEAH+,0.07311203501911172,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.388,MEACOO-,0.042834253159044385,reference_point,direct_positive
Bottinger,20.0,0.3,0.388,MEA + MEAH+,0.11732771873941586,reference_point,aggregate_direct_positive
Jakobsen,20.0,0.3,0.4,MEA,0.03334787020771829,reference_point,direct_positive
Jakobsen,20.0,0.3,0.4,MEAH+,0.045152051187374934,reference_point,direct_positive
Jakobsen,20.0,0.3,0.4,MEACOO-,0.04208115361871713,reference_point,direct_positive
Jakobsen,20.0,0.3,0.4,HCO3-,0.0005977284510711288,reference_point,direct_positive
Jakobsen,20.0,0.3,0.4,CO3^2-,0.0011977289436017244,reference_point,direct_positive
Jakobsen,20.0,0.3,0.4,MEA + MEAH+,0.07849992139509322,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.406,MEA,0.027959116891703568,reference_point,direct_positive
Matin,20.0,0.3,0.406,MEAH+,0.042782631533466536,reference_point,direct_positive
Matin,20.0,0.3,0.406,MEACOO-,0.03825864412463449,reference_point,direct_positive
Matin,20.0,0.3,0.406,HCO3-,0.006031773554014553,reference_point,direct_positive
Matin,20.0,0.3,0.406,MEA + MEAH+,0.0707417484251701,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.431,MEA,0.023141758807640293,reference_point,direct_positive
Matin,20.0,0.3,0.431,MEAH+,0.04522971751496871,reference_point,direct_positive
Matin,20.0,0.3,0.431,MEACOO-,0.03973478417267856,reference_point,direct_positive
Matin,20.0,0.3,0.431,HCO3-,0.006902592144738941,reference_point,direct_positive
Matin,20.0,0.3,0.431,MEA + MEAH+,0.06837147632260901,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.455,MEA,0.018434796753655735,reference_point,direct_positive
Matin,20.0,0.3,0.455,MEAH+,0.047834362684109365,reference_point,direct_positive
Matin,20.0,0.3,0.455,MEACOO-,0.041009341282631874,reference_point,direct_positive
Matin,20.0,0.3,0.455,HCO3-,0.007856372679639713,reference_point,direct_positive
Matin,20.0,0.3,0.455,MEA + MEAH+,0.0662691594377651,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.474,MEACOO-,0.049169772862996855,reference_point,direct_positive
Bottinger,20.0,0.3,0.474,MEA + MEAH+,0.1060128041591138,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.48,MEA,0.0137171364269591,reference_point,direct_positive
Matin,20.0,0.3,0.48,MEAH+,0.05041091859125779,reference_point,direct_positive
Matin,20.0,0.3,0.48,MEACOO-,0.04221546671965117,reference_point,direct_positive
Matin,20.0,0.3,0.48,HCO3-,0.008894667044773617,reference_point,direct_positive
Matin,20.0,0.3,0.48,MEA + MEAH+,0.06412805501821689,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.505,MEA,0.009109195716083877,reference_point,direct_positive
Matin,20.0,0.3,0.505,MEAH+,0.05291666795870016,reference_point,direct_positive
Matin,20.0,0.3,0.505,MEACOO-,0.0433873773440529,reference_point,direct_positive
Matin,20.0,0.3,0.505,HCO3-,0.009922602153458292,reference_point,direct_positive
Matin,20.0,0.3,0.505,MEA + MEAH+,0.062025863674784035,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.524,MEACOO-,0.0467000846130751,reference_point,direct_positive
Bottinger,20.0,0.3,0.524,HCO3-,0.010600074841039517,reference_point,direct_positive
Bottinger,20.0,0.3,0.524,MEA + MEAH+,0.0848407709706421,reference_point,aggregate_direct_positive
Matin,20.0,0.3,0.531,MEA,0.004630991754789191,reference_point,direct_positive
Matin,20.0,0.3,0.531,MEAH+,0.05538551499056208,reference_point,direct_positive
Matin,20.0,0.3,0.531,MEACOO-,0.044589898936451176,reference_point,direct_positive
Matin,20.0,0.3,0.531,HCO3-,0.011041947869374114,reference_point,direct_positive
Matin,20.0,0.3,0.531,MEA + MEAH+,0.06001650674535127,reference_point,aggregate_direct_positive
Jakobsen,20.0,0.3,0.6,MEA,0.0009013395768030453,reference_point,direct_positive
Jakobsen,20.0,0.3,0.6,MEAH+,0.06454486947424781,reference_point,direct_positive
Jakobsen,20.0,0.3,0.6,MEACOO-,0.051295797373329274,reference_point,direct_positive
Jakobsen,20.0,0.3,0.6,HCO3-,0.013791565131996492,reference_point,direct_positive
Jakobsen,20.0,0.3,0.6,CO3^2-,0.0013977477445921776,reference_point,direct_positive
Jakobsen,20.0,0.3,0.6,MEA + MEAH+,0.06544620905105086,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.609,MEACOO-,0.0399776504462008,reference_point,direct_positive
Bottinger,20.0,0.3,0.609,HCO3-,0.02537692303435782,reference_point,direct_positive
Bottinger,20.0,0.3,0.609,MEA + MEAH+,0.08849212026079262,reference_point,aggregate_direct_positive
Bottinger,20.0,0.3,0.704,MEACOO-,0.032382816132121454,reference_point,direct_positive
Bottinger,20.0,0.3,0.704,HCO3-,0.0409069389769443,reference_point,direct_positive
Bottinger,20.0,0.3,0.704,MEA + MEAH+,0.09205938562592583,reference_point,aggregate_direct_positive
Jakobsen,20.0,0.3,0.78,CO2,0.006476144359918706,reference_point,direct_positive
