row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,pressure_Pa,model_family,target_x_CO2,target_role_CO2,target_x_MEA,target_role_MEA,target_x_MEAH+,target_role_MEAH+,target_x_MEACOO-,target_role_MEACOO-,target_x_HCO3-,target_role_HCO3-,target_x_CO3^2-,target_role_CO3^2-,target_x_H3O+,target_role_H3O+,target_x_OH-,target_role_OH-,target_x_MEA + MEAH+,target_role_MEA + MEAH+,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,model_x_MEA + MEAH+,log10_model_over_target_MEA + MEAH+,reaction_residual_R1_water_autoionization,reaction_residual_R2_CO2_to_HCO3,reaction_residual_R3_HCO3_to_CO3,reaction_residual_R4_MEACOO_hydrolysis,reaction_residual_R5_MEAH_dissociation,mass_balance_residual_carbon_total,mass_balance_residual_mea_total,mass_balance_residual_water_total,charge_residual,max_abs_reaction_residual,state_failure_count,solver_success,message,parity_family,observed_CO2_pressure_kPa,model_CO2_pressure_kPa,model_total_pressure_kPa,log10_model_over_data,fugacity_residual_norm
cheq_0000,Bottinger,20.0,0.3,0.075,101325.0,phase2_epcsaft_activity_speciation,0.001349733698209097,balance_inferred,0.1485240758048173,balance_inferred,0.007108386177778303,balance_inferred,0.008558218196366253,direct_positive,0.002407277393596117,balance_inferred,1.0000000599303723e-12,balance_inferred,0.0038571094141840673,balance_inferred,1e-12,balance_inferred,0.15563246198259562,aggregate_direct_positive,2.2275163791273525e-11,,0.0953429342255098,,0.008951861140982918,,0.007951381191079777,-0.03194078072380786,5.7086983154016105e-06,,0.0004613733954016766,,4.024162829693227e-14,,7.20245909846952e-05,,0.10429479536649272,-0.1738375513752612,-2.9924000877201706e-07,-2.3875573162968067e-07,-2.7427467941265604e-07,5.091882293584149e-08,-6.140010064825674e-07,6.329548812161745e-10,7.576607341519548e-09,-5.285449189429414e-09,-1.290734680459626e-10,6.140010064825674e-07,0,True,converged,speciation,,,,,
cheq_0001,Matin,20.0,0.3,0.106,101325.0,phase2_epcsaft_activity_speciation,0.0004659364507745255,balance_inferred,0.0945878839581132,direct_positive,0.011548774053759188,direct_positive,0.0094070367534475,direct_positive,0.002379928783704481,direct_positive,1.0000000000000002e-12,balance_inferred,0.00023819148539279414,balance_inferred,1.0000000000000002e-12,balance_inferred,0.10613665801187239,aggregate_direct_positive,5.112509571521724e-11,,0.0884110253760998,-0.029329082426737207,0.012461147282702088,0.03302214446389164,0.011373997337466338,0.08246028142842898,9.018022960540547e-06,-2.421452624832195,0.0005150787140132267,,5.3250861123430166e-14,,4.797470051611725e-05,,0.10087217265880188,-0.02209403353788697,-5.375344240832192e-07,-5.418772133225502e-07,-7.242929918049867e-07,1.4359048883250125e-07,3.2309628750226693e-07,2.245695348429555e-10,1.1307044606168049e-09,1.6969669003330523e-09,-2.0378940418177725e-10,7.242929918049867e-07,0,True,converged,speciation,,,,,
cheq_0002,Jakobsen,20.0,0.3,0.11,101325.0,phase2_epcsaft_activity_speciation,0.0014901398567530864,balance_inferred,0.10375398565946305,direct_positive,0.008111061088673275,direct_positive,0.010446363876531545,direct_positive,0.0014267018336826872,balance_inferred,9.384703518690875e-05,direct_positive,0.003949698691914776,balance_inferred,9.999999999999998e-13,balance_inferred,0.11186504674813633,aggregate_direct_positive,5.6222665111647864e-11,,0.08751576558253937,-0.0739184925960023,0.012912975428712333,0.2019486523216296,0.011817430747716141,0.053557916463040395,9.49691708817369e-06,,0.0005201512852761439,0.7437091189979362,5.487244994709207e-14,,4.5745414669232135e-05,,0.10042874101125171,-0.04683639011082009,-5.504686608759357e-07,-5.481304796717268e-07,-9.939055125585128e-07,1.629029835470419e-07,9.079887064444847e-08,4.2695504597067835e-10,2.868312296011588e-09,-7.447320538034319e-11,-2.1856005223821811e-10,9.939055125585128e-07,0,True,converged,speciation,,,,,
cheq_0003,Matin,20.0,0.3,0.128,101325.0,phase2_epcsaft_activity_speciation,0.0005800357394460489,balance_inferred,0.0894516559113918,direct_positive,0.013970719786221417,direct_positive,0.012016278610498865,direct_positive,0.002186138202941212,direct_positive,9.999999999999998e-13,balance_inferred,0.00023169702921866162,balance_inferred,9.999999999999998e-13,balance_inferred,0.10342237569761321,aggregate_direct_positive,8.425638519964591e-11,,0.08348569942373679,-0.029976294615834023,0.014943829716595625,0.029243128172752497,0.013816640831631708,0.060632478735085996,1.1823074539176115e-05,-2.2669471860162305,0.0005390458794395795,,6.208307657789953e-14,,3.727427238841599e-05,,0.09842952914033241,-0.02148910208862839,-5.212918487984552e-07,-5.052293232665761e-07,-6.251578348326348e-07,1.4634175826699902e-07,3.015722214172456e-07,2.617515093561451e-10,1.1711175917916705e-09,2.2150296041800743e-09,-2.176536118423853e-10,6.251578348326348e-07,0,True,converged,speciation,,,,,
cheq_0004,Bottinger,20.0,0.3,0.15,101325.0,phase2_epcsaft_activity_speciation,0.002842579515530056,balance_inferred,0.1321907641830946,balance_inferred,0.014720383632712565,balance_inferred,0.017016381653062802,direct_positive,0.004700393612896424,balance_inferred,3.1821448686563244e-05,balance_inferred,0.007060034530619789,balance_inferred,1e-12,balance_inferred,0.14691114781580716,aggregate_direct_positive,1.3290798353282998e-10,,0.07855795589045915,,0.017421634672389268,,0.01626658606893434,-0.01957080216226605,1.5102627932614782e-05,,0.0005552377507016965,,7.084494774839327e-14,,2.9470643629311744e-05,,0.09597959056284841,-0.1848758589375891,-9.673621264028043e-07,-9.098828890330424e-07,-4.29332800422344e-07,1.4691415017864529e-07,-9.921529375844784e-07,1.238202498865526e-09,7.692749742771454e-09,-4.5860045760903745e-09,-1.6663394639075528e-10,9.921529375844784e-07,0,True,converged,speciation,,,,,
cheq_0005,Matin,20.0,0.3,0.15,101325.0,phase2_epcsaft_activity_speciation,0.0006577598799592761,balance_inferred,0.08416674701542201,direct_positive,0.016296979233660143,direct_positive,0.014622435924280733,direct_positive,0.001990136025803461,direct_positive,9.999999999999998e-13,balance_inferred,0.0003155927184240528,balance_inferred,9.999999999999998e-13,balance_inferred,0.10046372624908215,aggregate_direct_positive,1.329081132309013e-10,,0.07855795118714513,-0.029950393921419908,0.017421632787664662,0.02898174331111307,0.016266585907802507,0.04627668418769231,1.5102629082848788e-05,-2.119830205101572,0.0005552369309574496,,7.084504391707538e-14,,2.9470619163531905e-05,,0.0959795839748098,-0.019830419175046913,-4.595340641344592e-07,-4.6960634847437177e-07,-7.104512995681489e-07,1.5444358147931325e-07,3.3114281450252747e-07,2.888634539899293e-10,1.1497612167898907e-09,2.7982440808926867e-09,-2.2641612780341987e-10,7.104512995681489e-07,0,True,converged,speciation,,,,,
cheq_0006,Matin,20.0,0.3,0.173,101325.0,phase2_epcsaft_activity_speciation,0.0007448135101742017,balance_inferred,0.07899057569095763,direct_positive,0.018728481369965206,direct_positive,0.017143582107529688,direct_positive,0.00199140032760298,direct_positive,1.0000000000000002e-12,balance_inferred,0.0004065010671674627,balance_inferred,1.0000000000000002e-12,balance_inferred,0.09771905706092283,aggregate_direct_positive,2.0768912313709927e-10,,0.07340482876541499,-0.031850649112348035,0.02000815015561913,0.02870437468120354,0.018833190901840265,0.04082233684613489,1.91605292732746e-05,-2.0167510727680926,0.000566235862321548,,8.018851036807018e-14,,2.3327236641781026e-05,,0.09341297892103412,-0.019572045737537236,-4.0693134906177875e-07,-4.1946065820752665e-07,-6.138843922087744e-07,1.4680688664725494e-07,3.4312211383280555e-07,3.206712811953949e-10,1.1631435675729662e-09,3.368738066278354e-09,-2.32190290797951e-10,6.138843922087744e-07,0,True,converged,speciation,,,,,
cheq_0007,Matin,20.0,0.3,0.195,101325.0,phase2_epcsaft_activity_speciation,0.0007199482976965604,balance_inferred,0.07378495958849504,direct_positive,0.02116978641583912,direct_positive,0.019644835835740577,direct_positive,0.0019920912636591562,direct_positive,1.003051605363638e-12,balance_inferred,0.0004671406855667158,balance_inferred,1e-12,balance_inferred,0.09495474600433416,aggregate_direct_positive,3.1262214167861894e-10,,0.0684751825831942,-0.03243464481855065,0.022479480406005947,0.026069792267288883,0.02129150675706232,0.03495799273913111,2.3797130599310083e-05,-1.922784636841879,0.0005726990240091935,,8.957091176103216e-14,,1.877871064008141e-05,,0.09095466298920014,-0.018691707389346474,-3.635292920023403e-07,-3.9337393786809116e-07,-5.463708987463178e-07,1.1945908617860823e-07,3.479688075458398e-07,3.479902095648857e-10,1.1634334051713324e-09,3.950350047077222e-09,-2.3507916958393415e-10,5.463708987463178e-07,0,True,converged,speciation,,,,,
cheq_0008,Jakobsen,20.0,0.3,0.21,101325.0,phase2_epcsaft_activity_speciation,0.002778054998308738,balance_inferred,0.07414006614816049,direct_positive,0.017855580289988803,direct_positive,0.02031953866057559,direct_positive,9.664497617088825e-05,direct_positive,0.000396644999256346,direct_positive,0.0033538933452703645,balance_inferred,1e-12,balance_inferred,0.0919956464381493,aggregate_direct_positive,4.1067832687611574e-10,,0.06511403149553352,-0.05637838391633692,0.024163355747802734,0.13138327896339722,0.022968782061330396,0.05322412357821252,2.7481569472907412e-05,-0.5461377516597842,0.0005754317542459346,0.1615918407922521,9.637122057688497e-14,,1.622908321658397e-05,,0.08927738724333625,-0.013025803580047126,-4.7366423316930195e-07,-5.228315842487063e-07,-9.125897051376342e-07,2.223040009852184e-07,8.625055087918554e-07,5.070575764820617e-10,1.2898913048786653e-09,8.706917076217735e-09,-4.6368286651344236e-10,9.125897051376342e-07,0,True,converged,speciation,,,,,
cheq_0009,Matin,20.0,0.3,0.218,101325.0,phase2_epcsaft_activity_speciation,0.0007498245412764033,balance_inferred,0.06854375038578968,direct_positive,0.023613997971953342,direct_positive,0.022071234345401557,direct_positive,0.0020920851536544174,direct_positive,1.0000000000003199e-12,balance_inferred,0.0005493215291026317,balance_inferred,1e-12,balance_inferred,0.09215774835774301,aggregate_direct_positive,4.744558006356663e-10,,0.06332147400813082,-0.03441684736891426,0.025061142019267298,0.02583133600934131,0.02386355360981797,0.033908494555424454,2.9651348474481436e-05,-1.8485349086880198,0.00057645967296092,,1.0017595509380456e-13,,1.5017956993040342e-05,,0.08838261602739811,-0.01816500326647149,-3.530411536445399e-07,-3.720249530658748e-07,-8.640078519306371e-07,1.46748341478542e-07,3.9386779349115386e-07,3.702720144382887e-10,1.1397097432475078e-09,4.566273470452131e-09,-2.3606346481152e-10,8.640078519306371e-07,0,True,converged,speciation,,,,,
