row_id,temperature_C,CO2_loading,source,target_x_CO2,target_x_MEA,target_x_H2O,target_x_MEAH+,target_x_MEACOO-,target_x_HCO3-,target_x_CO3^2-,target_x_H3O+,target_x_OH-,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_H2O,log10_model_over_target_H2O,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,reaction_R1_water_autoionization,reaction_R2_CO2_to_HCO3,reaction_R3_HCO3_to_CO3,reaction_R4_MEACOO_hydrolysis,reaction_R5_MEAH_dissociation,mass_balance_carbon_total,mass_balance_mea_total,mass_balance_water_total,charge_residual,state_failure_count,success,message
cheq_0000,20.0,0.075,Bottinger,0.001349733698379342,0.14852407581181237,0.82819519930516,0.007108386177843012,0.008558218196377136,0.0024072773939469074,1.0000000299652187e-12,0.003857109414481031,9.999999999999998e-13,2.543942329953098e-10,-6.72474082909092,0.09539892964738374,-0.1922533566143701,0.8843651510768904,0.02849891186370525,0.01176346609602667,0.21876429139949732,0.00508377340705683,-0.22619716983495763,4.367585399911443e-05,-1.7412847319711093,0.0032910131708376433,9.51732960735742,5.5880029638728784e-14,-10.839005330864694,5.399049335548553e-05,7.732317295994784,3.5293190592255996e-09,-5.066084440841223e-09,-5.96325241986051e-06,1.978488484155605e-09,1.9019026353817026e-09,2.8709673527416157e-15,1.582067810090848e-15,1.7763568394002505e-15,-4.131569218690512e-15,0,True,chemical equilibrium did not converge
cheq_0001,20.0,0.106,Matin,0.00046593645067704025,0.09458788395734363,0.8813722485135742,0.011548774053795402,0.00940703675352989,0.0023799287836657355,1.0046299879860273e-12,0.00023819148540948389,1e-12,6.880771929873481e-10,-5.830689524114993,0.08849162435752853,-0.028933342784975943,0.8836593511590578,0.0011255057581838217,0.015915468242944104,0.1392835356908054,0.007839076512441461,-0.07918793747669307,7.710402897154223e-05,-1.4894868894006905,0.003981912705243945,9.59808559722336,7.385964004099718e-14,-9.50851904601109,3.546230566166323e-05,7.549766968816639,-6.586107659245499e-09,2.208555116567368e-09,-9.772482556513751e-08,-4.527464625425637e-09,-8.817835350782843e-11,1.0281895126973417e-11,1.52803047992478e-11,2.2884583117388502e-11,-1.4373571147056115e-11,0,True,converged
cheq_0002,20.0,0.11,Jakobsen,0.0014901398642312392,0.1037539857046046,0.8707282019097141,0.008111061083210587,0.010446363876721133,0.001426701830102873,9.384703560061698e-05,0.003949698694814653,9.999999999999998e-13,7.707454572041538e-10,-6.286316059457121,0.08760045447411728,-0.07349842979882858,0.8835824860328091,0.006364487900073881,0.016436206216678666,0.30672390947368455,0.008209508410136169,-0.10464799737656705,8.221570714119044e-05,-1.2393784218028936,0.004055353715914852,1.6356081813481826,7.612550639331338e-14,-10.71503377185519,3.3774672381336195e-05,7.528591145002197,7.721787653736101e-10,3.48464084254374e-08,-4.9320931339025265e-08,8.369962500864858e-10,1.2328698062447074e-09,3.851682861544248e-12,9.55570345073653e-12,1.4372947276797277e-12,-4.675874860644424e-12,0,True,converged
cheq_0003,20.0,0.128,Matin,0.0005800357394153343,0.08945165591122065,0.8815634747184822,0.013970719786219105,0.012016278610492977,0.00218613820294017,1.005212009601407e-12,0.0002316970292244678,1e-12,1.2470711574536445e-09,-5.667563518946035,0.08359154529619642,-0.029426030758687324,0.8832686099928307,0.0008392085313840066,0.018744922181088555,0.1276648598020514,0.009909701561802469,-0.0837094137932261,0.0001078059295993646,-1.3070349648367103,0.004350000898660218,9.63623167806309,8.629536253431995e-14,-9.428933007789995,2.7412892664815077e-05,7.437954865604542,-1.0812897244250053e-08,-1.0010883926270253e-06,3.4497167064273526e-05,-5.987118356642895e-09,-1.0478800049895654e-08,1.3620875261022292e-13,6.274147867912916e-14,9.592326932761353e-14,-2.0922923021416719e-13,0,True,chemical equilibrium did not converge
cheq_0004,20.0,0.15,Bottinger,0.0028425795159548496,0.13219076419639503,0.8214376414052388,0.014720383633072138,0.017016381653143352,0.004700393614254819,3.182144887167168e-05,0.007060034532069376,1e-12,2.1349348190708493e-09,-6.1243280018478705,0.0786963021940149,-0.22524678717739427,0.882944311406338,0.03135871284799854,0.02150082876457589,0.16453607197515654,0.012049037999818537,-0.14991484356521198,0.00014561194316205052,-1.508937230101254,0.004642273267353155,2.1640107518616776,9.888711518388265e-14,-10.853667117798878,2.163228970371403e-05,7.335102490454307,2.8495872328448968e-09,6.184830070310454e-08,8.019788921842519e-08,3.6931346869550907e-10,3.134257298142984e-09,4.432020722644481e-12,1.9665449824124437e-11,-1.1168732605426612e-11,-2.6708663967002326e-12,0,True,converged
cheq_0005,20.0,0.15,Matin,0.000657759882763582,0.08416674702455727,0.881950349192727,0.0162969792310219,0.014622435922813282,0.0019901360251392657,1.0157142224496949e-12,0.00031559271896207733,1e-12,2.1349398473752645e-09,-5.488681738884308,0.0786963028891673,-0.02918621246382213,0.8829443688345209,0.0004892045815218397,0.021500770586234938,0.12034691320058466,0.012049095467716967,-0.08406528150461207,0.00014561270471603405,-1.13568349246221,0.004642215037893024,9.65995372042274,9.8886980117249e-14,-9.503987860755108,2.1632344712201697e-05,7.335103594815085,3.1950087020504725e-09,-4.012763810123943e-08,-6.533624841154051e-08,-8.181153532405006e-10,2.8147297825853457e-09,4.612064202769162e-12,5.846406692100459e-12,1.3495649042738478e-11,-6.488184772432404e-12,0,True,converged
cheq_0006,20.0,0.173,Matin,0.0007448135101791825,0.07899057569094366,0.8819946459246282,0.01872848137001615,0.01714358210751723,0.00199140032760206,1.0034710918153071e-12,0.00040650106711008147,1e-12,3.5923213482271566e-09,-5.316672366518567,0.07358627541393525,-0.03077845744901583,0.8826571528233033,0.00032609617833915784,0.024320847181800394,0.11347613557473618,0.01433904618006223,-0.07758130835728488,0.00019441123244161372,-1.0104372208153671,0.004885126193390814,9.687370921200577,1.1260646322540335e-13,-9.557498371755567,1.7137382632667377e-05,7.23394449349213,3.847986818072968e-09,-3.427916297482625e-07,-1.5621388964603966e-05,-8.608171953028432e-10,8.26744894766307e-10,3.2855662635000726e-15,2.123301534595612e-15,5.10702591327572e-15,-5.043982945077477e-15,0,True,chemical equilibrium did not converge
cheq_0007,20.0,0.195,Matin,0.0007199482977483722,0.07378495958868811,0.8822212379107898,0.021169786415838263,0.01964483583572776,0.0019920912636591415,1e-12,0.00046714068554864,1e-12,5.748770550528323e-09,-5.0977263341093595,0.06870839867005248,-0.03095801684041223,0.8824168408854326,9.627956451795577e-05,0.02697291679436703,0.10521143628256299,0.016564853071004273,-0.07406081585667265,0.0002520651495502285,-0.8977964264666612,0.005071078897423131,9.705100367489099,1.2665095023773308e-13,-9.566839241181661,1.3840783272867383e-05,7.141160668260806,3.987089769452723e-09,-4.5914909208022436e-08,-9.532706002346458e-08,-6.793232643076408e-10,-7.564082693534147e-11,2.8838285925925078e-12,3.043135188285362e-12,9.417688850987815e-12,-4.090417711981971e-12,0,True,converged
cheq_0008,20.0,0.21,Jakobsen,0.0027780549983051216,0.07414006614813558,0.8810595765813015,0.017855580289988175,0.0203195386605737,9.664497617073778e-05,0.0003966449992563411,0.003353893345268946,1.0000000000000002e-12,7.835869499564843e-09,-5.549653644855107,0.06538968873912411,-0.054543699087030384,0.8822660831929217,0.0005943079687755449,0.02876052864598388,0.20702289560093107,0.018095950914367154,-0.050332433852730146,0.0002988995324940605,0.4903459524436589,0.005176837060161896,1.1156625126279058,1.36960924722084e-13,-10.388952568227083,1.200407894084742e-05,7.079328842755956,-2.4293687062026947e-09,5.975548589276514e-08,-2.4201712008675713e-05,-4.761282923482213e-09,-7.856176154064087e-09,2.9802549317281546e-15,1.0408340855860843e-15,2.3314683517128287e-15,-4.8971209845507374e-15,0,True,chemical equilibrium did not converge
cheq_0009,20.0,0.218,Matin,0.0007498245412472216,0.06854375038559,0.8823797860710281,0.023613997972062914,0.022071234345410837,0.0020920851536564314,1.0000000000034347e-12,0.0005493215290043526,9.999999999999998e-13,9.21855982660146e-09,-4.910296571966966,0.06362251374612128,-0.03235703903110726,0.8821883017442438,-9.425602490946745e-05,0.02970838578624335,0.09970953332099625,0.01891526861327776,-0.06701410895639076,0.00032679054039595886,-0.8063098810202317,0.005227596285756191,9.718302040720642,1.4276453175799487e-13,-9.58520629495842,1.1134065259131212e-05,7.046653762470966,-2.871427540185323e-10,-2.4815417276613516e-08,-5.663859781179781e-08,-1.5646861584173166e-09,-2.3597124254592927e-09,2.7910972144606916e-12,2.774752649870038e-12,1.0035194897284327e-11,-3.962170045860138e-12,0,True,converged
