row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,diagnostic_success,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,success,message
vle_0000,40.0,0.0888,0.00147,Jou,0.000532625717898054,-0.44089520217669376,6.3328125,0.020594556694257804,-1.5258679007270314e-10,8.07340576614024e-08,0,True,2.9627436023270468e-09,0.09237973425684179,0.8861023659943882,0.011512024238274838,0.008354410610194995,0.00010689464766007445,0.0015061518452244356,2.967224177862009e-13,3.841544437531292e-05,8.410571415118544e-05,0.9979578231382257,0.00195807114762311,True,converged
vle_0001,40.0,0.102,0.0016,Aronu,0.0008078166773367578,-0.2968071677405468,6.465001007643176,4.1530716110571575e-07,-1.413747513154262e-10,9.219580832109386e-08,0,True,4.359671622082891e-09,0.08944772373362904,0.8860059828761377,0.013064906171267082,0.009733539011980097,0.00013204253920589016,0.0015835234556384702,3.361694770747956e-13,3.2277852133689575e-05,0.00012495228947091044,0.9979876240875667,0.0018874236229624124,True,converged
vle_0002,40.0,0.153,0.0057,Hilliard,0.002971438272509878,-0.282908142847332,6.460318835400901,5.879593096835833e-07,-3.861331873785312e-10,8.468167322916997e-08,0,True,1.5425050792053998e-08,0.0781416563877229,0.8856989941668271,0.01896767573181857,0.015136835485845018,0.0002607949237395712,0.0017760178369905602,4.941322238075766e-13,1.8010041511497085e-05,0.00045995226369125206,0.9979192796533299,0.0016207680829788322,True,converged
vle_0003,40.0,0.163,0.00664,Hilliard,0.0037346366940119937,-0.24991971939065663,6.458764557631935,6.203647764380094e-07,-4.125004739370143e-10,9.42610007825806e-08,0,True,1.923460008569475e-08,0.07593106547254616,0.8856440877045492,0.020112489231458596,0.01620261245257663,0.00029334230482442437,0.001800151295714582,5.271892471040007e-13,1.6232303203191043e-05,0.0005782277184262736,0.9978520738861766,0.0015696983953971506,True,converged
vle_0004,40.0,0.17,0.00721,Hilliard,0.004367668553341275,-0.21768559081866007,6.457577751195513,2.8758646485049777e-07,-2.1443568053630723e-10,8.746521729108281e-08,0,True,2.2369986670000497e-08,0.07438527050259788,0.8856056568034661,0.020912110912539524,0.016948785319564938,0.0003178689541847275,0.0018151717207589805,5.509379872490941e-13,1.511341635034096e-05,0.0006763632931144612,0.9977894612033881,0.001534175503497535,True,converged
vle_0005,40.0,0.191,0.00995,Hilliard,0.006890872609834282,-0.15954885947091604,6.453754132346935,2.6728770485817677e-07,-2.0393504416005824e-10,5.138435810181363e-08,0,True,3.469985904453397e-08,0.06975713353651683,0.8854879799708041,0.023303606313107954,0.0191854254820937,0.0004011963764129906,0.0018523610429547132,6.258373525613497e-13,1.2262577624878808e-05,0.0010677308847723934,0.9975035771973051,0.0014286919179224914,True,converged
vle_0006,40.0,0.194,0.00985,Hilliard,0.007344358221329759,-0.12748237905923235,6.4531910227257825,3.2991541765170496e-07,-4.076286571080037e-10,7.467030727070778e-08,0,True,3.689292879014958e-08,0.069097240473189,0.8854706256951029,0.023644469752545163,0.019504454903780787,0.0004144213014546199,0.0018568429840903169,6.370537772057725e-13,1.190799627124108e-05,0.001138097136047207,0.9974481501483349,0.0014137527156179882,True,converged
vle_0007,40.0,0.203,0.00896,Jou,0.008876724238778255,-0.0040552812132978846,6.451519047383242,6.489325095060394e-07,-8.21347646754223e-10,9.826328550843755e-08,0,True,4.426200758971511e-08,0.06711970900564161,0.885417349333164,0.02466605893738346,0.020460396431019656,0.0004563094639063224,0.0018692213169861497,6.716056189125287e-13,1.0911249219603606e-05,0.001375912273308514,0.9972549624349852,0.0013691252917063103,True,converged
vle_0008,40.0,0.206,0.0123,Aronu,0.00945060200509553,-0.11444563741016006,6.450964661422707,1.9505297377264696e-08,-3.272129493289591e-10,6.578062183848488e-08,0,True,4.700696540537553e-08,0.06646128749067205,0.8853991255530715,0.02500627727439733,0.020778599171526375,0.0004710487271789697,0.001873014935649514,6.834390309361521e-13,1.0599839855383325e-05,0.0014649905093436489,0.9971806973109998,0.0013543121796565313,True,converged
vle_0009,40.0,0.232,0.0146,Hilliard,0.01613132079262994,0.04331707201787065,6.4467955002112,2.774560332874376e-07,-2.835848984499424e-10,6.01756440232748e-08,0,True,7.851231657379051e-08,0.06077323890741893,0.8852282346761515,0.02794914801269009,0.02352377346187946,0.0006174089013571424,0.001899848413824925,7.938916592984088e-13,8.269113567266807e-06,0.002502223126528749,0.9962705670027436,0.0012272098707276776,True,converged
