row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,observed_pressure_Pa,model_pressure_Pa,log10_model_over_data,success,message
vle_0000,Jou,40.0,,0.0888,1.47,0.532625717898,-0.4408952021766937,True,converged
vle_0001,Aronu,40.0,,0.102,1.6,0.8078166773367,-0.2968071677405468,True,converged
vle_0002,Hilliard,40.0,,0.153,5.7,2.9714382725098,-0.282908142847332,True,converged
vle_0003,Hilliard,40.0,,0.163,6.64,3.7346366940119,-0.2499197193906566,True,converged
vle_0004,Hilliard,40.0,,0.17,7.21,4.3676685533412,-0.21768559081866,True,converged
vle_0005,Hilliard,40.0,,0.191,9.950000000000001,6.8908726098342,-0.159548859470916,True,converged
vle_0006,Hilliard,40.0,,0.194,9.85,7.3443582213297,-0.1274823790592323,True,converged
vle_0007,Jou,40.0,,0.203,8.959999999999999,8.8767242387782,-0.0040552812132978,True,converged
vle_0008,Aronu,40.0,,0.206,12.3,9.450602005095499,-0.11444563741016,True,converged
vle_0009,Hilliard,40.0,,0.232,14.6,16.1313207926299,0.0433170720178706,True,converged
vle_0010,Idris,40.0,,0.242,21.0,19.758509632914997,-0.026465111699488,True,converged
vle_0011,Hilliard,40.0,,0.246,19.099999999999998,21.422465773898303,0.0498360903949537,True,converged
vle_0012,Aronu,40.0,,0.25,24.6,23.223675475461903,-0.025004153010422,True,converged
vle_0013,Hilliard,40.0,,0.269,23.099999999999998,34.0496081494278,0.1685001384265441,True,converged
vle_0014,Hilliard,40.0,,0.272,22.4,36.1691976740059,0.2080908567637414,True,converged
vle_0015,Idris,40.0,,0.321,38.0,97.9507001661373,0.4112239481264315,True,converged
vle_0016,Hilliard,40.0,,0.326,48.5,108.6373190046826,0.3502373007730501,True,converged
vle_0017,Idris,40.0,,0.33,43.0,118.06244193961659,0.4386433061103746,True,converged
vle_0018,Aronu,40.0,,0.337,60.3,136.6828993652547,0.3553968704900564,True,converged
vle_0019,Idris,40.0,,0.345,50.0,161.8140533496711,0.5100462325148644,True,converged
vle_0020,Hilliard,40.0,,0.348,66.19999999999999,172.4588405758032,0.4158274726147018,True,converged
vle_0021,Hilliard,40.0,,0.35,72.1,179.9659538044108,0.3972550877538187,True,converged
vle_0022,Idris,40.0,,0.352,64.0,187.81958186993262,0.4675608953877234,True,converged
vle_0023,Aronu,40.0,,0.353,85.1,191.8823622509339,0.3531054963125157,True,converged
vle_0024,Idris,40.0,,0.355,97.0,200.28983033535212,0.3148871643964572,True,converged
vle_0025,Hilliard,40.0,,0.36,96.60000000000001,223.0670234046227,0.3634582456973496,True,converged
vle_0026,Jou,40.0,,0.365,67.7,248.6181828087827,0.5649442191150456,True,converged
vle_0027,Idris,40.0,,0.375,107.0,309.55527710718764,0.4613544343109347,True,converged
vle_0028,Idris,40.0,,0.377,123.0,323.5507183624437,0.420037256960828,True,converged
vle_0029,Hilliard,40.0,,0.382,131.0,361.5830584292119,0.4409367782408354,True,converged
vle_0030,Hilliard,40.0,,0.386,120.0,395.4377684772153,0.5178969006141636,True,converged
vle_0031,Hilliard,40.0,,0.389,113.0,423.039781773845,0.5733027659542447,True,converged
vle_0032,Hilliard,40.0,,0.4,128.0,543.1785243932835,0.627732621297137,True,converged
vle_0033,Aronu,40.0,,0.401,183.5,555.7713792849459,0.4812601094439941,True,converged
vle_0034,Aronu,40.0,,0.417,292.8,805.465249874185,0.4394757360393554,True,converged
vle_0035,Aronu,40.0,,0.421,318.79999999999995,884.8051140360622,0.4433293113984193,True,converged
vle_0036,Aronu,40.0,,0.433,380.90000000000003,1175.6704208613316,0.4894746190944429,True,converged
vle_0037,Idris,40.0,,0.436,445.0,1262.848003448821,0.4529910709791116,True,converged
vle_0038,Aronu,40.0,,0.447,570.2,1643.3311877774413,0.4596978845636236,True,converged
vle_0039,Idris,40.0,,0.46,813.0,2245.1173672412274,0.4411485038044616,True,converged
vle_0040,Aronu,40.0,,0.464,1066.2,2470.902317046239,0.3650168984529774,True,converged
vle_0041,Hilliard,40.0,,0.464,750.0,2470.9022784005642,0.5177943064577226,True,converged
vle_0042,Hilliard,40.0,,0.466,574.0,2591.9478988717333,0.6547143750706739,True,converged
vle_0043,Jou,40.0,,0.4735,604.0,3098.9539130026715,0.7101781789290713,True,converged
vle_0044,Aronu,40.0,,0.476,1832.6,3288.0995531062144,0.2538772758817698,True,converged
vle_0045,Aronu,40.0,,0.477,1827.8000000000002,3366.755441315953,0.2652828977056093,True,converged
vle_0046,Hilliard,40.0,,0.481,883.0,3699.436983750275,0.6221749303662221,True,converged
vle_0047,Aronu,40.0,,0.485,2319.3,4062.5798725198015,0.2434449845452818,True,converged
