MEA_weight_fraction,temperature,CO2_loading,CO2,MEA,MEAH^+,MEA + MEAH^+,MEACOO^-,HCO3^-,CO3^2-,source
0.3,20,0.075,,,,0.1054,0.0086,,,Bottinger
0.3,20,0.106,,0.0915,0.0115,0.103,0.0097,0.0024,,Matin
0.3,20,0.11,,0.102,0.0081,0.1101,0.0106,,0.0001,Jakobsen
0.3,20,0.128,,0.0867,0.0139,0.1006,0.0124,0.0022,,Matin
0.3,20,0.15,,0.0817,0.0162,0.0979,0.0151,0.002,,Matin
0.3,20,0.15,,,,0.0966,0.0171,,,Bottinger
0.3,20,0.173,,0.0768,0.0186,0.0954,0.0177,0.002,,Matin
0.3,20,0.195,,0.0718,0.021,0.0928,0.0203,0.002,,Matin
0.3,20,0.21,,0.0732,0.0178,0.091,0.0206,0.0001,0.0004,Jakobsen
0.3,20,0.218,,0.0668,0.0234,0.0902,0.0228,0.0021,,Matin
0.3,20,0.235,,,,0.0871,0.0267,,,Bottinger
0.3,20,0.241,,0.0618,0.0257,0.0875,0.0252,0.0023,,Matin
0.3,20,0.25,,0.0591,0.0245,0.0836,0.0274,0.0002,0.0006,Jakobsen
0.3,20,0.264,,0.0568,0.0281,0.0849,0.0276,0.0026,,Matin
0.3,20,0.287,,0.0518,0.0304,0.0822,0.0299,0.003,,Matin
0.3,20,0.29,,0.0556,0.0236,0.0792,0.0307,0.0002,0.0006,Jakobsen
0.3,20,0.309,,,,0.078,0.0349,,,Bottinger
0.3,20,0.31,,0.0469,0.0327,0.0796,0.0321,0.0034,,Matin
0.3,20,0.334,,0.0419,0.0349,0.0768,0.0342,0.004,,Matin
0.3,20,0.358,,0.0371,0.0372,0.0743,0.0362,0.0046,,Matin
0.3,20,0.382,,0.0322,0.0394,0.0716,0.0381,0.0053,,Matin
0.3,20,0.388,,,,0.0678,0.043,,,Bottinger
0.3,20,0.4,,0.0331,0.0447,0.0778,0.0427,0.0006,0.0012,Jakobsen
0.3,20,0.406,,0.0274,0.0415,0.0689,0.04,0.0061,,Matin
0.3,20,0.431,,0.0227,0.0436,0.0663,0.0417,0.007,,Matin
0.3,20,0.455,,0.0181,0.0457,0.0638,0.0433,0.008,,Matin
0.3,20,0.474,,,,0.062,0.0493,,,Bottinger
0.3,20,0.48,,0.0135,0.0477,0.0612,0.0448,0.0091,,Matin
0.3,20,0.505,,0.009,0.0496,0.0586,0.0462,0.0102,,Matin
0.3,20,0.524,,,,0.0637,0.0467,0.0106,,Bottinger
0.3,20,0.531,,0.0046,0.0515,0.0561,0.0475,0.0114,,Matin
0.3,20,0.6,,0.0009,0.0632,0.0641,0.0519,0.0139,0.0014,Jakobsen
0.3,20,0.609,,,,0.0696,0.04,0.0254,,Bottinger
0.3,20,0.704,,,,0.0747,0.0324,0.041,,Bottinger
