target_family,source_or_model,temperature_C,species_or_property,metric,threshold,actual_value,passes,claim_allowed,failure_reason,recommended_manuscript_use
solver,phase2_epcsaft_activity_curve,all,curve_grid_success_fraction,success_fraction,1.0,1.0,true,true,,model_evidence
speciation,phase2_epcsaft_activity_speciation,overall,MEA,direct_positive_median_abs_log10_error,0.5,0.0739184927849562,true,true,,model_evidence
speciation,phase2_epcsaft_activity_speciation,overall,MEAH+,direct_positive_median_abs_log10_error,0.5,0.032597389497528995,true,true,,model_evidence
speciation,phase2_epcsaft_activity_speciation,overall,MEACOO-,direct_positive_median_abs_log10_error,0.5,0.04034962060831938,true,true,,model_evidence
speciation,phase2_epcsaft_activity_speciation,overall,HCO3-,direct_positive_median_abs_log10_error,0.5,0.4608052958519218,true,true,,model_evidence
speciation,phase2_epcsaft_activity_speciation,overall,HCO3-,reported_zero_max_model_mole_fraction,0.002,0.0012758415912313855,true,true,,model_evidence
speciation,phase2_epcsaft_activity_speciation,overall,MEA + MEAH+,direct_positive_median_abs_log10_error,0.5,0.0658634831577626,true,true,,model_evidence
pressure,phase2_epcsaft_reactive_bubble,overall,CO2_pressure,median_abs_log10_error,0.5,0.4928898382528521,true,true,,model_evidence
