temperature_C,n,rmse_kPa,mae_kPa,median_abs_log10_error,median_log10_pred_over_obs,expected_legacy_median_abs_log10_error,delta_vs_expected
40,5,19.170764438356073,9.945885884617955,0.3915572924171093,0.3448966071413359,0.39155729207995144,3.3715785718868574e-10
60,7,46.97620266652594,26.098034233639087,0.3060402645072152,0.09928170790667419,0.3060402645017894,5.425826454796834e-12
80,6,38.32703738320102,19.48057445640674,0.15416556580443952,-0.05421200775632369,0.15416556579951093,4.928585317642842e-12
100,7,149.28222744626382,68.8946603411771,0.05503532222081938,-0.024424794790117915,0.05503532221359544,7.223943665479737e-12
120,6,79.20946872795533,53.337309103306474,0.07842251498035258,-0.07842251498035258,0.07842251498018801,1.6456280782506383e-13
