temperature_C,CO2_loading,pred_CO2_pressure_kPa,x6_CO2,x6_MEA,x6_H2O,x6_MEAH+,x6_MEACOO-,x6_HCO3-,x_apparent_CO2,x_apparent_MEA,x_apparent_H2O
40,0.203,0.0036370621067809646,3.6058686741420074e-10,0.06680978122483443,0.8876209237331302,0.022784647340724246,0.022645215283282553,0.0001394320574417441,3.77803087646736e-10,0.0699996142753349,0.930000385346862
40,0.2207,0.004905685597343378,4.826668130875635e-10,0.06285819157998312,0.8875992301138899,0.024771288911730034,0.024610163343425827,0.000161125568304196,5.078258129462132e-10,0.06613467380373375,0.9338653256884404
40,0.2384,0.006568596558520339,6.419019665766531e-10,0.05890943919959868,0.8875746992702889,0.026757930444105228,0.026572274173562616,0.0001856562705426103,6.781962212056021e-10,0.06224028144294225,0.9377597178788615
40,0.2561,0.00875478184164967,8.505018872010773e-10,0.05496409799450703,0.8875467573048365,0.028744571925077424,0.028530973874268898,0.00021359805080852472,9.023788762236389e-10,0.05831667363390936,0.9416833254637117
40,0.27380000000000004,0.01165417640067474,1.1265692696608622e-09,0.05102296357390805,0.8875146086281289,0.030731213335696925,0.030485466853262647,0.0002457464824342794,1.2003454114952319e-09,0.05436432703802216,0.9456356717616324
40,0.2915,0.015613103169603118,1.5033250333909887e-09,0.04708741516687638,0.8874768740474589,0.032717854641169795,0.03243437391253452,0.0002834807286352758,1.6085838591549137e-09,0.05038435090508062,0.9496156474863355
40,0.30920000000000003,0.02099718356307495,2.015964170062609e-09,0.04315854636466439,0.887432460010267,0.03470449580455222,0.03437660149382566,0.0003278943107265554,2.1663267234318704e-09,0.04637756648787176,0.9536224313458015
40,0.3269,0.028422713844096573,2.72425056725503e-09,0.03923821845281909,0.8873795052967117,0.03669113676310933,0.03631028836761602,0.0003808483954933162,2.939994012009776e-09,0.042345637614919225,0.9576543594450868
40,0.3446,0.038855286686415316,3.722412222514538e-09,0.035329074860871994,0.8873153665809951,0.0386777774178604,0.038232791192778746,0.00044498622508166487,4.0345034775034625e-09,0.038291104494301224,0.9617088914711952
40,0.3623,0.05439268222011887,5.2151975752482605e-09,0.031436405616019604,0.8872347540615463,0.04066441755361828,0.040138820134323565,0.0005255974192947109,5.67689264074924e-09,0.034219432172652525,0.9657805621504548
40,0.38,0.07779915986977777,7.475716480802027e-09,0.027565515453405617,0.8871323633050209,0.04265105688292851,0.04202307071390746,0.0006279861690210559,8.172880459557993e-09,0.030136196735836163,0.9698637950912834
40,0.39770000000000005,0.11445262138124207,1.103735786589693e-08,0.02372591708577061,0.8869986821885723,0.04463769484414958,0.04387603072056404,0.000761664123585536,1.2119314379919228e-08,0.026051692045140053,0.9739482958355455
40,0.4154,0.17448182538466317,1.6911188437291918e-08,0.019932874510593585,0.8868184478344014,0.04662433037190831,0.04568243710870572,0.0009418932632025884,1.865030433940613e-08,0.021982735120021666,0.978017246229674
40,0.43310000000000004,0.2862626739423039,2.79230810916354e-08,0.016222143422791355,0.8865559076811917,0.048610960486467986,0.04740653684597732,0.0012044236404906623,3.09301718111371e-08,0.017969137487558594,0.9820308315822696
40,0.45080000000000003,0.5091638866359579,5.0041310024490744e-08,0.012646226735583826,0.8861585654488996,0.05059757888710325,0.048995832650007454,0.0016017462370957998,5.5675389888386474e-08,0.014070047402355785,0.9859298969222543
40,0.4685,1.0022170380153723,9.930290013249637e-08,0.00930919721401117,0.8855223662293018,0.0525841686268935,0.05034626690268656,0.002237901724206942,1.109738337015686e-07,0.010403294386612904,0.9895965946395534
40,0.4862,2.1851929034288684,2.1816195679427051e-07,0.0063919355839901,0.8844664766803524,0.054570684786850295,0.05127699903205259,0.0032936857547976985,2.448895361656588e-07,0.007175027962552701,0.9928247271479111
40,0.5039,5.386149032479292,5.403983109142268e-07,0.004195726754233148,0.8826897617494417,0.05655698554900717,0.05148687093195905,0.005070114617048126,6.09321032583262e-07,0.0047308522374940225,0.9952685384414733
40,0.5216000000000001,12.820432357145808,1.2882075462567616e-06,0.0027634434276013163,0.8801495994338737,0.05854283446548941,0.0509332214082664,0.007609613057223008,1.4590402499153192e-06,0.0031299111707195587,0.9968686297890306
40,0.5393,27.009932336217577,2.7102830959625897e-06,0.001901645846091095,0.8770397131785556,0.060527965346128663,0.04980972849588406,0.010718236850244605,3.0835671922756266e-06,0.0021635572870852106,0.9978333591457226
40,0.557,50.43368393672695,5.043558748590458e-06,0.001382798873767763,0.8735879122295022,0.06251212266899071,0.048344156259316984,0.014167966409673728,5.76422686196449e-06,0.0015803853608514034,0.9984138504122867
60,0.119,0.005422092270139694,6.518474128758309e-10,0.08566419063079905,0.8876227747928812,0.013356516962236158,0.013218936223115043,0.00013758073912111446,6.69738150819177e-10,0.08801534759703282,0.9119846517332291
60,0.142,0.008827590512403847,1.047692157188606e-09,0.08053801419876883,0.8875859280177986,0.01593802836787019,0.015763601205081735,0.00017442716278844947,1.08218804470021e-09,0.0831897762255686,0.9168102226922433
60,0.16499999999999998,0.013768275194031187,1.6147619462500647e-09,0.07541686119312715,0.8875440579980687,0.01851953959702104,0.01830324291792482,0.00021629667909621735,1.6768717310963949e-09,0.07831767578896807,0.9216823225341603
60,0.188,0.02082565811273793,2.4161838559997517e-09,0.0703017572255431,0.8874961391904599,0.02110105058390662,0.02083683580867203,0.00026421477523458966,2.5226447656084123e-09,0.07339936463763373,0.9266006328397216
60,0.211,0.03078245689398835,3.53707641839049e-09,0.06519391839782296,0.8874409555857456,0.02368256123967744,0.023363163854812782,0.00031939738486465687,3.7129402899841194e-09,0.06843536798432,0.9315646283027397
