record_id,density_record_id,source_key,system,solute_mole_fraction,water_molar_mass_g_mol,solute_molar_mass_g_mol,mixture_density_g_cm3,water_density_g_cm3,solute_density_g_cm3,reported_excess_molar_volume_cm3_mol,derivation,measurement_role,lifecycle_status,source_locator
DHA-VE-ACE-001,DHA-ACE-29800-001,Dhage2026,ethanolammonium acetate + water,0,18.01528,121.14,0.9971,0.9971,1.1533,0,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-002,DHA-ACE-29800-002,Dhage2026,ethanolammonium acetate + water,0.0858,18.01528,121.14,1.0822,0.9971,1.1533,-0.708,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-003,DHA-ACE-29800-003,Dhage2026,ethanolammonium acetate + water,0.1753,18.01528,121.14,1.1149,0.9971,1.1533,-0.939,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-004,DHA-ACE-29800-004,Dhage2026,ethanolammonium acetate + water,0.2706,18.01528,121.14,1.1307,0.9971,1.1533,-0.988,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-005,DHA-ACE-29800-005,Dhage2026,ethanolammonium acetate + water,0.3527,18.01528,121.14,1.1382,0.9971,1.1533,-0.956,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-006,DHA-ACE-29800-006,Dhage2026,ethanolammonium acetate + water,0.4557,18.01528,121.14,1.1440,0.9971,1.1533,-0.874,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-007,DHA-ACE-29800-007,Dhage2026,ethanolammonium acetate + water,0.5669,18.01528,121.14,1.1468,0.9971,1.1533,-0.684,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-008,DHA-ACE-29800-008,Dhage2026,ethanolammonium acetate + water,0.6758,18.01528,121.14,1.1493,0.9971,1.1533,-0.529,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-009,DHA-ACE-29800-009,Dhage2026,ethanolammonium acetate + water,0.7908,18.01528,121.14,1.1511,0.9971,1.1533,-0.345,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-010,DHA-ACE-29800-010,Dhage2026,ethanolammonium acetate + water,0.9005,18.01528,121.14,1.1521,0.9971,1.1533,-0.141,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-ACE-011,DHA-ACE-29800-011,Dhage2026,ethanolammonium acetate + water,1,18.01528,121.14,1.1533,0.9971,1.1533,0,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-PRO-001,DHA-PRO-29800-001,Dhage2026,ethanolammonium propionate + water,0,18.01528,135.16,0.9971,0.9971,1.1127,0,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-PRO-002,DHA-PRO-29800-002,Dhage2026,ethanolammonium propionate + water,0.1008,18.01528,135.16,1.0768,0.9971,1.1127,-0.794,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-PRO-003,DHA-PRO-29800-003,Dhage2026,ethanolammonium propionate + water,0.2030,18.01528,135.16,1.0996,0.9971,1.1127,-1.051,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-PRO-004,DHA-PRO-29800-004,Dhage2026,ethanolammonium propionate + water,0.2986,18.01528,135.16,1.1070,0.9971,1.1127,-1.071,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-PRO-005,DHA-PRO-29800-005,Dhage2026,ethanolammonium propionate + water,0.4062,18.01528,135.16,1.1107,0.9971,1.1127,-1.011,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
DHA-VE-PRO-006,DHA-PRO-29800-006,Dhage2026,ethanolammonium propionate + water,0.4975,18.01528,135.16,1.1131,0.9971,1.1127,-0.967,reported from source; independently recalculated from the three source density values,model_derived,diagnostic_only,Table 3 p. 18171
