MEA_weight_fraction,temperature,CO2_loading,CO2,MEA,MEAH^+,MEA + MEAH^+,MEACOO^-,HCO3^-,CO3^2-
0.15,20,0.26,,0.0213,0.01,0.0313,0.0102,0.0002,0.0005
0.15,20,0.52,,0.0023,0.0204,0.0227,0.0172,0.0025,0.0007
0.15,20,0.79,0.0002,0.0002,0.0277,0.0279,0.012,0.0175,0.0004
0.15,20,1.08,0.0009,0.0002,0.0321,0.0323,0.0077,0.0286,0.0004
0.15,40,0.26,,0.0208,0.0091,0.0299,0.0097,0.0003,0.0003
0.15,40,0.52,,0.0034,0.0187,0.0221,0.0159,0.0033,0.0004
0.15,40,0.79,0.0004,0.0007,0.0246,0.0253,0.0109,0.0154,0.0002
0.15,40,1.08,0.001,0.0007,0.0288,0.0295,0.0079,0.0234,0.0001
0.3,20,0.11,,0.102,0.0081,0.1101,0.0106,0,0.0001
0.3,20,0.21,,0.0732,0.0178,0.091,0.0206,0.0001,0.0004
0.3,20,0.29,,0.0556,0.0236,0.0792,0.0307,0.0002,0.0006
0.3,20,0.25,,0.0591,0.0245,0.0836,0.0274,0.0002,0.0006
0.3,20,0.4,,0.0331,0.0447,0.0778,0.0427,0.0006,0.0012
0.3,20,0.6,,0.0009,0.0632,0.0641,0.0519,0.0139,0.0014
0.3,20,0.78,0.0005,0.0003,0.0749,0.0752,0.0385,0.0442,0.0014
0.3,20,0.99,0.0018,0.0006,0.0826,0.0832,0.0276,0.0671,0.0017
0.3,40,0.11,,0.0985,0.0065,0.105,0.0103,0.0001,0.0001
0.3,40,0.21,,0.0715,0.016,0.0875,0.018,0.002,0.0027
0.3,40,0.29,,0.0563,0.0225,0.0788,0.0284,0.0003,0.0004
0.3,40,0.25,,0.0559,0.0218,0.0777,0.0261,0.0004,0.0004
0.3,40,0.4,,0.0376,0.0473,0.0849,0.0495,0.0012,0.001
0.3,40,0.6,,0.0028,0.061,0.0638,0.0494,0.0151,0.0009
0.3,40,0.78,0.0009,0.0012,0.0743,0.0755,0.0388,0.0448,0.0009
0.3,40,0.99,0.0032,0.0014,0.0843,0.0857,0.0312,0.0696,0.0011
