observation_id,data_family,source_key,source_file,source_row_id,observed_quantity,temperature_K,mea_mass_fraction,co2_loading_mol_per_mol_mea,composition_value,composition_basis,value_reported,reported_unit,uncertainty_value,uncertainty_unit,uncertainty_type,measurement_role,source_lifecycle_status,contract_lifecycle_status,objective_role,target_eligible,group_id
AMU-DENS-001,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,1,density,298.15,0.20,,0.20,MEA mass fraction in unloaded solution,1.0053,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.20|T=25
AMU-DENS-002,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,2,density,298.15,0.30,,0.30,MEA mass fraction in unloaded solution,1.0106,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.30|T=25
AMU-DENS-003,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,3,density,298.15,0.40,,0.40,MEA mass fraction in unloaded solution,1.0158,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.40|T=25
AMU-DENS-004,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,4,density,298.15,0.50,,0.50,MEA mass fraction in unloaded solution,1.0208,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.50|T=25
AMU-DENS-005,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,5,density,298.15,0.70,,0.70,MEA mass fraction in unloaded solution,1.0262,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.70|T=25
AMU-DENS-006,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,6,density,298.15,0.90,,0.90,MEA mass fraction in unloaded solution,1.0200,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.90|T=25
AMU-DENS-007,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,7,density,298.15,1.00,,1.00,MEA mass fraction in unloaded solution,1.0123,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=1.00|T=25
AMU-DENS-008,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,8,density,313.15,0.20,,0.20,MEA mass fraction in unloaded solution,0.9991,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.20|T=40
AMU-DENS-009,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,9,density,313.15,0.30,,0.30,MEA mass fraction in unloaded solution,1.0034,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.30|T=40
AMU-DENS-010,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,10,density,313.15,0.40,,0.40,MEA mass fraction in unloaded solution,1.0077,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.40|T=40
AMU-DENS-011,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,11,density,313.15,0.50,,0.50,MEA mass fraction in unloaded solution,1.0117,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.50|T=40
AMU-DENS-012,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,12,density,313.15,0.70,,0.70,MEA mass fraction in unloaded solution,1.0155,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.70|T=40
AMU-DENS-013,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,13,density,313.15,0.90,,0.90,MEA mass fraction in unloaded solution,1.0084,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.90|T=40
AMU-DENS-014,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,14,density,313.15,1.00,,1.00,MEA mass fraction in unloaded solution,1.0003,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=1.00|T=40
AMU-DENS-015,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,15,density,323.15,0.20,,0.20,MEA mass fraction in unloaded solution,0.9943,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.20|T=50
AMU-DENS-016,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,16,density,323.15,0.30,,0.30,MEA mass fraction in unloaded solution,0.9981,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.30|T=50
AMU-DENS-017,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,17,density,323.15,0.40,,0.40,MEA mass fraction in unloaded solution,1.0018,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.40|T=50
AMU-DENS-018,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,18,density,323.15,0.50,,0.50,MEA mass fraction in unloaded solution,1.0053,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.50|T=50
AMU-DENS-019,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,19,density,323.15,0.70,,0.70,MEA mass fraction in unloaded solution,1.0082,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.70|T=50
AMU-DENS-020,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,20,density,323.15,0.90,,0.90,MEA mass fraction in unloaded solution,1.0006,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.90|T=50
AMU-DENS-021,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,21,density,323.15,1.00,,1.00,MEA mass fraction in unloaded solution,0.9923,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=1.00|T=50
AMU-DENS-022,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,22,density,343.15,0.20,,0.20,MEA mass fraction in unloaded solution,0.9830,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.20|T=70
AMU-DENS-023,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,23,density,343.15,0.30,,0.30,MEA mass fraction in unloaded solution,0.9858,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.30|T=70
AMU-DENS-024,unloaded_mea_density,Amundsen2009,data/reference/MEA/density_viscosity/Amundsen_2009_density_viscosity.csv,24,density,343.15,0.40,,0.40,MEA mass fraction in unloaded solution,0.9889,g/cm^3,0.0005,g/cm^3,combined_absolute,direct_positive,property_target_candidate,canonical_eligible,direct_measurement,yes,Amundsen2009|unloaded|w=0.40|T=70
