library_tier,scientific_family,path,format,rows,bytes,sha256,regression_admission
documentation,library,README.md,md,,3796,c409214431c3673e7dcd9cc90ed33b02ab16acd088d9f1437053ca1fcb072b93,not_applicable
contract,manifests,manifests/extraction_target_manifest.csv,csv,20,6350,a68665cf0fe38dc0f2c47734589f3f7fa2a83055a5c4e0ce2e8d4f6c4bd84e72,not_applicable
contract,manifests,manifests/figure_artifact_file_manifest.csv,csv,25,5558,a3feaa88a6a4ed4fa17fba419e0bb88c8957ebf51d682d73d20b8175ff7f0303,not_applicable
contract,manifests,manifests/figure_artifact_manifest.csv,csv,13,2219,4bbdfc7e8702f0e1fdbb5a72c054981f604b6532a5a288aec79650f7240ed9a8,not_applicable
contract,manifests,manifests/grouped_split_manifest.csv,csv,367,132025,af205ad5968667cf25dc9205d780738035769664a94cc9a421cd3c67148ff804,not_applicable
contract,manifests,manifests/ionic_parameter_observable_map.csv,csv,12,4249,f8436265de1ed34d89da09bd85805233ca0900e2aadca910edc696f7f1071cc4,not_applicable
contract,manifests,manifests/ionic_volumetric_observation_contract.csv,csv,1301,392001,a05500e49244f9ef165ce84b71776b8ceaac444815f09f5b13bc9fdfcec82e00,not_applicable
contract,manifests,manifests/observation_contract.csv,csv,22,2438,dad553bcc76bb4f77ad4de17f313353d85fe3f5c1aa2090d403e1da3451b66fb,not_applicable
contract,manifests,manifests/parameter_observable_coverage.csv,csv,7,2937,f21c1389aff7f053fdf04e77e7e9ec6d63096eec7e772787560db5819dbccc2d,not_applicable
contract,manifests,manifests/parameter_provenance_manifest.csv,csv,10,1828,05f27bac436d2eb14405702b8935e8b7c0b495443a80795b1f0eeaa36195def2,not_applicable
contract,manifests,manifests/phase1_data_inventory.csv,csv,14,10291,db98b0b1affbc88eee479dc5f242b16dd7d75de3af9bb127710a2b79a5b577da,not_applicable
contract,manifests,manifests/phase1_parameter_provenance.csv,csv,10,3387,ad1e3a713790a10ab0b29707a4759140d3776129a64b9eee28664d54d2729a98,not_applicable
contract,manifests,manifests/phase2_activity_constant_candidates.csv,csv,5,2999,6985a8d00412ed1bd567eda8708b825d85eb79b3eb19c17b023f82b6934c6069,not_applicable
contract,manifests,manifests/phase2_reaction_constant_manifest.csv,csv,5,2143,08ca886ed1f1396ed96e7389c11e089b49fea8495ee34778a548f6b10f1172df,not_applicable
contract,manifests,manifests/phase2_reaction_constant_source_verification.csv,csv,5,3295,f3138d6da55ef88962a46201b90240688d82db80e4e89ceafd287e50b7fbdb1a,not_applicable
