observation_id,source_key,role,temperature_c,loading_mol_co2_per_mol_mea,observable,parameter,parameter_unit,affine_scale,value,dlog10_observable_daffine_coordinate
vle_obs_0198,Jou1995,active_training,60.0,0.438,pco2,MEAH+::sigma,angstrom,1.9,17786.557621777563,1.5946985989199416
vle_obs_0198,Jou1995,active_training,60.0,0.438,pco2,MEAH+::epsilon_over_k,kelvin,450.0,17786.557621777563,-6.458200346549896
vle_obs_0198,Jou1995,active_training,60.0,0.438,pco2,MEACOO-::sigma,angstrom,1.9,17786.557621777563,-0.3684758825313204
vle_obs_0198,Jou1995,active_training,60.0,0.438,carbamate_mole_fraction,MEAH+::sigma,angstrom,1.9,0.048021665578908454,-0.006423119230501858
vle_obs_0198,Jou1995,active_training,60.0,0.438,carbamate_mole_fraction,MEAH+::epsilon_over_k,kelvin,450.0,0.048021665578908454,0.00895201889280655
vle_obs_0198,Jou1995,active_training,60.0,0.438,carbamate_mole_fraction,MEACOO-::sigma,angstrom,1.9,0.048021665578908454,0.014145501978902025
vle_obs_0208,Jou1995,active_training,80.0,0.348,pco2,MEAH+::sigma,angstrom,1.9,8300.289221220637,1.3046968600362214
vle_obs_0208,Jou1995,active_training,80.0,0.348,pco2,MEAH+::epsilon_over_k,kelvin,450.0,8300.289221220637,-5.970257984345839
vle_obs_0208,Jou1995,active_training,80.0,0.348,pco2,MEACOO-::sigma,angstrom,1.9,8300.289221220637,-0.6303212974178772
vle_obs_0208,Jou1995,active_training,80.0,0.348,carbamate_mole_fraction,MEAH+::sigma,angstrom,1.9,0.03807909523393353,-0.005302212473388623
vle_obs_0208,Jou1995,active_training,80.0,0.348,carbamate_mole_fraction,MEAH+::epsilon_over_k,kelvin,450.0,0.03807909523393353,0.007177824847558777
vle_obs_0208,Jou1995,active_training,80.0,0.348,carbamate_mole_fraction,MEACOO-::sigma,angstrom,1.9,0.03807909523393353,0.020225199912077326
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,pco2,MEAH+::sigma,angstrom,1.9,37670.89980918198,1.1527706968984281
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,pco2,MEAH+::epsilon_over_k,kelvin,450.0,37670.89980918198,-5.55450195820722
vle_obs_0272,Xu2011,reserved_validation,100.0,0.315,pco2,MEACOO-::sigma,angstrom,1.9,37670.89980918198,-0.6702746178018189
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,pco2,MEAH+::sigma,angstrom,1.9,160365.550987373,1.0618838725599604
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,pco2,MEAH+::epsilon_over_k,kelvin,450.0,160365.550987373,-5.1743470336930075
vle_obs_0288,Xu2011,reserved_validation,120.0,0.314,pco2,MEACOO-::sigma,angstrom,1.9,160365.550987373,-0.592545039506457
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,pco2,MEAH+::sigma,angstrom,1.9,327123.24870792154,1.3259797134171172
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,pco2,MEAH+::epsilon_over_k,kelvin,450.0,327123.24870792154,-5.541299809761875
vle_obs_0267,Xu2011,reserved_validation,100.0,0.425,pco2,MEACOO-::sigma,angstrom,1.9,327123.24870792154,-0.2910780122855485
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,pco2,MEAH+::sigma,angstrom,1.9,586829.604759228,1.183729132478651
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,pco2,MEAH+::epsilon_over_k,kelvin,450.0,586829.604759228,-5.102093811849503
vle_obs_0282,Xu2011,reserved_validation,120.0,0.422,pco2,MEACOO-::sigma,angstrom,1.9,586829.604759228,-0.22694688337033544
